t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,307.3,-0.4635,0.0,0.0,1
2,2020-03,359.73,1.1792,0.7071,0.1871,1
3,2020-04,0.0,0.8576,1.1613,3.5028,1
4,2020-05,0.0,0.8692,0.8693,7.1028,1
5,2020-06,0.0,0.3396,0.7326,2.2222,0
6,2020-07,0.0,0.3932,0.6473,6.0889,1
7,2020-08,364.53,0.31,0.5835,2.4509,1
8,2020-09,260.74,0.2974,0.5403,5.1971,1
9,2020-10,0.0,0.2205,0.506,18.4411,1
10,2020-11,61.18,0.2761,0.4759,4.0624,1
11,2020-12,0.0,0.249,0.4513,13.7076,1
