node_idx,node_label,account_category,spectral_exponent_beta,noise_classification
0,00_ACC_Accounts_Payable,Liability,-0.7619,White Noise
1,01_ACC_Accounts_Receivable,Asset,2.1419,Brown Noise
2,02_ACC_COGS,Expense,2.1362,Brown Noise
3,03_ACC_Cash,Asset,0.0515,White Noise
4,04_ACC_Inventory,Asset,1.5679,Brown Noise
5,05_ACC_Payroll_Exp,Expense,0.5916,Pink Noise
6,06_ACC_Rent_Exp,Expense,0.8289,Pink Noise
7,07_ACC_Sales_Revenue,Revenue,2.2116,Brown Noise
8,08_ACC_Travel_Exp,Expense,0.0852,White Noise
9,09_UNKNOWN_LEAK,Unknown,1.4116,Pink Noise
