t_idx,time_label,node_idx,node_label,account_category,state_X,velocity_v,acceleration_a,jerk_j,snap_s,inertia_M,viscosity_C,external_force_F
0,2020-01,0,00_ACC_Accounts_Payable,Liability,-55952.86,-55952.86,0.0,0.0,0.0,55952.86,5595.286,-313072254.218
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,95968.3,95968.3,0.0,0.0,0.0,95968.3,9596.83,920991460.489
0,2020-01,2,02_ACC_COGS,Expense,51203.21,51203.21,0.0,0.0,0.0,51203.21,5120.321,262176871.4304
0,2020-01,3,03_ACC_Cash,Asset,465669.02,-34330.98,0.0,0.0,0.0,465669.02,46566.902,-1598687381.224
0,2020-01,4,04_ACC_Inventory,Asset,504749.65,4749.65,0.0,0.0,0.0,504749.65,50474.965,239738417.5123
0,2020-01,5,05_ACC_Payroll_Exp,Expense,18973.66,18973.66,0.0,0.0,0.0,18973.66,1897.366,35999977.3796
0,2020-01,6,06_ACC_Rent_Exp,Expense,6683.35,6683.35,0.0,0.0,0.0,6683.35,668.335,4466716.7223
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,-95968.3,-95968.3,0.0,0.0,0.0,95968.3,9596.83,-920991460.489
0,2020-01,8,08_ACC_Travel_Exp,Expense,8673.97,8673.97,0.0,0.0,0.0,8673.97,867.397,7523775.5561
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01,10,10_ACC_Equity_Capital,Equity,1000000.0,0.0,0.0,0.0,0.0,1000000.0,100000.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,-74525.74,-18572.88,37379.98,0.0,0.0,65239.3,6523.93,2317475560.1956
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,192549.69,96581.39,613.09,0.0,0.0,144258.995,14425.8995,1481717172.9549
1,2020-02,2,02_ACC_COGS,Expense,113539.49,62336.28,11133.07,0.0,0.0,82371.35,8237.135,1430518359.3023
1,2020-02,3,03_ACC_Cash,Asset,430135.7,-35533.32,-1202.34,0.0,0.0,447902.36,44790.236,-2130076712.1859
1,2020-02,4,04_ACC_Inventory,Asset,484904.98,-19844.67,-24594.32,0.0,0.0,494827.315,49482.7315,-13151909807.1669
1,2020-02,5,05_ACC_Payroll_Exp,Expense,37218.87,18245.21,-728.45,0.0,0.0,28096.265,2809.6265,30795501.2748
1,2020-02,6,06_ACC_Rent_Exp,Expense,12052.11,5368.76,-1314.59,0.0,0.0,9367.73,936.773,-7285414.7692
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,-212214.51,-116246.21,-20277.91,0.0,0.0,154091.405,15409.1405,-4915905824.8461
1,2020-02,8,08_ACC_Travel_Exp,Expense,16032.11,7358.14,-1315.83,0.0,0.0,12353.04,1235.304,-7164960.8486
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,307.3,307.3,307.3,0.0,0.0,153.65,15.365,51938.3095
1,2020-02,10,10_ACC_Equity_Capital,Equity,1000000.0,0.0,0.0,0.0,0.0,1000000.0,100000.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-97827.44,-23301.7,-4728.82,-42108.8,0.0,76102.0133,7610.2013,-537203351.0999
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,218163.73,25614.04,-70967.35,-71580.44,0.0,168893.9067,16889.3907,-11553347459.169
2,2020-03,2,02_ACC_COGS,Expense,169023.45,55483.96,-6852.32,-17985.39,0.0,111255.3833,11125.5383,-145068564.4575
2,2020-03,3,03_ACC_Cash,Asset,452523.64,22387.94,57921.26,59123.6,0.0,449442.7867,44944.2787,27038502315.7771
2,2020-03,4,04_ACC_Inventory,Asset,475168.07,-9736.91,10107.76,34702.08,0.0,488274.2333,48827.4233,4459930538.1888
2,2020-03,5,05_ACC_Payroll_Exp,Expense,52000.91,14782.04,-3463.17,-2734.72,0.0,36064.48,3606.448,-71586766.6077
2,2020-03,6,06_ACC_Rent_Exp,Expense,17855.72,5803.61,434.85,1749.44,0.0,12197.06,1219.706,12382589.4797
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,-312673.28,-100458.77,15787.44,36065.35,0.0,206952.03,20695.203,1188228118.2229
2,2020-03,8,08_ACC_Travel_Exp,Expense,25098.17,9066.06,1707.92,3023.75,0.0,16601.4167,1660.1417,43404835.5118
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,667.03,359.73,52.43,-254.87,0.0,324.7767,32.4777,28711.2317
2,2020-03,10,10_ACC_Equity_Capital,Equity,1000000.0,0.0,0.0,0.0,0.0,1000000.0,100000.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,-117301.58,-19474.14,3827.56,8556.38,50665.18,86401.905,8640.1905,162448196.0781
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,155098.64,-63065.09,-88679.13,-17711.78,53868.66,165445.09,16544.509,-15714907593.0625
3,2020-04,2,02_ACC_COGS,Expense,194394.84,25371.39,-30112.57,-23260.25,-5274.86,132040.2475,13204.0248,-3641066734.1592
3,2020-04,3,03_ACC_Cash,Asset,495846.51,43322.87,20934.93,-36986.33,-96109.93,461043.7175,46104.3717,11649291656.5592
3,2020-04,4,04_ACC_Inventory,Asset,509382.56,34214.49,43951.4,33843.64,-858.44,493551.315,49355.1315,23380931919.2464
3,2020-04,5,05_ACC_Payroll_Exp,Expense,70834.92,18834.01,4051.97,7515.14,10249.86,44757.09,4475.709,265649934.0304
3,2020-04,6,06_ACC_Rent_Exp,Expense,23161.03,5305.31,-498.3,-933.15,-2682.59,14938.0525,1493.8053,481468.3701
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,-363153.76,-50480.48,49978.29,34190.85,-1874.5,246002.4625,24600.2463,11052950172.7209
3,2020-04,8,08_ACC_Travel_Exp,Expense,31069.81,5971.64,-3094.42,-4802.34,-7826.09,20218.515,2021.8515,-50490807.8948
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,667.03,0.0,-359.73,-412.16,-157.29,410.34,41.034,-147611.6082
3,2020-04,10,10_ACC_Equity_Capital,Equity,1000000.0,0.0,0.0,0.0,0.0,1000000.0,100000.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,-78403.61,38897.97,58372.11,54544.55,45988.17,92014.5925,9201.4592,5729004000.8779
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,100337.86,-54760.78,8304.31,96983.44,114695.22,166537.48,16653.748,471006630.1354
4,2020-05,2,02_ACC_COGS,Expense,220707.27,26312.43,941.04,31053.61,54313.86,174416.2625,17441.6262,623064249.4523
4,2020-05,3,03_ACC_Cash,Asset,478989.01,-16857.5,-60180.37,-81115.3,-44128.97,464373.715,46437.3715,-28728999977.0358
4,2020-05,4,04_ACC_Inventory,Asset,531219.43,21836.87,-12377.62,-56329.02,-90172.66,500168.76,50016.876,-5098686828.1331
4,2020-05,5,05_ACC_Payroll_Exp,Expense,88989.92,18155.0,-679.01,-4730.98,-12246.12,62261.155,6226.1155,70759180.046
4,2020-05,6,06_ACC_Rent_Exp,Expense,27866.14,4705.11,-600.2,-101.9,831.25,20233.75,2023.375,-2624094.8038
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,-408505.14,-45351.38,5129.1,-44849.19,-79040.04,324136.6725,32413.6672,192524866.2714
4,2020-05,8,08_ACC_Travel_Exp,Expense,38132.09,7062.28,1090.64,4185.06,8987.4,27583.045,2758.3045,49563090.9031
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,667.03,0.0,0.0,359.73,771.89,577.0975,57.7097,0.0
4,2020-05,10,10_ACC_Equity_Capital,Equity,1000000.0,0.0,0.0,0.0,0.0,1000000.0,100000.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,-110724.54,-32320.93,-71218.9,-129591.01,-184135.56,101064.2925,10106.4293,-7524336933.4675
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,96064.58,-4273.28,50487.5,42183.19,-54800.25,142416.2025,14241.6203,7129379592.7368
