t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,0.0,95968.3
0,2020-01,2,02_ACC_COGS,Expense,-0.0,51203.21
0,2020-01,3,03_ACC_Cash,Asset,0.0,34330.98
0,2020-01,4,04_ACC_Inventory,Asset,0.0,4749.65
0,2020-01,5,05_ACC_Payroll_Exp,Expense,-0.0,18973.66
0,2020-01,6,06_ACC_Rent_Exp,Expense,-0.0,6683.35
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,0.0,105968.3
0,2020-01,8,08_ACC_Travel_Exp,Expense,-0.0,8673.97
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,0.0,18572.88
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,0.0,96581.39
1,2020-02,2,02_ACC_COGS,Expense,0.0,62336.28
1,2020-02,3,03_ACC_Cash,Asset,0.0,35533.32
1,2020-02,4,04_ACC_Inventory,Asset,0.0,19844.67
1,2020-02,5,05_ACC_Payroll_Exp,Expense,5608.9362,18245.21
1,2020-02,6,06_ACC_Rent_Exp,Expense,1650.4623,5368.76
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,0.0,126246.21
1,2020-02,8,08_ACC_Travel_Exp,Expense,2262.0369,7358.14
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,0.0,307.3
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,0.0,23301.7
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,0.0,25614.04
2,2020-03,2,02_ACC_COGS,Expense,0.0,55483.96
2,2020-03,3,03_ACC_Cash,Asset,0.0,22387.94
2,2020-03,4,04_ACC_Inventory,Asset,0.0,9736.91
2,2020-03,5,05_ACC_Payroll_Exp,Expense,2418.0694,14782.04
2,2020-03,6,06_ACC_Rent_Exp,Expense,949.3637,5803.61
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,0.0,110458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,1483.0404,9066.06
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,0.0,359.73
2,2020-03,10,10_ACC_Equity_Capital,Equity,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,0.0,19474.14
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,0.0,63065.09
3,2020-04,2,02_ACC_COGS,Expense,-0.0,25371.39
3,2020-04,3,03_ACC_Cash,Asset,0.0,43322.87
