t_idx,time_label,spectral_radius,is_stable
0,2020-W01,0.0,1
1,2020-W02,0.0,1
2,2020-W03,0.0,1
3,2020-W04,0.0,1
4,2020-W05,0.0,1
5,2020-W06,0.0,1
6,2020-W07,0.0,1
7,2020-W08,0.0,1
8,2020-W09,0.0,1
9,2020-W10,0.0,1
10,2020-W11,0.0,1
11,2020-W12,0.0,1
12,2020-W13,0.0,1
13,2020-W14,0.0,1
14,2020-W15,0.0,1
15,2020-W16,0.0,1
16,2020-W17,0.0,1
17,2020-W18,0.0,1
18,2020-W19,0.0,1
19,2020-W20,0.0,1
20,2020-W21,0.0,1
21,2020-W22,0.0,1
22,2020-W23,0.0,1
23,2020-W24,0.0,1
24,2020-W25,0.0,1
25,2020-W26,0.0,1
26,2020-W27,0.0,1
27,2020-W28,0.0,1
28,2020-W29,0.0,1
29,2020-W30,0.0,1
30,2020-W31,0.0,1
31,2020-W32,0.0,1
32,2020-W33,0.0,1
33,2020-W34,0.0,1
34,2020-W35,0.0,1
35,2020-W36,0.0,1
36,2020-W37,0.0,1
37,2020-W38,0.0,1
38,2020-W39,0.0,1
39,2020-W40,0.0,1
40,2020-W41,0.0,1
41,2020-W42,0.0,1
42,2020-W43,0.0,1
43,2020-W44,0.0,1
44,2020-W45,0.0,1
45,2020-W46,0.0,1
46,2020-W47,0.0,1
47,2020-W48,0.0,1
48,2020-W49,0.0,1
49,2020-W50,0.0,1
50,2020-W51,0.0,1
51,2020-W52,0.0,1
