t_idx,time_label,node_idx,node_label,account_category,ik_suggested_delta,ik_strain_energy
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,29024204.9725
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,4934.4014,29024204.9725
0,2020-01,2,02_ACC_COGS,Expense,0.0,29024204.9725
0,2020-01,3,03_ACC_Cash,Asset,0.0,29024204.9725
0,2020-01,4,04_ACC_Inventory,Asset,0.0,29024204.9725
0,2020-01,5,05_ACC_Payroll_Exp,Expense,0.0,29024204.9725
0,2020-01,6,06_ACC_Rent_Exp,Expense,0.0,29024204.9725
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,5805.1781,29024204.9725
0,2020-01,8,08_ACC_Travel_Exp,Expense,0.0,29024204.9725
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,29024204.9725
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0,29024204.9725
1,2020-02,0,00_ACC_Accounts_Payable,Liability,1294.3729,10538128.3429
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,1791.5196,10538128.3429
1,2020-02,2,02_ACC_COGS,Expense,935.1844,10538128.3429
1,2020-02,3,03_ACC_Cash,Asset,1522.7917,10538128.3429
1,2020-02,4,04_ACC_Inventory,Asset,1100.217,10538128.3429
1,2020-02,5,05_ACC_Payroll_Exp,Expense,1294.3729,10538128.3429
1,2020-02,6,06_ACC_Rent_Exp,Expense,1294.3729,10538128.3429
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,2107.6701,10538128.3429
1,2020-02,8,08_ACC_Travel_Exp,Expense,1294.3729,10538128.3429
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,1522.7917,10538128.3429
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0,10538128.3429
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-128342.4574,9.2896
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,-218168.4012,9.2896
2,2020-03,2,02_ACC_COGS,Expense,-54817.2627,9.2896
2,2020-03,3,03_ACC_Cash,Asset,180201.4808,9.2896
2,2020-03,4,04_ACC_Inventory,Asset,105767.6834,9.2896
2,2020-03,5,05_ACC_Payroll_Exp,Expense,-8335.0911,9.2896
2,2020-03,6,06_ACC_Rent_Exp,Expense,5332.0785,9.2896
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,109922.7631,9.2896
2,2020-03,8,08_ACC_Travel_Exp,Expense,9216.0191,9.2896
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,-776.8125,9.2896
2,2020-03,10,10_ACC_Equity_Capital,Equity,0.0,9.2896
3,2020-04,0,00_ACC_Accounts_Payable,Liability,36725.1461,9.6285
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,755.1067,9.6285
3,2020-04,2,02_ACC_COGS,Expense,-35774.2702,9.6285
3,2020-04,3,03_ACC_Cash,Asset,-99311.3157,9.6285
3,2020-04,4,04_ACC_Inventory,Asset,47924.4248,9.6285
3,2020-04,5,05_ACC_Payroll_Exp,Expense,15691.315,9.6285
3,2020-04,6,06_ACC_Rent_Exp,Expense,-2630.2555,9.6285
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,47928.9416,9.6285
3,2020-04,8,08_ACC_Travel_Exp,Expense,-10644.3235,9.6285
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,-664.7693,9.6285
3,2020-04,10,10_ACC_Equity_Capital,Equity,0.0,9.6285
4,2020-05,0,00_ACC_Accounts_Payable,Liability,-16926.5834,320.2068
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,-15013.9384,320.2068
4,2020-05,2,02_ACC_COGS,Expense,30475.4753,320.2068
4,2020-05,3,03_ACC_Cash,Asset,-14491.9615,320.2068
4,2020-05,4,04_ACC_Inventory,Asset,-40798.1673,320.2068
4,2020-05,5,05_ACC_Payroll_Exp,Expense,-49990.7133,320.2068
4,2020-05,6,06_ACC_Rent_Exp,Expense,13988.3185,320.2068
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,42719.0976,320.2068
4,2020-05,8,08_ACC_Travel_Exp,Expense,50141.1904,320.2068
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,-102.7178,320.2068
4,2020-05,10,10_ACC_Equity_Capital,Equity,0.0,320.2068
5,2020-06,0,00_ACC_Accounts_Payable,Liability,-19414.2611,345.4655
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,-10433.7236,345.4655
5,2020-06,2,02_ACC_COGS,Expense,26699.3075,345.4655
5,2020-06,3,03_ACC_Cash,Asset,-14013.6772,345.4655
5,2020-06,4,04_ACC_Inventory,Asset,-35053.2227,345.4655
5,2020-06,5,05_ACC_Payroll_Exp,Expense,-44725.4724,345.4655
5,2020-06,6,06_ACC_Rent_Exp,Expense,12631.4015,345.4655
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,39467.6125,345.4655
5,2020-06,8,08_ACC_Travel_Exp,Expense,44958.0405,345.4655
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,-116.0052,345.4655
5,2020-06,10,10_ACC_Equity_Capital,Equity,0.0,345.4655
6,2020-07,0,00_ACC_Accounts_Payable,Liability,11397.5101,125.8823
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,13512.5641,125.8823
6,2020-07,2,02_ACC_COGS,Expense,-24087.7332,125.8823
6,2020-07,3,03_ACC_Cash,Asset,12498.1259,125.8823
6,2020-07,4,04_ACC_Inventory,Asset,-3419.7182,125.8823
6,2020-07,5,05_ACC_Payroll_Exp,Expense,18635.3557,125.8823
6,2020-07,6,06_ACC_Rent_Exp,Expense,-9085.2388,125.8823
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,3312.1249,125.8823
6,2020-07,8,08_ACC_Travel_Exp,Expense,-23153.5864,125.8823
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,390.5959,125.8823
6,2020-07,10,10_ACC_Equity_Capital,Equity,0.0,125.8823
7,2020-08,0,00_ACC_Accounts_Payable,Liability,19431.2481,3010.9082
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,19632.7277,3010.9082
7,2020-08,2,02_ACC_COGS,Expense,-5115.9061,3010.9082
7,2020-08,3,03_ACC_Cash,Asset,17968.9648,3010.9082
7,2020-08,4,04_ACC_Inventory,Asset,13650.8133,3010.9082
7,2020-08,5,05_ACC_Payroll_Exp,Expense,-38880.3104,3010.9082
7,2020-08,6,06_ACC_Rent_Exp,Expense,20500.739,3010.9082
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,10108.777,3010.9082
7,2020-08,8,08_ACC_Travel_Exp,Expense,-56435.6856,3010.9082
7,2020-08,9,09_UNKNOWN_LEAK,Unknown,-861.3679,3010.9082
7,2020-08,10,10_ACC_Equity_Capital,Equity,0.0,3010.9082
8,2020-09,0,00_ACC_Accounts_Payable,Liability,19759.7711,11426.8205
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,20014.7963,11426.8205
8,2020-09,2,02_ACC_COGS,Expense,23064.0652,11426.8205
8,2020-09,3,03_ACC_Cash,Asset,18704.8721,11426.8205
8,2020-09,4,04_ACC_Inventory,Asset,18247.63,11426.8205
8,2020-09,5,05_ACC_Payroll_Exp,Expense,-37242.9507,11426.8205
8,2020-09,6,06_ACC_Rent_Exp,Expense,-16234.9738,11426.8205
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,22647.5318,11426.8205
8,2020-09,8,08_ACC_Travel_Exp,Expense,-70106.9135,11426.8205
8,2020-09,9,09_UNKNOWN_LEAK,Unknown,1146.1715,11426.8205
8,2020-09,10,10_ACC_Equity_Capital,Equity,0.0,11426.8205
9,2020-10,0,00_ACC_Accounts_Payable,Liability,26687.3654,4413442.2344
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,26793.89,4413442.2344
9,2020-10,2,02_ACC_COGS,Expense,-33815.6197,4413442.2344
9,2020-10,3,03_ACC_Cash,Asset,22846.7108,4413442.2344
9,2020-10,4,04_ACC_Inventory,Asset,37892.5954,4413442.2344
9,2020-10,5,05_ACC_Payroll_Exp,Expense,-53212.7304,4413442.2344
9,2020-10,6,06_ACC_Rent_Exp,Expense,-57195.7756,4413442.2344
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,-11941.4894,4413442.2344
9,2020-10,8,08_ACC_Travel_Exp,Expense,47708.6515,4413442.2344
9,2020-10,9,09_UNKNOWN_LEAK,Unknown,-5763.5981,4413442.2344
9,2020-10,10,10_ACC_Equity_Capital,Equity,0.0,4413442.2344
10,2020-11,0,00_ACC_Accounts_Payable,Liability,32777.6638,977574.8916
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,33045.4708,977574.8916
10,2020-11,2,02_ACC_COGS,Expense,-61894.6129,977574.8916
10,2020-11,3,03_ACC_Cash,Asset,27405.8373,977574.8916
10,2020-11,4,04_ACC_Inventory,Asset,49563.4812,977574.8916
10,2020-11,5,05_ACC_Payroll_Exp,Expense,-72782.7436,977574.8916
10,2020-11,6,06_ACC_Rent_Exp,Expense,-97365.9253,977574.8916
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,-27227.5118,977574.8916
10,2020-11,8,08_ACC_Travel_Exp,Expense,81790.2776,977574.8916
10,2020-11,9,09_UNKNOWN_LEAK,Unknown,34688.0628,977574.8916
10,2020-11,10,10_ACC_Equity_Capital,Equity,0.0,977574.8916
11,2020-12,0,00_ACC_Accounts_Payable,Liability,1573.9603,110096.8422
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,1560.4248,110096.8422
11,2020-12,2,02_ACC_COGS,Expense,2355.8039,110096.8422
11,2020-12,3,03_ACC_Cash,Asset,1641.5668,110096.8422
11,2020-12,4,04_ACC_Inventory,Asset,1311.1404,110096.8422
11,2020-12,5,05_ACC_Payroll_Exp,Expense,1977.9464,110096.8422
11,2020-12,6,06_ACC_Rent_Exp,Expense,1688.7321,110096.8422
11,2020-12,7,07_ACC_Sales_Revenue,Revenue,2038.0265,110096.8422
11,2020-12,8,08_ACC_Travel_Exp,Expense,816.5512,110096.8422
11,2020-12,9,09_UNKNOWN_LEAK,Unknown,-14964.1523,110096.8422
11,2020-12,10,10_ACC_Equity_Capital,Equity,0.0,110096.8422
