t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2020-01,0,00_ACC_Accounts_Payable,Liability,-55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,14395.245
0,2020-01,2,02_ACC_COGS,Expense,14814.4712
0,2020-01,3,03_ACC_Cash,Asset,-34330.98
0,2020-01,4,04_ACC_Inventory,Asset,-42810.281
0,2020-01,5,05_ACC_Payroll_Exp,Expense,2846.049
0,2020-01,6,06_ACC_Rent_Exp,Expense,1002.5025
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,-95968.3
0,2020-01,8,08_ACC_Travel_Exp,Expense,1301.0955
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,-32424.4484
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,-2227.8885
1,2020-02,2,02_ACC_COGS,Expense,22041.6465
1,2020-02,3,03_ACC_Cash,Asset,-37397.4325
1,2020-02,4,04_ACC_Inventory,Asset,-47405.4512
1,2020-02,5,05_ACC_Payroll_Exp,Expense,7679.232
1,2020-02,6,06_ACC_Rent_Exp,Expense,2259.659
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,-116246.21
1,2020-02,8,08_ACC_Travel_Exp,Expense,3096.9698
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,277.7073
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-33620.5829
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,-59775.9145
2,2020-03,2,02_ACC_COGS,Expense,22916.7153
2,2020-03,3,03_ACC_Cash,Asset,-28177.3789
2,2020-03,4,04_ACC_Inventory,Asset,-38314.4055
2,2020-03,5,05_ACC_Payroll_Exp,Expense,7986.2386
2,2020-03,6,06_ACC_Rent_Exp,Expense,3135.4951
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,-100458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,4898.0871
