t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2020-01,0,00_ACC_Input_From_Outside,Unknown,-2980248.22
0,2020-01,1,01_ACC_Output_To_Outside,Unknown,363726.0886
0,2020-01,2,02_USR_001,Unknown,-3976402.535
0,2020-01,3,03_USR_002,Unknown,47671.5165
0,2020-01,4,04_USR_003,Unknown,7307605.0595
0,2020-01,5,05_USR_004,Unknown,1364432.8526
0,2020-01,6,06_USR_005,Unknown,-645449.7595
0,2020-01,7,07_USR_006,Unknown,-808998.8729
0,2020-01,8,08_USR_007,Unknown,73416.7859
0,2020-01,9,09_USR_008,Unknown,-746261.6512
0,2020-01,10,10_USR_009,Unknown,-59005.8634
0,2020-01,11,11_USR_010,Unknown,-1483614.568
1,2020-02,0,00_ACC_Input_From_Outside,Unknown,-947893.28
1,2020-02,1,01_ACC_Output_To_Outside,Unknown,147138.4182
1,2020-02,2,02_USR_001,Unknown,22560.33
1,2020-02,3,03_USR_002,Unknown,-2681601.437
1,2020-02,4,04_USR_003,Unknown,-158550.1095
1,2020-02,5,05_USR_004,Unknown,4355743.5401
1,2020-02,6,06_USR_005,Unknown,17098.7947
1,2020-02,7,07_USR_006,Unknown,-918974.28
1,2020-02,8,08_USR_007,Unknown,292211.3256
1,2020-02,9,09_USR_008,Unknown,320807.7142
1,2020-02,10,10_USR_009,Unknown,-1000010.9071
1,2020-02,11,11_USR_010,Unknown,-80122.9782
2,2020-03,0,00_ACC_Input_From_Outside,Unknown,-617500.1
2,2020-03,1,01_ACC_Output_To_Outside,Unknown,10578658.8333
2,2020-03,2,02_USR_001,Unknown,-3445904.41
2,2020-03,3,03_USR_002,Unknown,11714170.5475
2,2020-03,4,04_USR_003,Unknown,-57603544.7771
2,2020-03,5,05_USR_004,Unknown,-10142779.0503
2,2020-03,6,06_USR_005,Unknown,-540512.8627
2,2020-03,7,07_USR_006,Unknown,-70477.3515
2,2020-03,8,08_USR_007,Unknown,-1090848.1161
2,2020-03,9,09_USR_008,Unknown,-118813.9404
2,2020-03,10,10_USR_009,Unknown,-458936.138
2,2020-03,11,11_USR_010,Unknown,-1233219.7401
3,2020-04,0,00_ACC_Input_From_Outside,Unknown,-167794.1
3,2020-04,1,01_ACC_Output_To_Outside,Unknown,1310961.9403
3,2020-04,2,02_USR_001,Unknown,-217418.102
3,2020-04,3,03_USR_002,Unknown,-192548.849
3,2020-04,4,04_USR_003,Unknown,-3432206.6423
3,2020-04,5,05_USR_004,Unknown,-815181.1494
3,2020-04,6,06_USR_005,Unknown,387202.1635
3,2020-04,7,07_USR_006,Unknown,213729.2519
3,2020-04,8,08_USR_007,Unknown,-192424.2823
3,2020-04,9,09_USR_008,Unknown,-1499339.2455
3,2020-04,10,10_USR_009,Unknown,-1170220.8873
3,2020-04,11,11_USR_010,Unknown,910731.316
4,2020-05,0,00_ACC_Input_From_Outside,Unknown,-1445975.84
4,2020-05,1,01_ACC_Output_To_Outside,Unknown,25807316.5911
4,2020-05,2,02_USR_001,Unknown,26642241.0014
4,2020-05,3,03_USR_002,Unknown,-12796984.4343
4,2020-05,4,04_USR_003,Unknown,-72249647.0237
4,2020-05,5,05_USR_004,Unknown,-48566219.4892
4,2020-05,6,06_USR_005,Unknown,42597.2584
4,2020-05,7,07_USR_006,Unknown,25698.1397
4,2020-05,8,08_USR_007,Unknown,851745.8743
4,2020-05,9,09_USR_008,Unknown,-205083.5189
4,2020-05,10,10_USR_009,Unknown,1432105.4487
4,2020-05,11,11_USR_010,Unknown,439611.4689
5,2020-06,0,00_ACC_Input_From_Outside,Unknown,-2334042.53
5,2020-06,1,01_ACC_Output_To_Outside,Unknown,885559.355
5,2020-06,2,02_USR_001,Unknown,-13709582.9417
5,2020-06,3,03_USR_002,Unknown,-103017.3095
5,2020-06,4,04_USR_003,Unknown,11810004.4774
5,2020-06,5,05_USR_004,Unknown,-407260.6173
5,2020-06,6,06_USR_005,Unknown,807013.6838
5,2020-06,7,07_USR_006,Unknown,1304878.309
5,2020-06,8,08_USR_007,Unknown,-779817.5675
5,2020-06,9,09_USR_008,Unknown,34899.8243
5,2020-06,10,10_USR_009,Unknown,163944.2699
5,2020-06,11,11_USR_010,Unknown,-764360.2523
6,2020-07,0,00_ACC_Input_From_Outside,Unknown,-1567932.56
6,2020-07,1,01_ACC_Output_To_Outside,Unknown,43608.0508
6,2020-07,2,02_USR_001,Unknown,15527.212
6,2020-07,3,03_USR_002,Unknown,-10510968.984
6,2020-07,4,04_USR_003,Unknown,6655668.5754
6,2020-07,5,05_USR_004,Unknown,10385441.7865
6,2020-07,6,06_USR_005,Unknown,-830709.4972
6,2020-07,7,07_USR_006,Unknown,-1029609.2614
6,2020-07,8,08_USR_007,Unknown,-1641714.6336
6,2020-07,9,09_USR_008,Unknown,312166.1353
6,2020-07,10,10_USR_009,Unknown,208788.9171
6,2020-07,11,11_USR_010,Unknown,-2287326.0479
7,2020-08,0,00_ACC_Input_From_Outside,Unknown,-748117.94
7,2020-08,1,01_ACC_Output_To_Outside,Unknown,2743688.3138
7,2020-08,2,02_USR_001,Unknown,-75920.9545
7,2020-08,3,03_USR_002,Unknown,23484.7491
7,2020-08,4,04_USR_003,Unknown,-8892901.2584
7,2020-08,5,05_USR_004,Unknown,-2302869.5683
7,2020-08,6,06_USR_005,Unknown,-750999.3368
7,2020-08,7,07_USR_006,Unknown,-345255.14
7,2020-08,8,08_USR_007,Unknown,-380096.6838
7,2020-08,9,09_USR_008,Unknown,-4381.5745
7,2020-08,10,10_USR_009,Unknown,83609.6397
7,2020-08,11,11_USR_010,Unknown,2895919.2744
8,2020-09,0,00_ACC_Input_From_Outside,Unknown,-967304.84
8,2020-09,1,01_ACC_Output_To_Outside,Unknown,6930572.5748
8,2020-09,2,02_USR_001,Unknown,15949.3948
8,2020-09,3,03_USR_002,Unknown,-8001769.473
8,2020-09,4,04_USR_003,Unknown,-13260999.2417
8,2020-09,5,05_USR_004,Unknown,-11145219.0543
8,2020-09,6,06_USR_005,Unknown,1324754.1059
8,2020-09,7,07_USR_006,Unknown,3004148.7851
8,2020-09,8,08_USR_007,Unknown,4234865.4241
8,2020-09,9,09_USR_008,Unknown,744991.9557
8,2020-09,10,10_USR_009,Unknown,275826.9958
8,2020-09,11,11_USR_010,Unknown,-2786209.0513
9,2020-10,0,00_ACC_Input_From_Outside,Unknown,-1629747.88
9,2020-10,1,01_ACC_Output_To_Outside,Unknown,21328458.7305
9,2020-10,2,02_USR_001,Unknown,-98083.5205
9,2020-10,3,03_USR_002,Unknown,21265607.4537
9,2020-10,4,04_USR_003,Unknown,-30095517.07
9,2020-10,5,05_USR_004,Unknown,-92261621.336
9,2020-10,6,06_USR_005,Unknown,-3771003.5193
9,2020-10,7,07_USR_006,Unknown,-3280942.28
9,2020-10,8,08_USR_007,Unknown,-1527654.6465
9,2020-10,9,09_USR_008,Unknown,-117866.0397
9,2020-10,10,10_USR_009,Unknown,-82444.5164
9,2020-10,11,11_USR_010,Unknown,44288.6258
10,2020-11,0,00_ACC_Input_From_Outside,Unknown,-1870368.64
10,2020-11,1,01_ACC_Output_To_Outside,Unknown,27573.0006
10,2020-11,2,02_USR_001,Unknown,4022.301
10,2020-11,3,03_USR_002,Unknown,-12260707.246
10,2020-11,4,04_USR_003,Unknown,-1215588.4936
10,2020-11,5,05_USR_004,Unknown,3798080.0721
10,2020-11,6,06_USR_005,Unknown,1628970.9547
10,2020-11,7,07_USR_006,Unknown,2242135.1362
10,2020-11,8,08_USR_007,Unknown,-92643.869
10,2020-11,9,09_USR_008,Unknown,338876.9493
10,2020-11,10,10_USR_009,Unknown,1739996.4659
10,2020-11,11,11_USR_010,Unknown,95.9731
11,2020-12,0,00_ACC_Input_From_Outside,Unknown,-2443980.58
11,2020-12,1,01_ACC_Output_To_Outside,Unknown,410749.4713
11,2020-12,2,02_USR_001,Unknown,-192727.0593
11,2020-12,3,03_USR_002,Unknown,-54054.8035
11,2020-12,4,04_USR_003,Unknown,4005361.1788
11,2020-12,5,05_USR_004,Unknown,2238961.84
11,2020-12,6,06_USR_005,Unknown,-195253.1469
11,2020-12,7,07_USR_006,Unknown,-3671534.3015
11,2020-12,8,08_USR_007,Unknown,-99506.394
11,2020-12,9,09_USR_008,Unknown,-68808.8811
11,2020-12,10,10_USR_009,Unknown,-1990720.974
11,2020-12,11,11_USR_010,Unknown,-208760.2176
12,2021-01,0,00_ACC_Input_From_Outside,Unknown,-2307170.56
12,2021-01,1,01_ACC_Output_To_Outside,Unknown,1212944.3549
12,2021-01,2,02_USR_001,Unknown,30334.8311
12,2021-01,3,03_USR_002,Unknown,229779.7034
12,2021-01,4,04_USR_003,Unknown,-3460978.6575
12,2021-01,5,05_USR_004,Unknown,-5624372.2098
12,2021-01,6,06_USR_005,Unknown,593038.6549
12,2021-01,7,07_USR_006,Unknown,4670068.2412
12,2021-01,8,08_USR_007,Unknown,29716.6481
12,2021-01,9,09_USR_008,Unknown,-739733.7217
12,2021-01,10,10_USR_009,Unknown,39133.1406
12,2021-01,11,11_USR_010,Unknown,1859701.1138
13,2021-02,0,00_ACC_Input_From_Outside,Unknown,-1315993.35
13,2021-02,1,01_ACC_Output_To_Outside,Unknown,985113.191
13,2021-02,2,02_USR_001,Unknown,-52177.595
13,2021-02,3,03_USR_002,Unknown,1105775.1765
13,2021-02,4,04_USR_003,Unknown,2580486.4751
13,2021-02,5,05_USR_004,Unknown,-2350779.1665
13,2021-02,6,06_USR_005,Unknown,3137.5556
13,2021-02,7,07_USR_006,Unknown,-2649354.0256
13,2021-02,8,08_USR_007,Unknown,-101925.2961
13,2021-02,9,09_USR_008,Unknown,4478.5327
13,2021-02,10,10_USR_009,Unknown,-1333282.9385
13,2021-02,11,11_USR_010,Unknown,-41689.5439
14,2021-03,0,00_ACC_Input_From_Outside,Unknown,-2645464.97
14,2021-03,1,01_ACC_Output_To_Outside,Unknown,301722.1347
