t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-01,1359437276.06,7.3783,0.0,-5341930.17,7655027.52,0.0,1359437276.06
1,2020-02,1359437276.06,7.905,7012855.29,-3830281.11,4554850.97,0.0,1304000986.3996
2,2020-03,1359437276.06,7.1559,56027188.3771,51733532.08,-51489041.6,0.0,958513783.3554
3,2020-04,1359437276.06,8.6044,61219710.9158,166130.07,-1485419.19,0.0,832675724.4053
4,2020-05,1359437276.06,6.3624,78842837.4668,37199845.74,-35804486.2,0.0,857808599.447
5,2020-06,1359437276.06,6.5193,48558031.9887,-12001484.88,13522003.72,0.0,1042873040.8764
6,2020-07,1359437276.06,5.5805,45914110.3106,-14722283.47,16208531.35,0.0,1103215089.8747
7,2020-08,1359437276.06,4.6724,30633579.5615,2427090.51,-2077940.13,0.0,1216303893.3872
8,2020-09,1359437276.06,5.689,22778686.9137,284117.88,443421.89,0.0,1229849113.5178
9,2020-10,1359437276.06,8.2522,67808778.2473,61610532.11,-61084390.72,0.0,799866295.4443
10,2020-11,1359437276.06,4.2255,81072369.2168,-4840814.45,6666493.09,0.0,1016868456.4243
11,2020-12,1359437276.06,3.597,71128740.5791,-4404085.07,5659094.03,0.0,1103585019.3182
12,2021-01,1359437276.06,5.8395,20695169.818,8766820.1,-6483689.09,0.0,1238587277.2354
13,2021-02,1359437276.06,4.9828,12673483.3298,-1928875.91,2807531.9,0.0,1296287945.548
14,2021-03,1359437276.06,6.0637,22977139.4431,-15628519.21,17273894.26,0.0,1220110516.7924
15,2021-04,1359437276.06,5.1803,24069341.6553,-202438.49,38947.54,0.0,1234750441.3863
16,2021-05,1359437276.06,6.3817,22640037.3588,2558260.39,-143963.69,0.0,1214955771.8259
17,2021-06,1359437276.06,6.2036,10807674.5258,476274.7,-102594.33,0.0,1292391305.8794
18,2021-07,1359437276.06,5.4008,13684268.3762,6933719.04,-6224779.21,0.0,1285531726.0699
19,2021-08,1359437276.06,4.1667,10005614.2924,-2856151.15,2633476.87,0.0,1317747082.2636
20,2021-09,1359437276.06,5.9807,8830607.7151,-1351274.67,1969209.38,0.0,1306624457.6649
21,2021-10,1359437276.06,3.594,6794515.5106,870745.98,1809.32,0.0,1335017572.8453
22,2021-11,1359437276.06,3.6367,4736005.5907,-302295.16,2618.53,0.0,1342213910.9668
23,2021-12,1359816933.54,4.8663,42157462.2479,46532813.89,-45655271.81,0.0,1154667655.6911
