node_idx,node_label,dominant_frequency,spectral_power
5,05_USR_004,0.0625,6.456674152073887e+17
4,04_USR_003,0.0625,6.139238982538092e+17
3,03_USR_002,0.1875,981609598154420.5
2,02_USR_001,0.0625,183801628242544.44
7,07_USR_006,0.0625,16811962915633.658
9,09_USR_008,0.4375,9067928637915.287
6,06_USR_005,0.4375,8510756521122.48
10,10_USR_009,0.4375,8292014379278.28
11,11_USR_010,0.0625,6377509318256.31
8,08_USR_007,0.125,5461312285773.208
0,00_ACC_Input_From_Outside,0.1875,1540266261588.6372
1,01_ACC_Output_To_Outside,0.5,888272579052.4397
