t_idx,time_label,spectral_radius,is_stable
0,2020-01,0.997579,1
1,2020-02,0.998373,1
2,2020-03,0.5576,1
3,2020-04,0.860132,1
4,2020-05,0.889909,1
5,2020-06,0.983797,1
6,2020-07,1.0,1
7,2020-08,0.991004,1
8,2020-09,0.976907,1
9,2020-10,0.636973,1
10,2020-11,0.997876,1
11,2020-12,0.999973,1
12,2021-01,0.998286,1
13,2021-02,0.998914,1
14,2021-03,0.999999,1
15,2021-04,0.963315,1
16,2021-05,0.904095,1
17,2021-06,0.926562,1
18,2021-07,0.961758,1
19,2021-08,0.999282,1
20,2021-09,0.915433,1
21,2021-10,0.998661,1
22,2021-11,0.997301,1
23,2021-12,0.134778,1
