t_idx,node_idx,ik_suggested_delta,ik_strain_energy
0,0,168.2819,125101.4102
0,1,165.6974,125101.4102
0,2,168.5723,125101.4102
0,3,164.0904,125101.4102
0,4,372.9425,125101.4102
1,0,164.6695,123138.8263
1,1,165.7689,123138.8263
1,2,167.5278,123138.8263
1,3,166.4222,123138.8263
1,4,368.6738,123138.8263
2,0,-979.9673,647.9199
2,1,-1126.6515,647.9199
2,2,977.9462,647.9199
2,3,-84.7690,647.9199
2,4,1213.3837,647.9199
3,0,-487.4419,1450.1815
3,1,-1212.1892,1450.1815
3,2,723.2895,1450.1815
3,3,-249.1269,1450.1815
3,4,1225.3880,1450.1815
4,0,-128.0227,1426.3257
4,1,-746.4448,1426.3257
4,2,504.0445,1426.3257
4,3,-848.2343,1426.3257
4,4,1218.6663,1426.3257
5,0,-119.7914,3501.5014
5,1,-744.3341,3501.5014
5,2,302.6286,3501.5014
5,3,-645.1054,3501.5014
5,4,1206.6028,3501.5014
6,0,-181.7365,2249.5074
6,1,-607.9407,2249.5074
6,2,338.6692,2249.5074
6,3,-747.2350,2249.5074
6,4,1198.2417,2249.5074
7,0,-328.1714,1773.8323
7,1,-486.2783,1773.8323
7,2,179.3411,1773.8323
7,3,-573.9809,1773.8323
7,4,1209.0665,1773.8323
8,0,-290.2162,2006.9224
8,1,-561.3108,2006.9224
8,2,81.4457,2006.9224
8,3,-438.4987,2006.9224
8,4,1208.5856,2006.9224
9,0,-412.4134,1452.3085
9,1,-187.5625,1452.3085
9,2,-122.9364,1452.3085
9,3,-487.3427,1452.3085
9,4,1210.2558,1452.3085
10,0,-335.4804,1431.9804
10,1,-149.3707,1431.9804
10,2,-205.7186,1431.9804
10,3,-517.7255,1431.9804
10,4,1208.3146,1431.9804
11,0,-346.3406,1558.0756
11,1,-147.6613,1558.0756
11,2,-204.4102,1558.0756
11,3,-515.0774,1558.0756
11,4,1213.4809,1558.0756
12,0,-370.0363,1286.0432
12,1,-145.6169,1286.0432
12,2,-202.3649,1286.0432
12,3,-496.0792,1286.0432
12,4,1214.1094,1286.0432
13,0,-298.0347,1191.9193
13,1,-265.5006,1191.9193
13,2,-136.4575,1191.9193
13,3,-508.4314,1191.9193
13,4,1208.4259,1191.9193
14,0,-303.9866,1296.0307
14,1,-257.9594,1296.0307
14,2,-136.4017,1296.0307
14,3,-513.7948,1296.0307
14,4,1212.1362,1296.0307
15,0,-245.7129,1385.3633
15,1,-275.0762,1385.3633
15,2,-152.8068,1385.3633
15,3,-540.4062,1385.3633
15,4,1213.9908,1385.3633
16,0,-220.5604,1436.1023
16,1,-281.3210,1436.1023
16,2,-122.5416,1436.1023
16,3,-582.5319,1436.1023
16,4,1206.9493,1436.1023
17,0,-140.0404,1349.0985
17,1,-469.8854,1349.0985
17,2,-46.3190,1349.0985
17,3,-555.8978,1349.0985
17,4,1212.1417,1349.0985
18,0,-147.4724,1443.1449
18,1,-489.8774,1443.1449
18,2,-32.7653,1443.1449
18,3,-548.0819,1443.1449
18,4,1218.1667,1443.1449
19,0,-124.1525,1496.2674
19,1,-510.4172,1496.2674
19,2,-15.6342,1496.2674
19,3,-561.5163,1496.2674
19,4,1211.7178,1496.2674
20,0,-146.4488,1489.4027
20,1,-506.4492,1489.4027
20,2,19.0911,1489.4027
20,3,-570.2869,1489.4027
20,4,1204.1164,1489.4027
21,0,-218.2415,1410.1016
21,1,-425.7426,1410.1016
21,2,-84.5991,1410.1016
21,3,-487.3911,1410.1016
21,4,1215.9839,1410.1016
22,0,-301.2948,1293.2505
22,1,-388.2294,1293.2505
22,2,-108.1503,1293.2505
22,3,-411.7437,1293.2505
22,4,1209.4411,1293.2505
23,0,-297.8720,1325.1332
23,1,-446.8543,1325.1332
23,2,-123.9934,1325.1332
23,3,-352.1587,1325.1332
23,4,1220.8742,1325.1332
24,0,-327.5411,1248.6832
24,1,-436.6062,1248.6832
24,2,-108.6180,1248.6832
24,3,-335.6655,1248.6832
24,4,1208.4196,1248.6832
25,0,-342.7095,1308.7736
25,1,-430.2301,1308.7736
25,2,-115.4503,1308.7736
25,3,-322.1582,1308.7736
25,4,1210.5438,1308.7736
26,0,-307.8865,1343.6248
26,1,-419.5277,1343.6248
26,2,-123.7275,1343.6248
26,3,-357.3060,1343.6248
26,4,1208.4632,1343.6248
27,0,-313.3163,1330.6640
27,1,-434.6428,1330.6640
27,2,-111.1503,1330.6640
27,3,-351.9923,1330.6640
27,4,1211.1196,1330.6640
28,0,-340.6871,1347.5138
28,1,-370.7627,1347.5138
28,2,-156.5288,1347.5138
28,3,-343.2607,1347.5138
28,4,1211.2255,1347.5138
29,0,-326.4952,1392.0094
29,1,-343.3504,1392.0094
29,2,-175.1499,1392.0094
29,3,-368.4632,1392.0094
29,4,1213.4412,1392.0094
30,0,-325.1198,1433.6277
30,1,-345.5975,1433.6277
30,2,-152.5000,1433.6277
30,3,-389.7698,1433.6277
30,4,1212.9994,1433.6277
31,0,-334.2810,1466.5909
31,1,-355.1472,1466.5909
31,2,-136.4577,1466.5909
31,3,-380.9889,1466.5909
31,4,1206.8981,1466.5909
32,0,-307.7151,1502.2118
32,1,-359.8722,1502.2118
32,2,-148.1014,1502.2118
32,3,-385.5445,1502.2118
32,4,1201.2290,1502.2118
33,0,-301.7298,1563.4945
33,1,-364.5566,1563.4945
33,2,-137.6618,1563.4945
33,3,-406.4652,1563.4945
33,4,1210.4238,1563.4945
34,0,-358.7810,1601.4589
34,1,-345.2600,1601.4589
34,2,-140.0153,1601.4589
34,3,-373.0724,1601.4589
34,4,1217.1750,1601.4589
35,0,-381.3904,1527.5443
35,1,-397.1223,1527.5443
35,2,-112.9942,1527.5443
35,3,-312.5619,1527.5443
35,4,1204.0500,1527.5443
36,0,-407.6284,1567.4489
36,1,-376.3506,1567.4489
36,2,-110.8557,1567.4489
36,3,-310.3223,1567.4489
36,4,1205.1417,1567.4489
37,0,-395.9315,1619.3275
37,1,-377.7376,1619.3275
37,2,-121.9273,1619.3275
37,3,-314.7966,1619.3275
37,4,1210.3914,1619.3275
38,0,-407.1687,1437.5817
38,1,-342.7958,1437.5817
38,2,-95.6536,1437.5817
38,3,-369.5963,1437.5817
38,4,1215.1922,1437.5817
39,0,-400.0268,1455.8126
39,1,-363.4213,1455.8126
39,2,-95.5248,1455.8126
39,3,-354.0866,1455.8126
39,4,1213.0712,1455.8126
40,0,-439.8123,1488.1488
40,1,-347.5316,1488.1488
40,2,-81.3847,1488.1488
40,3,-344.0932,1488.1488
40,4,1212.8112,1488.1488
41,0,-435.4006,1516.7859
41,1,-350.0933,1516.7859
41,2,-91.7891,1516.7859
41,3,-332.5034,1516.7859
41,4,1209.7837,1516.7859
42,0,-414.7551,1556.6608
42,1,-341.8780,1556.6608
42,2,-105.7463,1556.6608
42,3,-348.0297,1556.6608
42,4,1210.4198,1556.6608
43,0,-385.7376,1596.7391
43,1,-377.4888,1596.7391
43,2,-103.1347,1596.7391
43,3,-349.5940,1596.7391
43,4,1215.9527,1596.7391
44,0,-407.4238,1599.3182
44,1,-417.5542,1599.3182
44,2,-67.3254,1599.3182
44,3,-319.6626,1599.3182
44,4,1211.9979,1599.3182
45,0,-411.3376,1645.8680
45,1,-393.9347,1645.8680
45,2,-71.5563,1645.8680
45,3,-338.7455,1645.8680
45,4,1215.5640,1645.8680
46,0,-383.9593,1674.8201
46,1,-408.0250,1674.8201
46,2,-63.1056,1674.8201
46,3,-362.3218,1674.8201
46,4,1217.4108,1674.8201
47,0,-386.9378,1662.2077
47,1,-408.8661,1662.2077
47,2,-71.0436,1662.2077
47,3,-334.8118,1662.2077
47,4,1201.6693,1662.2077
48,0,-388.7196,1714.7351
48,1,-395.0047,1714.7351
48,2,-109.0033,1714.7351
48,3,-318.3512,1714.7351
48,4,1211.0801,1714.7351
49,0,-250.9771,1627.2606
49,1,-437.7193,1627.2606
49,2,-185.7167,1627.2606
49,3,-340.2250,1627.2606
49,4,1214.6453,1627.2606
50,0,-179.7114,1522.9598
50,1,-441.1163,1522.9598
50,2,-279.1408,1522.9598
50,3,-308.2142,1522.9598
50,4,1208.1562,1522.9598
51,0,-201.0882,1535.9300
51,1,-426.3417,1535.9300
51,2,-247.1415,1535.9300
51,3,-334.3303,1535.9300
51,4,1208.9151,1535.9300
52,0,-225.6036,1509.0800
52,1,-434.7282,1509.0800
52,2,-220.8786,1509.0800
52,3,-328.3997,1509.0800
52,4,1209.5828,1509.0800
53,0,-229.2076,1556.1181
53,1,-426.9771,1556.1181
53,2,-218.4155,1556.1181
53,3,-342.0408,1556.1181
53,4,1216.6277,1556.1181
54,0,-211.4713,1580.2375
54,1,-439.4093,1580.2375
54,2,-216.9539,1580.2375
54,3,-351.2966,1580.2375
54,4,1219.1615,1580.2375
55,0,-208.0228,1581.4690
55,1,-451.5954,1581.4690
55,2,-216.2510,1581.4690
55,3,-338.8378,1581.4690
55,4,1214.7189,1581.4690
56,0,-216.0250,1569.0481
56,1,-451.8638,1569.0481
56,2,-192.7667,1569.0481
56,3,-344.9449,1569.0481
56,4,1205.6072,1569.0481
57,0,-220.1993,1600.1257
57,1,-470.9764,1600.1257
57,2,-194.9756,1600.1257
57,3,-325.0975,1600.1257
57,4,1211.2555,1600.1257
58,0,-224.1939,1634.0829
58,1,-483.2436,1634.0829
58,2,-182.2287,1634.0829
58,3,-324.5692,1634.0829
58,4,1214.2769,1634.0829
59,0,-210.8561,1669.5118
59,1,-473.0747,1669.5118
59,2,-191.7843,1669.5118
59,3,-341.4012,1669.5118
59,4,1217.0872,1669.5118
60,0,-222.1394,1683.4437
60,1,-454.1574,1683.4437
60,2,-202.2567,1683.4437
60,3,-333.2804,1683.4437
60,4,1211.8312,1683.4437
61,0,-204.6106,1677.7315
61,1,-471.6792,1677.7315
61,2,-191.5264,1677.7315
61,3,-333.2832,1677.7315
61,4,1201.0987,1677.7315
62,0,-204.5665,1737.6430
62,1,-474.6353,1737.6430
62,2,-217.1762,1737.6430
62,3,-319.4764,1737.6430
62,4,1215.8517,1737.6430
63,0,-206.7072,1769.9413
63,1,-485.2700,1769.9413
63,2,-194.5425,1769.9413
63,3,-332.5579,1769.9413
63,4,1219.0721,1769.9413
64,0,-219.2781,1792.0236
64,1,-465.8241,1792.0236
64,2,-201.0744,1792.0236
64,3,-329.9831,1792.0236
64,4,1216.1589,1792.0236
65,0,-186.8688,1791.1090
65,1,-486.9821,1791.1090
65,2,-209.8234,1791.1090
65,3,-323.6559,1791.1090
65,4,1207.3278,1791.1090
66,0,-228.3716,1811.7788
66,1,-481.9450,1811.7788
66,2,-179.9507,1811.7788
66,3,-318.9028,1811.7788
66,4,1209.1756,1811.7788
67,0,-222.3840,1812.7229
67,1,-494.6134,1812.7229
67,2,-166.5262,1812.7229
67,3,-324.0598,1812.7229
67,4,1207.5649,1812.7229
68,0,-192.3010,1840.2309
68,1,-489.0913,1840.2309
68,2,-183.3204,1840.2309
68,3,-342.7559,1840.2309
68,4,1207.4326,1840.2309
69,0,-228.6080,1882.7862
69,1,-458.5701,1882.7862
69,2,-187.6410,1882.7862
69,3,-338.6998,1882.7862
69,4,1213.5243,1882.7862
70,0,-256.9741,1906.7253
70,1,-477.1031,1906.7253
70,2,-133.4385,1906.7253
70,3,-345.7485,1906.7253
70,4,1213.2876,1906.7253
71,0,-241.9302,1902.9139
71,1,-496.8475,1902.9139
71,2,-156.4138,1902.9139
71,3,-313.5491,1902.9139
71,4,1208.7850,1902.9139
72,0,-242.3459,1946.2877
72,1,-492.7018,1946.2877
72,2,-158.3205,1946.2877
72,3,-320.2708,1946.2877
72,4,1213.6403,1946.2877
73,0,-253.3562,1951.4385
73,1,-486.2306,1951.4385
73,2,-127.3113,1951.4385
73,3,-344.9329,1951.4385
73,4,1211.8485,1951.4385
74,0,-198.1125,1955.7866
74,1,-529.1441,1955.7866
74,2,-140.9021,1955.7866
74,3,-341.4273,1955.7866
74,4,1209.5766,1955.7866
75,0,-238.9026,2001.4343
75,1,-507.3720,2001.4343
75,2,-127.7217,2001.4343
75,3,-340.9720,2001.4343
75,4,1214.9645,2001.4343
76,0,-230.9633,2040.7321
76,1,-486.9264,2040.7321
76,2,-142.9603,2040.7321
76,3,-359.4750,2040.7321
76,4,1220.3138,2040.7321
77,0,-216.0674,2004.8548
77,1,-530.4640,2004.8548
77,2,-114.3116,2004.8548
77,3,-343.8424,2004.8548
77,4,1204.6816,2004.8548
78,0,-212.8912,2074.5674
78,1,-522.9095,2074.5674
78,2,-145.5081,2074.5674
78,3,-335.7041,2074.5674
78,4,1217.0040,2074.5674
79,0,-226.3985,2071.2219
79,1,-505.9946,2071.2219
79,2,-111.0199,2071.2219
79,3,-365.7040,2071.2219
79,4,1209.0912,2071.2219
80,0,-223.8910,2127.4638
80,1,-521.8661,2127.4638
80,2,-131.2008,2127.4638
80,3,-340.4800,2127.4638
80,4,1217.4319,2127.4638
81,0,-234.1469,2125.2953
81,1,-509.7411,2125.2953
81,2,-126.8518,2125.2953
81,3,-340.6028,2125.2953
81,4,1211.3238,2125.2953
82,0,-284.3708,2145.1489
82,1,-518.5191,2145.1489
82,2,-75.5769,2145.1489
82,3,-332.1133,2145.1489
82,4,1210.5692,2145.1489
83,0,-278.9573,2131.7301
83,1,-480.7957,2131.7301
83,2,-85.3805,2131.7301
83,3,-353.8677,2131.7301
83,4,1198.9825,2131.7301
84,0,-231.1623,2144.3391
84,1,-532.3806,2144.3391
84,2,-99.4957,2144.3391
84,3,-335.1927,2144.3391
84,4,1198.2214,2144.3391
85,0,-309.3838,2214.7664
85,1,-470.8814,2214.7664
85,2,-143.3000,2214.7664
85,3,-305.2023,2214.7664
85,4,1228.7527,2214.7664
86,0,-302.8452,2064.2688
86,1,-432.5149,2064.2688
86,2,-181.8261,2064.2688
86,3,-287.8487,2064.2688
86,4,1205.0609,2064.2688
87,0,-289.4754,2099.9519
87,1,-484.3434,2099.9519
87,2,-169.5408,2099.9519
87,3,-271.5395,2099.9519
87,4,1214.8484,2099.9519
88,0,-313.3538,2076.5053
88,1,-448.7560,2076.5053
88,2,-163.9494,2076.5053
88,3,-281.7086,2076.5053
88,4,1207.7667,2076.5053
89,0,-313.9062,2022.1963
89,1,-406.8559,2022.1963
89,2,-174.4807,2022.1963
89,3,-315.2579,2022.1963
89,4,1210.4990,2022.1963
90,0,-296.5745,1985.5792
90,1,-429.0402,1985.5792
90,2,-113.1530,1985.5792
90,3,-362.4099,1985.5792
90,4,1201.1355,1985.5792
91,0,-283.9434,1967.0894
91,1,-451.5329,1967.0894
91,2,-180.6160,1967.0894
91,3,-272.9978,1967.0894
91,4,1189.0870,1967.0894
92,0,-297.8597,1998.5497
92,1,-350.1005,1998.5497
92,2,-256.1263,1998.5497
92,3,-316.6831,1998.5497
92,4,1220.7898,1998.5497
93,0,-256.8512,1849.7379
93,1,-296.5114,1849.7379
93,2,-326.5085,1849.7379
93,3,-328.8653,1849.7379
93,4,1208.7273,1849.7379
94,0,-174.1452,1820.3181
94,1,-359.2600,1820.3181
94,2,-322.1305,1820.3181
94,3,-354.7154,1820.3181
94,4,1210.2721,1820.3181
95,0,-147.3844,1815.2943
95,1,-346.7978,1815.2943
95,2,-399.1476,1815.2943
95,3,-309.9571,1815.2943
95,4,1203.2911,1815.2943
96,0,-266.2686,1881.6000
96,1,-270.1078,1881.6000
96,2,-300.5739,1881.6000
96,3,-378.5098,1881.6000
96,4,1215.4556,1881.6000
97,0,-170.1982,1833.7018
97,1,-378.9472,1833.7018
97,2,-350.8834,1833.7018
97,3,-301.6076,1833.7018
97,4,1201.6305,1833.7018
98,0,-119.2273,1876.9167
98,1,-338.0358,1876.9167
98,2,-415.8004,1876.9167
98,3,-337.0252,1876.9167
98,4,1210.0773,1876.9167
99,0,-199.7093,1901.7148
99,1,-292.8498,1901.7148
99,2,-388.3038,1901.7148
