t_idx,src_idx,tgt_idx,stiffness_k,partial_corr
0,0,0,0.000000000000,0.0000
0,0,1,0.000000000000,0.0000
0,0,2,0.000000000000,0.0000
0,0,3,0.000000000000,0.0000
0,0,4,0.000000000000,0.0000
0,1,0,0.000000000000,0.0000
0,1,1,0.000000000000,0.0000
0,1,2,0.000000000000,0.0000
0,1,3,0.000000000000,0.0000
0,1,4,0.000000000000,0.0000
0,2,0,0.000000000000,0.0000
0,2,1,0.000000000000,0.0000
0,2,2,0.000000000000,0.0000
0,2,3,0.000000000000,0.0000
0,2,4,0.000000000000,0.0000
0,3,0,0.000000000000,0.0000
0,3,1,0.000000000000,0.0000
0,3,2,0.000000000000,0.0000
0,3,3,0.000000000000,0.0000
0,3,4,0.000000000000,0.0000
0,4,0,0.000000000000,0.0000
0,4,1,0.000000000000,0.0000
0,4,2,0.000000000000,0.0000
0,4,3,0.000000000000,0.0000
0,4,4,0.000000000000,0.0000
1,0,0,0.000000000000,0.0000
1,0,1,0.000000000000,0.0000
1,0,2,0.000000000000,0.0000
1,0,3,0.000000000000,0.0000
1,0,4,0.000000000000,0.0000
1,1,0,0.000000000000,0.0000
1,1,1,0.000000000000,0.0000
1,1,2,0.000000000000,0.0000
1,1,3,0.000000000000,0.0000
1,1,4,0.000000000000,0.0000
1,2,0,0.000000000000,0.0000
1,2,1,0.000000000000,0.0000
1,2,2,0.000000000000,0.0000
1,2,3,0.000000000000,0.0000
1,2,4,0.000000000000,0.0000
1,3,0,0.000000000000,0.0000
1,3,1,0.000000000000,0.0000
1,3,2,0.000000000000,0.0000
1,3,3,0.000000000000,0.0000
1,3,4,0.000000000000,0.0000
1,4,0,0.000000000000,0.0000
1,4,1,0.000000000000,0.0000
1,4,2,0.000000000000,0.0000
1,4,3,0.000000000000,0.0000
1,4,4,0.000000000000,0.0000
2,0,0,0.000075560955,1.0000
2,0,1,0.000065727460,-1.0000
2,0,2,-0.000065590392,1.0000
2,0,3,0.000005684913,-1.0000
2,0,4,-0.000081382277,1.0000
2,1,0,0.000065723257,-1.0000
2,1,1,0.000057170112,1.0000
2,1,2,-0.000057052390,1.0000
2,1,3,0.000004944935,-1.0000
2,1,4,-0.000070787161,1.0000
2,2,0,-0.000065589724,1.0000
2,2,1,-0.000057054320,1.0000
2,2,2,0.000056935837,1.0000
2,2,3,-0.000004934808,1.0000
2,2,4,0.000070642188,-1.0000
2,3,0,0.000005684617,-1.0000
2,3,1,0.000004944900,-1.0000
2,3,2,-0.000004934537,1.0000
2,3,3,0.000000427701,1.0000
2,3,4,-0.000006122625,1.0000
2,4,0,-0.000081382692,1.0000
2,4,1,-0.000070790760,1.0000
2,4,2,0.000070644543,-1.0000
2,4,3,-0.000006123038,1.0000
2,4,4,0.000087653287,1.0000
