t_idx,component_idx,node_idx,eigenvalue,explained_variance_ratio,vector_value
0,0,0,0.000000,0.000000,0.000000
0,0,1,0.000000,0.000000,0.000000
0,0,2,0.000000,0.000000,0.000000
0,0,3,0.000000,0.000000,0.000000
0,0,4,0.000000,0.000000,0.000000
0,1,0,0.000000,0.000000,0.000000
0,1,1,0.000000,0.000000,0.000000
0,1,2,0.000000,0.000000,0.000000
0,1,3,0.000000,0.000000,0.000000
0,1,4,0.000000,0.000000,0.000000
0,2,0,0.000000,0.000000,0.000000
0,2,1,0.000000,0.000000,0.000000
0,2,2,0.000000,0.000000,0.000000
0,2,3,0.000000,0.000000,0.000000
0,2,4,0.000000,0.000000,0.000000
1,0,0,0.000000,0.000000,0.000000
1,0,1,0.000000,0.000000,0.000000
1,0,2,0.000000,0.000000,0.000000
1,0,3,0.000000,0.000000,0.000000
1,0,4,0.000000,0.000000,0.000000
1,1,0,0.000000,0.000000,0.000000
1,1,1,0.000000,0.000000,0.000000
1,1,2,0.000000,0.000000,0.000000
1,1,3,0.000000,0.000000,0.000000
1,1,4,0.000000,0.000000,0.000000
1,2,0,0.000000,0.000000,0.000000
1,2,1,0.000000,0.000000,0.000000
1,2,2,0.000000,0.000000,0.000000
1,2,3,0.000000,0.000000,0.000000
1,2,4,0.000000,0.000000,0.000000
2,0,0,3600.405900,1.000000,0.521580
2,0,1,3600.405900,1.000000,0.453701
2,0,2,3600.405900,1.000000,-0.452759
2,0,3,3600.405900,1.000000,0.039242
2,0,4,3600.405900,1.000000,-0.561765
2,1,0,0.000000,0.000000,-0.447827
2,1,1,0.000000,0.000000,0.233069
2,1,2,0.000000,0.000000,-0.768842
2,1,3,0.000000,0.000000,0.004604
2,1,4,0.000000,0.000000,0.392417
2,2,0,0.000000,0.000000,-0.300770
2,2,1,0.000000,0.000000,-0.073206
2,2,2,0.000000,0.000000,0.012794
2,2,3,0.000000,0.000000,0.906973
2,2,4,0.000000,0.000000,-0.285333
3,0,0,3059.330206,0.776251,-0.200701
3,0,1,3059.330206,0.776251,-0.762990
3,0,2,3059.330206,0.776251,0.515586
