t_idx,node_idx,fk_echo_impact
0,0,4.0434
0,1,-15.5318
0,2,16.1000
0,3,-0.6169
0,4,-3.9947
1,0,19.7272
1,1,25.2364
1,2,-11.6800
1,3,-10.5250
1,4,-22.7586
2,0,-1.8102
2,1,33.4524
2,2,-8.0146
2,3,-22.8656
2,4,-0.7621
3,0,1.1665
3,1,2.5656
3,2,9.8411
3,3,-16.5854
3,4,3.0122
4,0,-0.3671
4,1,-9.2517
4,2,10.4630
4,3,14.5513
4,4,-15.3955
5,0,-7.1438
5,1,5.7472
5,2,5.4931
5,3,-10.6728
5,4,6.5763
6,0,-13.5210
6,1,33.2240
6,2,-5.5608
6,3,-19.5297
6,4,5.3875
7,0,-12.3858
7,1,0.1345
7,2,-17.3593
7,3,11.6611
7,4,17.9494
8,0,-3.3711
8,1,-6.8838
8,2,1.3654
8,3,-6.2209
8,4,15.1103
9,0,-18.1838
9,1,5.2543
9,2,18.1493
9,3,10.1666
9,4,-15.3864
10,0,-16.7591
10,1,31.9552
10,2,-2.9473
10,3,-16.7440
10,4,4.4952
11,0,-19.0306
11,1,14.2046
11,2,10.1364
11,3,1.9667
11,4,-7.2771
12,0,-23.7668
12,1,-2.7055
12,2,8.4824
12,3,-8.0860
12,4,26.0760
13,0,-0.4294
13,1,-12.3981
13,2,3.4315
13,3,9.1846
13,4,0.2113
14,0,2.6658
14,1,-17.6446
14,2,7.2417
14,3,2.7826
14,4,4.9545
15,0,-21.1557
15,1,16.2537
15,2,-19.0732
15,3,15.6428
15,4,8.3324
16,0,-28.2230
16,1,10.6713
16,2,4.9438
16,3,-6.1129
16,4,18.7207
17,0,26.9156
17,1,-13.8407
17,2,-6.4310
17,3,2.9758
17,4,-9.6197
18,0,-5.9061
18,1,11.9637
18,2,-10.1166
18,3,6.5106
18,4,-2.4517
19,0,5.4866
19,1,21.2903
19,2,-31.2252
19,3,10.8279
19,4,-6.3797
20,0,5.2062
20,1,-1.3176
20,2,-18.1657
20,3,5.2544
20,4,9.0227
21,0,-4.1228
21,1,26.1121
21,2,-3.3923
21,3,1.1008
21,4,-19.6978
22,0,-3.9193
22,1,-12.0833
22,2,-9.0142
22,3,14.2008
22,4,10.8160
23,0,21.2913
23,1,-9.2809
23,2,-0.2465
23,3,-4.4244
23,4,-7.3395
24,0,12.3257
24,1,-29.6131
24,2,2.6847
24,3,-5.8283
24,4,20.4310
25,0,-8.6187
25,1,3.2882
25,2,7.7541
25,3,-23.6334
25,4,21.2098
26,0,-22.9766
26,1,-9.6317
26,2,26.3860
26,3,-6.9837
26,4,13.2060
27,0,-10.7880
27,1,4.6061
27,2,19.0064
27,3,-3.3383
27,4,-9.4862
28,0,18.3119
28,1,-0.6818
28,2,-11.5899
28,3,-11.9265
28,4,5.8863
29,0,1.9586
29,1,-13.5744
29,2,0.1785
29,3,14.2660
29,4,-2.8287
30,0,0.8137
30,1,-24.9770
30,2,21.2500
30,3,-0.8178
30,4,3.7310
31,0,13.2685
31,1,-10.0893
31,2,-18.2384
31,3,13.5083
31,4,1.5509
32,0,-0.0280
32,1,-4.5063
32,2,12.7135
32,3,-12.2450
32,4,4.0658
33,0,17.0941
33,1,-1.9739
33,2,-8.9159
33,3,-1.1199
33,4,-5.0844
34,0,8.2525
34,1,30.9668
34,2,-4.3533
34,3,-16.3892
34,4,-18.4769
35,0,-16.7144
35,1,-1.4555
35,2,3.6665
35,3,8.1076
35,4,6.3957
36,0,-1.4122
36,1,-29.1720
36,2,15.8433
36,3,-0.0594
36,4,14.8003
37,0,-13.8955
37,1,-11.3223
37,2,14.6346
37,3,-12.1725
37,4,22.7557
38,0,-9.0908
38,1,9.5608
38,2,10.5362
38,3,9.6494
38,4,-20.6555
39,0,-7.1722
39,1,11.1975
39,2,-4.0543
39,3,10.4150
39,4,-10.3860
40,0,-2.7746
40,1,0.9553
40,2,-1.7540
40,3,9.7711
40,4,-6.1978
41,0,1.2587
41,1,4.5008
41,2,-11.5190
41,3,6.9087
41,4,-1.1492
