t_idx,node_idx,optimal_input_u,state_error_x
0,0,0.0000,44.2400
0,1,0.0000,42.7600
0,2,0.0000,973.0200
0,3,391.8116,48.9300
0,4,0.0000,20.4700
1,0,0.0000,44.5300
1,1,0.0000,16.8700
1,2,0.0000,1065.3000
1,3,394.7688,35.1000
1,4,0.0000,2.5400
2,0,0.0000,16.0800
2,1,0.0000,13.7600
2,2,0.0000,1069.6600
2,3,401.5046,34.6700
2,4,0.0000,32.6700
3,0,0.0000,55.6200
3,1,0.0000,37.1800
3,2,0.0000,1027.2500
3,3,398.4292,9.3800
3,4,0.0000,74.9300
4,0,0.0000,31.6900
4,1,0.0000,12.3700
4,2,0.0000,962.9500
4,3,399.1109,16.2700
4,4,0.0000,34.0000
5,0,0.0000,18.7300
5,1,0.0000,38.7100
5,2,0.0000,1026.2900
5,3,397.8047,33.3600
5,4,0.0000,50.3700
6,0,0.0000,12.6900
6,1,0.0000,21.6200
6,2,0.0000,951.7000
6,3,396.8928,16.9600
6,4,0.0000,2.9700
7,0,0.0000,25.6300
7,1,0.0000,19.0800
7,2,0.0000,1058.0800
7,3,400.3832,14.6700
7,4,0.0000,49.9600
8,0,0.0000,14.1400
8,1,0.0000,18.3300
8,2,0.0000,1037.8400
8,3,402.4630,19.3200
8,4,0.0000,13.9500
9,0,0.0000,51.0300
9,1,0.0000,9.3300
9,2,0.0000,1077.6400
9,3,386.9901,9.0200
9,4,0.0000,8.2600
10,0,0.0000,10.1900
10,1,0.0000,0.2400
10,2,0.0000,992.7400
10,3,401.0483,23.8100
10,4,0.0000,21.1200
11,0,0.0000,76.7700
11,1,0.0000,33.4600
11,2,0.0000,1056.8300
11,3,398.8721,48.3200
11,4,0.0000,51.8200
12,0,0.0000,15.6000
12,1,0.0000,51.3100
12,2,0.0000,950.6700
12,3,402.8466,14.2600
12,4,0.0000,3.3200
13,0,0.0000,13.6400
13,1,0.0000,41.6100
13,2,0.0000,1052.5800
13,3,389.3878,27.3000
13,4,0.0000,24.6300
14,0,0.0000,66.8800
