t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,4.8600,0.0000,0.0000,4.8600,0.0000,0.0000
0,1,-18.6800,0.0000,0.0000,18.6800,0.0000,0.0000
0,2,19.7000,0.0000,0.0000,19.7000,0.0000,0.0000
0,3,-0.5700,0.0000,0.0000,0.5700,0.0000,0.0000
0,4,-5.3100,0.0000,0.0000,5.3100,0.0000,0.0000
1,0,23.4100,18.5500,0.0000,14.1350,0.1078,2.0000
1,1,30.3500,49.0300,0.0000,24.5150,0.0408,2.0000
1,2,-14.2600,-33.9600,0.0000,16.9800,0.0589,-2.0000
1,3,-12.4400,-11.8700,0.0000,6.5050,0.1685,-2.0000
1,4,-27.0600,-21.7500,0.0000,16.1850,0.0920,-2.0000
2,0,-2.3000,-25.7100,-44.2600,10.1900,0.0551,-452.4261
2,1,40.8800,10.5300,-38.5000,29.9700,0.0475,-1153.3453
2,2,-9.8000,4.4600,38.4200,14.5867,0.0583,560.6797
2,3,-27.6400,-15.2000,-3.3300,13.5500,0.1533,-47.4515
2,4,-1.1400,25.9200,47.6700,11.1700,0.0513,533.8041
3,0,1.5700,3.8700,29.5800,8.0350,0.0627,237.9180
3,1,3.0100,-37.8700,-48.4000,23.2300,0.0323,-1125.5556
3,2,11.9900,21.7900,17.3300,13.9375,0.0495,242.6153
3,3,-19.9700,7.6700,22.8700,15.1550,0.1090,347.4309
3,4,3.4000,4.5400,-21.3800,9.2275,0.0591,-197.0158
4,0,-0.5600,-2.1300,-6.0000,6.5400,0.0701,-39.3892
4,1,-11.3200,-14.3300,23.5400,20.8480,0.0347,490.2641
4,2,12.8400,0.8500,-20.9400,13.7180,0.0552,-287.2080
4,3,17.8600,37.8300,30.1600,15.6960,0.0528,475.3885
4,4,-18.8200,-22.2200,-26.7600,11.1460,0.0555,-299.5004
5,0,-8.6200,-8.0600,-5.9300,6.8867,0.0753,-41.4445
5,1,6.5700,17.8900,32.2200,18.4683,0.0371,595.7127
5,2,6.7300,-6.1100,-6.9600,12.5533,0.0602,-87.7388
5,3,-12.8200,-30.6800,-68.5100,15.2167,0.0465,-1043.9196
5,4,8.1400,26.9600,49.1800,10.6450,0.0505,524.8816
6,0,-15.6900,-7.0700,0.9900,8.1443,0.0805,7.4935
6,1,40.5700,34.0000,16.1100,21.6257,0.0369,349.6463
6,2,-7.2100,-13.9400,-7.8300,11.7900,0.0628,-93.1906
6,3,-23.2500,-10.4300,20.2500,16.3643,0.0497,330.8588
6,4,5.5800,-2.5600,-29.5200,9.9214,0.0543,-293.0195
7,0,-15.2600,0.4300,7.5000,9.0337,0.0857,67.7900
7,1,-0.2300,-40.8000,-74.8000,18.9512,0.0332,-1418.9086
7,2,-20.8900,-13.6800,0.2600,12.9275,0.0656,2.4644
7,3,14.3700,37.6200,48.0500,16.1150,0.0431,775.9486
7,4,22.0100,16.4300,18.9900,11.4325,0.0558,218.0200
8,0,-3.8700,11.3900,10.9600,8.4600,0.0845,93.6838
8,1,-8.3700,-8.1400,32.6600,17.7756,0.0350,580.2648
8,2,1.6000,22.4900,36.1700,11.6689,0.0596,423.4033
8,3,-7.7000,-22.0700,-59.6900,15.1800,0.0433,-907.0490
8,4,18.3400,-3.6700,-20.1000,12.2000,0.0587,-245.4353
9,0,-21.8600,-17.9900,-29.3800,9.8000,0.0811,-289.3824
9,1,5.9900,14.3600,22.5000,16.5970,0.0365,373.9566
9,2,22.3100,20.7100,-1.7800,12.7330,0.0577,-21.4694
9,3,12.5300,20.2300,42.3000,14.9150,0.0438,631.7911
9,4,-18.9700,-37.3100,-33.6400,12.8770,0.0497,-435.0364
10,0,-20.7000,1.1600,19.1500,10.7909,0.0847,206.7441
10,1,38.7200,32.7300,18.3700,18.6082,0.0363,343.0210
10,2,-3.2200,-25.5300,-46.2400,11.8682,0.0552,-550.1947
10,3,-20.3700,-32.9000,-53.1300,15.4109,0.0419,-820.1596
10,4,5.5700,24.5400,61.8500,12.2127,0.0486,756.5495
11,0,-22.7600,-2.0600,-3.2200,11.7883,0.0884,-38.1406
11,1,17.0800,-21.6400,-54.3700,18.4808,0.0365,-1005.5931
11,2,12.1900,15.4100,40.9400,11.8950,0.0556,487.8375
11,3,2.3800,22.7500,55.6500,14.3250,0.0419,798.1403
11,4,-8.8900,-14.4600,-39.0000,11.9358,0.0496,-466.2147
12,0,-28.7700,-6.0100,-3.9500,13.0946,0.0916,-52.2745
12,1,-3.2800,-20.3600,1.2800,17.3115,0.0370,21.4057
12,2,10.4700,-1.7200,-17.1300,11.7854,0.0578,-201.9831
12,3,-10.3000,-12.6800,-35.4300,14.0154,0.0432,-497.1124
12,4,31.8800,40.7700,55.2300,13.4700,0.0449,745.7805
13,0,-0.5800,28.1900,34.2000,12.7654,0.0732,438.6392
13,1,-15.1200,-11.8400,8.5200,17.0377,0.0367,144.7268
13,2,4.2300,-6.2400,-4.5200,10.5954,0.0576,-48.2507
13,3,11.0300,21.3300,34.0100,14.8200,0.0418,504.9205
13,4,0.4400,-31.4400,-72.2100,13.0954,0.0416,-946.9243
14,0,3.1500,3.7300,-24.4600,11.2069,0.0793,-273.8256
14,1,-21.3200,-6.2000,5.6400,16.3431,0.0428,91.9095
