t_idx,node_idx,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,0,0.0000,0.0000,0
0,1,0.0000,0.0000,0
0,2,0.0000,0.0000,0
0,3,0.0000,0.0000,0
0,4,0.0000,0.0000,0
1,0,0.0009,0.0000,0
1,1,0.0000,0.0000,0
1,2,0.0009,0.0000,0
1,3,0.0003,0.0000,0
1,4,0.0009,0.0000,0
2,0,0.0002,195.2069,1
2,1,0.0001,1.2402,0
2,2,0.0001,1.0945,0
2,3,0.0006,0.9898,0
2,4,0.0002,2.3608,0
3,0,0.0003,1.5491,0
3,1,0.0003,4.7419,1
3,2,0.0000,0.1962,0
3,3,0.0001,0.0616,0
3,4,0.0003,7.5551,1
4,0,0.0002,4.9127,1
4,1,0.0000,0.7395,0
4,2,0.0004,1.8272,0
4,3,0.0001,0.2546,0
4,4,0.0001,0.6970,0
5,0,0.0000,1.4096,0
5,1,0.0001,1.2437,0
5,2,0.0001,0.1486,0
5,3,0.0001,0.7808,0
5,4,0.0001,1.5553,0
6,0,0.0001,0.9336,0
6,1,0.0002,0.4007,0
6,2,0.0002,1.6855,0
6,3,0.0002,1.0251,0
6,4,0.0001,0.0813,0
7,0,0.0004,1.2116,0
7,1,0.0001,1.1889,0
7,2,0.0003,1.0496,0
7,3,0.0001,0.1939,0
7,4,0.0002,1.2710,0
8,0,0.0004,0.1558,0
8,1,0.0005,0.9969,0
8,2,0.0007,0.4694,0
8,3,0.0004,0.3502,0
8,4,0.0002,0.5014,0
9,0,0.0003,1.3234,0
9,1,0.0000,0.5507,0
9,2,0.0001,1.3668,0
9,3,0.0003,0.0669,0
9,4,0.0002,0.1103,0
10,0,0.0002,0.7407,0
10,1,0.0006,0.1568,0
10,2,0.0001,0.7284,0
10,3,0.0000,0.5340,0
10,4,0.0001,0.6989,0
11,0,0.0006,2.8030,0
11,1,0.0004,1.5196,0
11,2,0.0000,0.8053,0
11,3,0.0003,1.5277,0
11,4,0.0000,1.3951,0
12,0,0.0000,0.5094,0
12,1,0.0001,2.0121,0
12,2,0.0001,1.7492,0
12,3,0.0001,0.0230,0
12,4,0.0002,0.0798,0
13,0,0.0004,0.2922,0
13,1,0.0001,1.6439,0
13,2,0.0001,0.7356,0
13,3,0.0002,1.7510,0
13,4,0.0003,0.5263,0
14,0,0.0004,1.9324,0
14,1,0.0002,1.0858,0
14,2,0.0002,0.0849,0
14,3,0.0006,1.7863,0
14,4,0.0003,1.7525,0
15,0,0.0002,0.3315,0
15,1,0.0002,0.3309,0
15,2,0.0006,1.3015,0
15,3,0.0005,0.3873,0
15,4,0.0001,2.4488,0
16,0,0.0001,0.0978,0
16,1,0.0008,0.3654,0
16,2,0.0002,0.0320,0
16,3,0.0002,0.6857,0
16,4,0.0006,0.1296,0
17,0,0.0006,1.1406,0
17,1,0.0000,0.3029,0
17,2,0.0001,0.5397,0
17,3,0.0008,0.1096,0
17,4,0.0005,1.3410,0
18,0,0.0038,1.1173,0
18,1,0.0008,1.5263,0
18,2,0.0005,0.2316,0
18,3,0.0002,0.2507,0
18,4,0.0002,0.3953,0
19,0,0.0004,0.0467,0
19,1,0.0003,0.4101,0
19,2,0.0005,0.0374,0
19,3,0.0006,0.6254,0
19,4,0.0015,0.6665,0
20,0,0.0006,1.7238,0
20,1,0.0009,1.1035,0
20,2,0.0013,0.8367,0
20,3,0.0021,2.0028,0
20,4,0.0008,0.2898,0
21,0,0.0009,1.6754,0
21,1,0.0010,1.2228,0
21,2,0.0003,1.6563,0
21,3,0.0001,1.3286,0
21,4,0.0004,0.0135,0
22,0,0.0003,0.9133,0
22,1,0.0001,0.8003,0
22,2,0.0002,0.0799,0
22,3,0.0001,0.3174,0
22,4,0.0003,1.6817,0
23,0,0.0002,0.4303,0
23,1,0.0001,0.5101,0
23,2,0.0003,0.6906,0
23,3,0.0001,1.0233,0
23,4,0.0001,0.1025,0
24,0,0.0000,0.3238,0
24,1,0.0002,0.0123,0
24,2,0.0001,0.8096,0
24,3,0.0004,1.4460,0
24,4,0.0002,0.1777,0
25,0,0.0005,0.5689,0
25,1,0.0002,1.4967,0
25,2,0.0009,0.6132,0
25,3,0.0005,0.9352,0
25,4,0.0001,0.4681,0
26,0,0.0000,0.5141,0
26,1,0.0002,0.1530,0
26,2,0.0001,1.1415,0
26,3,0.0002,1.1467,0
26,4,0.0001,1.5960,0
27,0,0.0001,1.8945,0
27,1,0.0008,0.4365,0
27,2,0.0001,2.4896,0
27,3,0.0001,1.5937,0
27,4,0.0003,0.7135,0
28,0,0.0003,0.1660,0
28,1,0.0000,0.3457,0
28,2,0.0001,1.1082,0
28,3,0.0000,0.2079,0
28,4,0.0002,1.3181,0
29,0,0.0005,1.6564,0
29,1,0.0002,0.8043,0
29,2,0.0002,0.1811,0
29,3,0.0002,0.1612,0
29,4,0.0001,0.7890,0
30,0,0.2377,1.0728,0
30,1,0.2310,0.3714,0
30,2,0.2261,0.0549,0
30,3,0.0000,0.5777,0
30,4,0.2249,0.5131,0
31,0,0.2056,1.3088,0
31,1,0.1987,0.3013,0
31,2,0.1970,0.1057,0
31,3,0.0000,0.5653,0
31,4,0.1971,0.8867,0
32,0,0.1811,0.3671,0
32,1,0.1865,1.2765,0
32,2,0.1838,0.5165,0
32,3,0.0000,0.5536,0
32,4,0.1745,1.4249,0
33,0,0.1576,1.4294,0
33,1,0.1628,1.7854,0
33,2,0.1603,1.1328,0
33,3,0.0000,0.5426,0
33,4,0.1558,0.5510,0
34,0,0.1334,1.0106,0
34,1,0.1334,0.0323,0
34,2,0.1397,1.7806,0
34,3,0.0000,0.5323,0
34,4,0.1323,0.5021,0
35,0,0.1360,0.8931,0
35,1,0.1333,0.9152,0
