t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,1955.5400,9.9899,0.0000,5.3100,-5.3100,0.0000,1955.5400
1,2113.8400,9.9929,67.5800,27.0600,-27.0600,0.0000,1438.5208
2,2103.8500,9.9950,74.2987,1.1400,-1.1400,0.0000,1361.2379
3,2242.9000,9.9918,69.1776,-3.4000,3.4000,0.0000,1551.6938
4,2310.4000,9.9937,73.3423,18.8200,-18.8200,0.0000,1577.4415
5,2376.5500,9.9932,70.5318,-8.1400,8.1400,0.0000,1671.7107
6,2442.6800,9.9901,72.7457,-5.5800,5.5800,0.0000,1715.9436
7,2481.6500,9.9958,77.6633,-22.0100,22.0100,0.0000,1705.3421
8,2545.3600,9.9930,75.5554,-18.3400,18.3400,0.0000,1790.3383
9,2625.5600,9.9937,77.4042,18.9700,-18.9700,0.0000,1852.0073
10,2681.2500,9.9946,77.3957,-5.5700,5.5700,0.0000,1907.7110
11,2705.0000,9.9945,75.8143,8.8900,-8.8900,0.0000,1947.2737
12,2736.6400,9.9941,77.3764,-31.8800,31.8800,0.0000,1963.3298
13,2774.9100,9.9942,76.3616,-0.4400,0.4400,0.0000,2011.7396
14,2768.4300,9.9942,71.2410,-5.6700,5.6700,0.0000,2056.4345
15,2823.4000,9.9942,70.9970,-9.3000,9.3000,0.0000,2113.8387
16,2860.9300,9.9951,71.3422,-22.6600,22.6600,0.0000,2147.8585
17,2811.7600,9.9928,75.3454,11.6900,-11.6900,0.0000,2058.8464
18,2808.0300,9.9957,75.8252,2.9300,-2.9300,0.0000,2050.1053
19,2779.3400,9.9984,77.0328,7.9600,-7.9600,0.0000,2009.1377
20,2753.0400,9.9951,76.5636,-10.9900,10.9900,0.0000,1987.7758
21,2742.3000,9.9945,78.0812,23.5700,-23.5700,0.0000,1961.9197
22,2782.1800,9.9981,76.4939,-12.9600,12.9600,0.0000,2017.3852
23,2679.2100,9.9969,74.6427,8.8100,-8.8100,0.0000,1933.0123
24,2636.6300,9.9964,77.3546,-24.7000,24.7000,0.0000,1863.3656
25,2575.0500,9.9965,78.1203,-25.8400,25.8400,0.0000,1794.1237
26,2590.5900,9.9946,82.9590,-15.6000,15.6000,0.0000,1761.4502
27,2564.7400,9.9910,84.2371,11.7000,-11.7000,0.0000,1723.1264
28,2543.7400,9.9961,82.1625,-7.1500,7.1500,0.0000,1722.4325
29,2459.7400,9.9909,79.4353,3.5300,-3.5300,0.0000,1666.1135
30,2422.4400,9.9964,79.1665,-4.6500,4.6500,0.0000,1631.0626
31,2319.2000,9.9971,80.0364,-1.7200,1.7200,0.0000,1519.0653
32,2339.5600,9.9945,74.6652,-4.9100,4.9100,0.0000,1593.3184
33,2331.6100,9.9925,74.3314,5.8600,-5.8600,0.0000,1588.8551
34,2274.1400,9.9957,75.9886,22.3800,-22.3800,0.0000,1514.5810
35,2223.9600,9.9923,75.6103,-7.5200,7.5200,0.0000,1468.4400
36,2231.8500,9.9917,76.4352,-17.3500,17.3500,0.0000,1468.1319
37,2217.1500,9.9945,75.8292,-27.3300,27.3300,0.0000,1459.2754
38,2187.2300,9.9911,75.8737,25.0000,-25.0000,0.0000,1429.1680
39,2212.3700,9.9935,73.6803,12.5300,-12.5300,0.0000,1476.0485
40,2137.5600,9.9936,72.2108,7.4000,-7.4000,0.0000,1415.9135
41,2177.7100,9.9931,69.9740,1.4800,-1.4800,0.0000,1478.4497
42,2176.3800,9.9901,68.9323,-5.7800,5.7800,0.0000,1487.7381
43,2140.6800,9.9910,72.2313,-18.6600,18.6600,0.0000,1419.0168
44,2128.7400,9.9934,69.2812,-3.7600,3.7600,0.0000,1436.3855
45,2196.7800,9.9939,70.3334,-0.0600,0.0600,0.0000,1493.8741
46,2195.3400,9.9929,68.6323,-13.4000,13.4000,0.0000,1509.5046
47,2238.0500,9.9938,68.7768,-19.5900,19.5900,0.0000,1550.7072
48,2212.6300,9.9904,74.3050,-8.2700,8.2700,0.0000,1470.2903
49,2231.0300,9.9913,81.3041,32.3000,-32.3000,0.0000,1418.6933
50,2230.4500,9.9929,77.4576,-9.2200,9.2200,0.0000,1456.4271
51,2199.8400,9.9913,79.2152,-27.2500,27.2500,0.0000,1408.3750
52,2313.9100,9.9932,78.6482,2.9700,-2.9700,0.0000,1527.9664
53,2316.1800,9.9920,80.1994,-2.1500,2.1500,0.0000,1514.8290
54,2312.0100,9.9937,82.4580,11.8400,-11.8400,0.0000,1487.9529
55,2370.9800,9.9959,86.2335,-3.6200,3.6200,0.0000,1508.9976
56,2372.7500,9.9931,86.5043,-22.2400,22.2400,0.0000,1508.3074
57,2358.8600,9.9959,88.2132,-8.5700,8.5700,0.0000,1477.0936
58,2340.9100,9.9959,85.4441,-4.2000,4.2000,0.0000,1486.8227
59,2408.6000,9.9899,86.0436,-9.6900,9.6900,0.0000,1549.0310
60,2383.7200,9.9960,83.0491,-15.8300,15.8300,0.0000,1553.5640
61,2417.2800,9.9965,76.0911,-12.7100,12.7100,0.0000,1656.6384
62,2402.0600,9.9945,68.2760,0.6000,-0.6000,0.0000,1719.6759
63,2341.6800,9.9957,67.9508,7.4000,-7.4000,0.0000,1662.4658
64,2374.1300,9.9957,69.8746,6.2800,-6.2800,0.0000,1675.6858
65,2335.3600,9.9946,71.5965,5.5900,-5.5900,0.0000,1619.7789
66,2300.3900,9.9931,71.5038,20.4900,-20.4900,0.0000,1585.8471
67,2307.9900,9.9946,69.7955,4.0000,-4.0000,0.0000,1610.4155
68,2204.0100,9.9894,68.8971,4.9600,-4.9600,0.0000,1515.7720
69,2178.7800,9.9925,67.2183,-7.7400,7.7400,0.0000,1507.1036
70,2092.2300,9.9908,63.0174,-3.1700,3.1700,0.0000,1462.6384
71,2097.4300,9.9932,66.5763,-17.5800,17.5800,0.0000,1432.1173
72,2009.4000,9.9897,72.1978,-18.4000,18.4000,0.0000,1288.1634
73,1998.3700,9.9904,70.0630,-2.8400,2.8400,0.0000,1298.4137
74,1895.9200,9.9894,70.7294,-15.4800,15.4800,0.0000,1189.3735
75,1839.5100,9.9902,71.5817,-12.0800,12.0800,0.0000,1124.3911
76,1747.8300,9.9881,73.9368,-0.3000,0.3000,0.0000,1009.3445
77,1692.0200,9.9883,72.2716,-6.4500,6.4500,0.0000,970.1519
78,1653.3400,9.9865,74.8733,-0.6000,0.6000,0.0000,905.6143
79,1523.3800,9.9857,73.6316,-5.9400,5.9400,0.0000,788.1175
80,1505.1400,9.9865,72.4242,-7.8000,7.8000,0.0000,781.8765
81,1402.2500,9.9864,74.2480,1.7500,-1.7500,0.0000,660.7811
82,1316.6900,9.9865,71.5646,-3.7000,3.7000,0.0000,602.0114
83,1297.0800,9.9814,72.6940,-8.2500,8.2500,0.0000,571.4943
84,1237.0800,9.9791,72.8948,-15.6400,15.6400,0.0000,509.6522
85,1221.1400,9.9824,68.5306,15.8200,-15.8200,0.0000,537.0420
86,1140.3500,9.9620,72.1592,-18.9800,18.9800,0.0000,421.4998
87,1100.4400,9.9681,73.7209,-4.4500,4.4500,0.0000,365.5849
88,1056.1300,9.9712,76.7590,-24.2800,24.2800,0.0000,290.7492
89,1060.2200,9.9827,80.8431,12.4800,-12.4800,0.0000,253.1881
90,1031.7600,9.9538,80.9311,-7.0700,7.0700,0.0000,226.1863
91,1070.9000,9.9584,79.6104,-16.3500,16.3500,0.0000,278.1066
92,1018.5700,9.9660,85.5840,23.4800,-23.4800,0.0000,165.6432
93,967.9300,9.9619,88.9862,-26.9100,26.9100,0.0000,81.4587
94,1005.6500,9.9763,86.6102,3.7900,-3.7900,0.0000,141.6032
95,991.5300,9.9679,85.9158,1.0900,-1.0900,0.0000,135.1259
96,1060.7800,9.9497,84.8104,-15.6800,15.6800,0.0000,216.9443
97,1133.3400,9.9820,82.0377,-8.3800,8.3800,0.0000,314.4424
98,1099.1200,9.9700,86.8788,-12.1500,12.1500,0.0000,232.9380
99,1134.3800,9.9703,83.8978,2.6400,-2.6400,0.0000,297.8961
100,1231.2500,9.9759,83.6052,-16.1300,16.1300,0.0000,397.2120
101,1282.9000,9.9818,84.5905,-2.2900,2.2900,0.0000,438.5341
102,1352.7700,9.9699,80.6500,-21.6100,21.6100,0.0000,548.6952
103,1376.2900,9.9823,78.1674,-17.4100,17.4100,0.0000,596.0028
104,1454.7600,9.9862,76.4760,-9.0100,9.0100,0.0000,691.0553
105,1507.1900,9.9891,68.2313,2.6200,-2.6200,0.0000,825.6218
106,1531.7600,9.9811,63.9839,-2.4700,2.4700,0.0000,893.1299
107,1633.8900,9.9906,70.7178,10.1200,-10.1200,0.0000,927.3773
108,1695.8800,9.9820,70.8051,13.3300,-13.3300,0.0000,989.1005
109,1768.6100,9.9838,68.4104,-9.3800,9.3800,0.0000,1085.6141
110,1823.1800,9.9862,68.5514,4.0900,-4.0900,0.0000,1138.6089
