node_idx,node_label,account_category,dominant_frequency,spectral_power
3,03_USR_004,Unknown,0.0625,6.456674152073884e+17
2,02_USR_003,Unknown,0.0625,6.139238982538092e+17
1,01_USR_002,Unknown,0.1875,978731019671199.6
0,00_USR_001,Unknown,0.0625,183547586031940.44
5,05_USR_006,Unknown,0.0625,15716857282500.428
7,07_USR_008,Unknown,0.4375,9016192369132.639
8,08_USR_009,Unknown,0.4375,8962142256067.299
4,04_USR_005,Unknown,0.4375,7537205489733.559
9,09_USR_010,Unknown,0.0625,6600285893527.417
6,06_USR_007,Unknown,0.125,4880195624300.688
10,10_STK_001,Unknown,0.0,0.0
11,11_STK_002,Unknown,0.0,0.0
12,12_STK_003,Unknown,0.0,0.0
13,13_STK_004,Unknown,0.0,0.0
14,14_STK_005,Unknown,0.0,0.0
