t_idx,time_label,spectral_radius,is_stable
0,2020-01,0.935346,1
1,2020-02,0.955692,1
2,2020-03,0.874416,1
3,2020-04,1.0,0
4,2020-05,1.0,1
5,2020-06,1.0,1
6,2020-07,0.975505,1
7,2020-08,0.999184,1
8,2020-09,0.978431,1
9,2020-10,0.999784,1
10,2020-11,0.984725,1
11,2020-12,0.997714,1
12,2021-01,1.0,1
13,2021-02,1.0,0
14,2021-03,0.974412,1
15,2021-04,0.999967,1
16,2021-05,0.885554,1
17,2021-06,1.0,1
18,2021-07,0.999998,1
19,2021-08,1.0,1
20,2021-09,1.0,0
21,2021-10,0.998291,1
22,2021-11,1.0,1
23,2021-12,0.998287,1
