node_idx,node_label,account_category,dominant_frequency,spectral_power
1,01_ACC_Accounts_Receivable,Asset,0.0833,8844208002.9917
7,07_ACC_Sales_Revenue,Revenue,0.1667,6458537941.1105
3,03_ACC_Cash,Asset,0.0833,4700700563.2881
4,04_ACC_Inventory,Asset,0.1667,2695547309.9608
2,02_ACC_COGS,Expense,0.1667,2158868736.302
0,00_ACC_Accounts_Payable,Liability,0.3333,1983567620.747
8,08_ACC_Travel_Exp,Expense,0.3333,30851849.5958
5,05_ACC_Payroll_Exp,Expense,0.4167,8992690.2681
9,09_UNKNOWN_LEAK,Unknown,0.0833,6113528.792
6,06_ACC_Rent_Exp,Expense,0.25,5090258.8922
10,10_ACC_Equity_Capital,Equity,0.0,0.0
