t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2020-01,0,00_ACC_Accounts_Payable,Liability,-55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,8896.2942
0,2020-01,2,02_ACC_COGS,Expense,14913.0872
0,2020-01,3,03_ACC_Cash,Asset,-177.3947
0,2020-01,4,04_ACC_Inventory,Asset,-43467.721
0,2020-01,5,05_ACC_Payroll_Exp,Expense,14100.3208
0,2020-01,6,06_ACC_Rent_Exp,Expense,4966.7475
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,-147433.66
0,2020-01,8,08_ACC_Travel_Exp,Expense,4572.0221
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,-25595.8025
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,-12932.1199
1,2020-02,2,02_ACC_COGS,Expense,26773.2779
1,2020-02,3,03_ACC_Cash,Asset,-25200.1661
1,2020-02,4,04_ACC_Inventory,Asset,-36969.16
1,2020-02,5,05_ACC_Payroll_Exp,Expense,12064.132
1,2020-02,6,06_ACC_Rent_Exp,Expense,3549.9416
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,-170205.47
1,2020-02,8,08_ACC_Travel_Exp,Expense,3244.8339
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,0.0
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-26056.5035
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,-69648.9745
2,2020-03,2,02_ACC_COGS,Expense,28482.4488
2,2020-03,3,03_ACC_Cash,Asset,-43245.5583
2,2020-03,4,04_ACC_Inventory,Asset,-32556.1779
2,2020-03,5,05_ACC_Payroll_Exp,Expense,6879.8389
2,2020-03,6,06_ACC_Rent_Exp,Expense,2701.1091
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,-100458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,2731.5009
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,0.0
2,2020-03,10,10_ACC_Equity_Capital,Equity,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,-36826.2512
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,-100393.658
3,2020-04,2,02_ACC_COGS,Expense,28389.044
3,2020-04,3,03_ACC_Cash,Asset,-73310.5193
3,2020-04,4,04_ACC_Inventory,Asset,-703.1835
3,2020-04,5,05_ACC_Payroll_Exp,Expense,6601.3507
3,2020-04,6,06_ACC_Rent_Exp,Expense,1859.5197
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,-50480.48
3,2020-04,8,08_ACC_Travel_Exp,Expense,2407.1994
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,0.0
3,2020-04,10,10_ACC_Equity_Capital,Equity,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,-41414.0686
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,-80434.253
4,2020-05,2,02_ACC_COGS,Expense,14764.7789
4,2020-05,3,03_ACC_Cash,Asset,-19910.535
4,2020-05,4,04_ACC_Inventory,Asset,-12116.2483
4,2020-05,5,05_ACC_Payroll_Exp,Expense,10231.6572
4,2020-05,6,06_ACC_Rent_Exp,Expense,2651.6702
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,-45351.38
4,2020-05,8,08_ACC_Travel_Exp,Expense,2235.8665
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,0.0
4,2020-05,10,10_ACC_Equity_Capital,Equity,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,-37529.3658
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,-52658.4895
5,2020-06,2,02_ACC_COGS,Expense,23136.6732
5,2020-06,3,03_ACC_Cash,Asset,-61304.9906
5,2020-06,4,04_ACC_Inventory,Asset,-9361.3609
5,2020-06,5,05_ACC_Payroll_Exp,Expense,5903.5372
5,2020-06,6,06_ACC_Rent_Exp,Expense,1707.0533
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,-54879.67
5,2020-06,8,08_ACC_Travel_Exp,Expense,1578.2332
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,34.5845
5,2020-06,10,10_ACC_Equity_Capital,Equity,0.0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,-42772.672
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,-37867.576
6,2020-07,2,02_ACC_COGS,Expense,32439.8455
6,2020-07,3,03_ACC_Cash,Asset,-78050.7049
6,2020-07,4,04_ACC_Inventory,Asset,-33527.1112
6,2020-07,5,05_ACC_Payroll_Exp,Expense,7004.4365
6,2020-07,6,06_ACC_Rent_Exp,Expense,2250.6539
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,-111667.96
6,2020-07,8,08_ACC_Travel_Exp,Expense,3624.2424
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,263.7253
6,2020-07,10,10_ACC_Equity_Capital,Equity,0.0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,-26146.7006
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,-45758.967
7,2020-08,2,02_ACC_COGS,Expense,33424.1038
7,2020-08,3,03_ACC_Cash,Asset,-69184.1942
7,2020-08,4,04_ACC_Inventory,Asset,-41183.3955
7,2020-08,5,05_ACC_Payroll_Exp,Expense,7117.6137
7,2020-08,6,06_ACC_Rent_Exp,Expense,1864.0535
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,-124227.22
7,2020-08,8,08_ACC_Travel_Exp,Expense,3288.2783
7,2020-08,9,09_UNKNOWN_LEAK,Unknown,281.0222
7,2020-08,10,10_ACC_Equity_Capital,Equity,0.0
8,2020-09,0,00_ACC_Accounts_Payable,Liability,-48209.4612
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,-86560.518
8,2020-09,2,02_ACC_COGS,Expense,25257.6793
8,2020-09,3,03_ACC_Cash,Asset,-31031.2138
8,2020-09,4,04_ACC_Inventory,Asset,-31654.342
8,2020-09,5,05_ACC_Payroll_Exp,Expense,11578.7013
8,2020-09,6,06_ACC_Rent_Exp,Expense,1835.6139
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,-95107.68
8,2020-09,8,08_ACC_Travel_Exp,Expense,2667.8817
8,2020-09,9,09_UNKNOWN_LEAK,Unknown,2544.606
8,2020-09,10,10_ACC_Equity_Capital,Equity,0.0
9,2020-10,0,00_ACC_Accounts_Payable,Liability,-23618.3859
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,-94234.6925
9,2020-10,2,02_ACC_COGS,Expense,28420.8612
9,2020-10,3,03_ACC_Cash,Asset,-89523.7786
9,2020-10,4,04_ACC_Inventory,Asset,-2145.528
9,2020-10,5,05_ACC_Payroll_Exp,Expense,5945.6573
9,2020-10,6,06_ACC_Rent_Exp,Expense,2064.5877
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,-56232.85
9,2020-10,8,08_ACC_Travel_Exp,Expense,3432.179
9,2020-10,9,09_UNKNOWN_LEAK,Unknown,0.0
9,2020-10,10,10_ACC_Equity_Capital,Equity,0.0
10,2020-11,0,00_ACC_Accounts_Payable,Liability,-21388.1096
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,-98829.9721
10,2020-11,2,02_ACC_COGS,Expense,34499.5339
10,2020-11,3,03_ACC_Cash,Asset,-73122.0026
10,2020-11,4,04_ACC_Inventory,Asset,8730.9465
10,2020-11,5,05_ACC_Payroll_Exp,Expense,10132.4658
10,2020-11,6,06_ACC_Rent_Exp,Expense,2509.062
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,-93994.96
10,2020-11,8,08_ACC_Travel_Exp,Expense,3652.6092
10,2020-11,9,09_UNKNOWN_LEAK,Unknown,0.0
10,2020-11,10,10_ACC_Equity_Capital,Equity,0.0
11,2020-12,0,00_ACC_Accounts_Payable,Liability,-31233.8842
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,-58621.39
11,2020-12,2,02_ACC_COGS,Expense,24651.1532
11,2020-12,3,03_ACC_Cash,Asset,-74738.3015
11,2020-12,4,04_ACC_Inventory,Asset,-8767.8315
11,2020-12,5,05_ACC_Payroll_Exp,Expense,6640.9048
11,2020-12,6,06_ACC_Rent_Exp,Expense,1327.3536
11,2020-12,7,07_ACC_Sales_Revenue,Revenue,-57202.2
11,2020-12,8,08_ACC_Travel_Exp,Expense,1965.1295
11,2020-12,9,09_UNKNOWN_LEAK,Unknown,0.0
11,2020-12,10,10_ACC_Equity_Capital,Equity,0.0
