Transaction_ID,Timestamp,Debit_Account,Credit_Account,Asset_Type,Amount,Price,Memo
M_000001,2020-01-01T14:48:41,USR_005_Stock,USR_004_Stock,STK_005,189,3903.72,Normal
M_000001,2020-01-01T14:48:41,USR_004_Cash,USR_005_Cash,CASH,737803.08,1.00,Normal
EX_IN_000002,2020-01-02T09:05:27,USR_006_Cash,ACC_Input_From_Outside_Cash,CASH,191254.61,1.00,External_Inflow
EX_IN_000004,2020-01-02T09:23:13,USR_010_Cash,ACC_Input_From_Outside_Cash,CASH,191254.61,1.00,External_Inflow
EX_IN_000003,2020-01-02T09:27:02,USR_002_Cash,ACC_Input_From_Outside_Cash,CASH,191254.61,1.00,External_Inflow
M_000005,2020-01-02T12:10:17,USR_010_Stock,USR_004_Stock,STK_001,338,3604.25,Normal
M_000005,2020-01-02T12:10:17,USR_004_Cash,USR_010_Cash,CASH,1218236.50,1.00,Normal
EX_OUT_000008,2020-01-03T09:06:47,ACC_Output_To_Outside_Cash,USR_010_Cash,CASH,157994.69,1.00,External_Outflow
EX_OUT_000006,2020-01-03T09:17:19,ACC_Output_To_Outside_Cash,USR_009_Cash,CASH,157994.69,1.00,External_Outflow
EX_OUT_000007,2020-01-03T09:20:47,ACC_Output_To_Outside_Cash,USR_001_Cash,CASH,157994.69,1.00,External_Outflow
M_000009,2020-01-03T14:39:51,USR_008_Stock,USR_004_Stock,STK_003,132,2117.07,Normal
M_000009,2020-01-03T14:39:51,USR_004_Cash,USR_008_Cash,CASH,279453.24,1.00,Normal
M_000010,2020-01-03T15:30:00,USR_004_Stock,USR_003_Stock,STK_003,2351,2160.88,MM_Balance
M_000010,2020-01-03T15:30:00,USR_003_Cash,USR_004_Cash,CASH,5080228.88,1.00,MM_Balance
M_000012,2020-01-04T12:30:27,USR_003_Stock,USR_007_Stock,STK_001,44,3823.25,Normal
M_000012,2020-01-04T12:30:27,USR_007_Cash,USR_003_Cash,CASH,168223.00,1.00,Normal
M_000011,2020-01-04T14:32:30,USR_008_Stock,USR_003_Stock,STK_002,183,1076.29,Normal
M_000011,2020-01-04T14:32:30,USR_003_Cash,USR_008_Cash,CASH,196961.07,1.00,Normal
M_000013,2020-01-04T15:34:00,USR_003_Stock,USR_004_Stock,STK_003,1438,2163.07,MM_Balance
M_000013,2020-01-04T15:34:00,USR_004_Cash,USR_003_Cash,CASH,3110494.66,1.00,MM_Balance
EX_OUT_000017,2020-01-06T09:00:30,ACC_Output_To_Outside_Cash,USR_002_Cash,CASH,36218.88,1.00,External_Outflow
EX_OUT_000018,2020-01-06T09:03:11,ACC_Output_To_Outside_Cash,USR_010_Cash,CASH,8413.74,1.00,External_Outflow
EX_OUT_000015,2020-01-06T09:18:27,ACC_Output_To_Outside_Cash,USR_001_Cash,CASH,36218.88,1.00,External_Outflow
EX_OUT_000014,2020-01-06T09:22:15,ACC_Output_To_Outside_Cash,USR_008_Cash,CASH,36218.88,1.00,External_Outflow
EX_OUT_000019,2020-01-06T09:25:43,ACC_Output_To_Outside_Cash,USR_009_Cash,CASH,36218.88,1.00,External_Outflow
EX_OUT_000016,2020-01-06T09:28:32,ACC_Output_To_Outside_Cash,USR_005_Cash,CASH,1685.89,1.00,External_Outflow
M_000020,2020-01-06T13:38:29,USR_004_Stock,USR_009_Stock,STK_001,145,3871.60,Normal
M_000020,2020-01-06T13:38:29,USR_009_Cash,USR_004_Cash,CASH,561382.00,1.00,Normal
EX_IN_000021,2020-01-07T09:01:56,USR_005_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000028,2020-01-07T09:02:19,USR_008_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000026,2020-01-07T09:02:20,USR_001_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000023,2020-01-07T09:02:44,USR_007_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000025,2020-01-07T09:06:20,USR_009_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000022,2020-01-07T09:17:20,USR_010_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000027,2020-01-07T09:20:18,USR_006_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_IN_000024,2020-01-07T09:29:03,USR_002_Cash,ACC_Input_From_Outside_Cash,CASH,40192.50,1.00,External_Inflow
EX_OUT_000029,2020-01-08T09:02:30,ACC_Output_To_Outside_Cash,USR_006_Cash,CASH,7638.33,1.00,External_Outflow
EX_OUT_000031,2020-01-08T09:07:16,ACC_Output_To_Outside_Cash,USR_008_Cash,CASH,7638.33,1.00,External_Outflow
EX_OUT_000033,2020-01-08T09:09:03,ACC_Output_To_Outside_Cash,USR_001_Cash,CASH,7638.33,1.00,External_Outflow
EX_OUT_000032,2020-01-08T09:17:16,ACC_Output_To_Outside_Cash,USR_009_Cash,CASH,7638.33,1.00,External_Outflow
EX_OUT_000030,2020-01-08T09:18:21,ACC_Output_To_Outside_Cash,USR_005_Cash,CASH,7638.33,1.00,External_Outflow
EX_IN_000036,2020-01-10T09:05:30,USR_006_Cash,ACC_Input_From_Outside_Cash,CASH,2412.10,1.00,External_Inflow
EX_IN_000035,2020-01-10T09:08:56,USR_001_Cash,ACC_Input_From_Outside_Cash,CASH,2412.10,1.00,External_Inflow
EX_IN_000034,2020-01-10T09:21:44,USR_010_Cash,ACC_Input_From_Outside_Cash,CASH,2412.10,1.00,External_Inflow
M_000037,2020-01-10T13:24:43,USR_009_Stock,USR_004_Stock,STK_001,308,3790.03,Normal
M_000037,2020-01-10T13:24:43,USR_004_Cash,USR_009_Cash,CASH,1167329.24,1.00,Normal
EX_IN_000039,2020-01-11T09:13:52,USR_001_Cash,ACC_Input_From_Outside_Cash,CASH,114585.92,1.00,External_Inflow
EX_IN_000040,2020-01-11T09:21:11,USR_009_Cash,ACC_Input_From_Outside_Cash,CASH,114585.92,1.00,External_Inflow
EX_IN_000038,2020-01-11T09:29:51,USR_010_Cash,ACC_Input_From_Outside_Cash,CASH,114585.92,1.00,External_Inflow
M_000041,2020-01-12T10:07:54,USR_009_Stock,USR_004_Stock,STK_002,178,1134.49,Normal
M_000041,2020-01-12T10:07:54,USR_004_Cash,USR_009_Cash,CASH,201939.22,1.00,Normal
EX_IN_000044,2020-01-13T09:10:42,USR_009_Cash,ACC_Input_From_Outside_Cash,CASH,25222.82,1.00,External_Inflow
EX_IN_000045,2020-01-13T09:14:53,USR_008_Cash,ACC_Input_From_Outside_Cash,CASH,25222.82,1.00,External_Inflow
EX_IN_000046,2020-01-13T09:20:41,USR_007_Cash,ACC_Input_From_Outside_Cash,CASH,25222.82,1.00,External_Inflow
EX_IN_000042,2020-01-13T09:24:52,USR_005_Cash,ACC_Input_From_Outside_Cash,CASH,25222.82,1.00,External_Inflow
EX_IN_000043,2020-01-13T09:26:50,USR_002_Cash,ACC_Input_From_Outside_Cash,CASH,25222.82,1.00,External_Inflow
M_000048,2020-01-13T12:11:28,USR_004_Stock,USR_005_Stock,STK_003,219,2086.74,Normal
M_000048,2020-01-13T12:11:28,USR_005_Cash,USR_004_Cash,CASH,456996.06,1.00,Normal
M_000047,2020-01-13T12:30:19,USR_003_Stock,USR_009_Stock,STK_005,196,3666.81,Normal
M_000047,2020-01-13T12:30:19,USR_009_Cash,USR_003_Cash,CASH,718694.76,1.00,Normal
EX_IN_000049,2020-01-15T09:01:34,USR_010_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
EX_IN_000055,2020-01-15T09:02:29,USR_009_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
EX_IN_000050,2020-01-15T09:08:21,USR_005_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
EX_IN_000056,2020-01-15T09:15:32,USR_008_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
EX_IN_000051,2020-01-15T09:16:13,USR_006_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
EX_IN_000052,2020-01-15T09:20:51,USR_007_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
EX_IN_000054,2020-01-15T09:26:13,USR_001_Cash,ACC_Input_From_Outside_Cash,CASH,31747.53,1.00,External_Inflow
