Account_Name,Category
IchijoHorikawa,Expense
IchijoShinmachi,Expense
IchijoMuromachi,Expense
IchijoKarasuma,Expense
IchijoKurumayacho,Expense
NijoHorikawa,Expense
NijoShinmachi,Expense
NijoMuromachi,Expense
NijoKarasuma,Expense
NijoKurumayacho,Expense
SanjoHorikawa,Expense
SanjoShinmachi,Expense
SanjoMuromachi,Expense
SanjoKarasuma,Revenue
SanjoKurumayacho,Expense
ShijoHorikawa,Expense
ShijoShinmachi,Expense
ShijoMuromachi,Revenue
ShijoKarasuma,Expense
ShijoKurumayacho,Revenue
GojoHorikawa,Equity
GojoShinmachi,Expense
GojoMuromachi,Expense
GojoKarasuma,Revenue
GojoKurumayacho,Expense
