Timestamp,Src,Tgt,Volume
2020-W01,STK_001,USR_001,851662.5
2020-W01,STK_001,USR_002,3537968.9000000004
2020-W01,STK_001,USR_003,1659099.1900000002
2020-W01,STK_001,USR_004,2879994.52
2020-W01,STK_001,USR_006,427303.8
2020-W01,STK_001,USR_007,2745228.21
2020-W01,STK_001,USR_008,1129001.13
2020-W01,STK_001,USR_009,1540427.08
2020-W01,STK_001,USR_010,1718583.17
2020-W01,STK_002,USR_001,117382.34
2020-W01,STK_002,USR_002,11729.43
2020-W01,STK_002,USR_003,26415.35
2020-W01,STK_002,USR_004,116720.87999999999
2020-W01,STK_002,USR_005,17236.45
2020-W01,STK_002,USR_006,17231.06
2020-W01,STK_002,USR_007,57150.6
2020-W01,STK_002,USR_008,73583.27
2020-W01,STK_002,USR_009,72727.2
2020-W01,STK_002,USR_010,74488.41
2020-W01,STK_003,USR_001,2103106.94
2020-W01,STK_003,USR_002,2019125.3199999998
2020-W01,STK_003,USR_003,2244601.2800000003
2020-W01,STK_003,USR_004,409868.41000000003
2020-W01,STK_003,USR_005,909859.24
2020-W01,STK_003,USR_006,391146.0
2020-W01,STK_003,USR_007,949651.61
2020-W01,STK_003,USR_008,1353493.04
2020-W01,STK_003,USR_009,1125675.69
2020-W01,STK_003,USR_010,689362.28
2020-W01,STK_004,USR_002,72615.17000000001
2020-W01,STK_004,USR_004,1100289.35
2020-W01,STK_004,USR_005,1270210.1300000001
2020-W01,STK_004,USR_006,223457.79
2020-W01,STK_004,USR_007,623831.8200000001
2020-W01,STK_004,USR_008,522944.05
2020-W01,STK_004,USR_009,561657.8300000001
2020-W01,STK_004,USR_010,659259.97
2020-W01,STK_005,USR_001,1836852.0499999998
2020-W01,STK_005,USR_002,1543581.72
2020-W01,STK_005,USR_003,2163463.96
2020-W01,STK_005,USR_004,1508411.0999999999
2020-W01,STK_005,USR_005,1794270.37
2020-W01,STK_005,USR_006,1035199.2
2020-W01,STK_005,USR_007,2802168.84
2020-W01,STK_005,USR_008,3517734.89
2020-W01,STK_005,USR_009,1855288.4500000002
2020-W01,STK_005,USR_010,1756666.98
2020-W01,USR_001,STK_001,1508573.29
2020-W01,USR_001,STK_002,29161.44
2020-W01,USR_001,STK_003,1745535.05
2020-W01,USR_001,STK_004,1199078.45
2020-W01,USR_001,STK_005,4044935.2199999997
2020-W01,USR_002,STK_001,2769880.5
2020-W01,USR_002,STK_002,11766.529999999999
2020-W01,USR_002,STK_003,2438510.43
2020-W01,USR_002,STK_004,70313.25
2020-W01,USR_002,STK_005,639274.46
2020-W01,USR_003,STK_001,2729174.12
2020-W01,USR_003,STK_002,126562.45
2020-W01,USR_003,STK_003,2069780.46
2020-W01,USR_004,STK_001,3382945.4299999997
2020-W01,USR_004,STK_002,83368.92
2020-W01,USR_004,STK_003,285777.8
2020-W01,USR_004,STK_004,545166.0800000001
2020-W01,USR_004,STK_005,1474939.26
2020-W01,USR_005,STK_002,17231.06
2020-W01,USR_005,STK_003,492301.3
2020-W01,USR_005,STK_004,904727.55
2020-W01,USR_005,STK_005,2791866.1799999997
2020-W01,USR_006,STK_001,435812.52
2020-W01,USR_006,STK_002,7747.6
2020-W01,USR_006,STK_003,1381821.81
2020-W01,USR_006,STK_004,745956.9
2020-W01,USR_006,STK_005,2420711.6
2020-W01,USR_007,STK_001,950905.01
2020-W01,USR_007,STK_002,58029.43
2020-W01,USR_007,STK_004,285707.62
2020-W01,USR_007,STK_005,1027108.2
2020-W01,USR_008,STK_001,2989074.81
2020-W01,USR_008,STK_002,72727.2
2020-W01,USR_008,STK_004,517045.45000000007
2020-W01,USR_008,STK_005,2691093.08
2020-W01,USR_009,STK_002,157089.59
2020-W01,USR_009,STK_003,1089775.32
2020-W01,USR_009,STK_004,406516.67
2020-W01,USR_009,STK_005,3526131.9699999997
2020-W01,USR_010,STK_001,1722902.8199999998
2020-W01,USR_010,STK_002,20980.77
2020-W01,USR_010,STK_003,2692387.6399999997
