t_idx,time_label,node_idx,node_label,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,2020-W01,0,USR_001,0.0,0.0,0
0,2020-W01,1,USR_003,0.0,0.0,0
0,2020-W01,2,USR_004,0.0,0.0,0
0,2020-W01,3,USR_005,0.0,0.0,0
0,2020-W01,4,USR_007,0.0,0.0,0
0,2020-W01,5,USR_008,0.0,0.0,0
0,2020-W01,6,USR_009,0.0,0.0,0
0,2020-W01,7,USR_002,0.0,0.0,0
0,2020-W01,8,USR_010,0.0,0.0,0
0,2020-W01,9,USR_006,0.0,0.0,0
1,2020-W02,0,USR_001,9.4463,0.0,1
1,2020-W02,1,USR_003,8.5853,0.0,1
1,2020-W02,2,USR_004,5.6232,0.0,1
1,2020-W02,3,USR_005,14.2434,0.0,1
1,2020-W02,4,USR_007,7.2904,0.0,1
1,2020-W02,5,USR_008,8.2574,0.0,1
1,2020-W02,6,USR_009,2.3526,0.0,1
1,2020-W02,7,USR_002,3.9674,0.0,1
1,2020-W02,8,USR_010,1.19,0.0,0
1,2020-W02,9,USR_006,1.5952,0.0,0
2,2020-W03,0,USR_001,0.7505,3.9643,1
2,2020-W03,1,USR_003,1.409,0.6662,0
2,2020-W03,2,USR_004,1.0721,4.5673,1
2,2020-W03,3,USR_005,0.51,44.0676,1
2,2020-W03,4,USR_007,1.9731,1.9781,0
2,2020-W03,5,USR_008,0.9204,5.985,1
2,2020-W03,6,USR_009,0.2392,3.2731,1
2,2020-W03,7,USR_002,0.4918,1.7788,0
2,2020-W03,8,USR_010,1.0144,1.1938,0
2,2020-W03,9,USR_006,1.0638,0.7642,0
3,2020-W04,0,USR_001,0.4376,0.2485,0
3,2020-W04,1,USR_003,0.5945,1.0948,0
3,2020-W04,2,USR_004,0.4821,0.5902,0
3,2020-W04,3,USR_005,0.7827,2.2306,0
3,2020-W04,4,USR_007,0.2531,0.1621,0
3,2020-W04,5,USR_008,5.8828,1.2754,1
3,2020-W04,6,USR_009,4.7978,2.8957,1
3,2020-W04,7,USR_002,0.2854,1.2428,0
3,2020-W04,8,USR_010,0.4052,1.2284,0
3,2020-W04,9,USR_006,1.0988,0.0077,0
4,2020-W05,0,USR_001,0.6551,1.0571,0
4,2020-W05,1,USR_003,1.1208,1.0457,0
4,2020-W05,2,USR_004,1.1134,0.4236,0
4,2020-W05,3,USR_005,0.4686,1.5261,0
4,2020-W05,4,USR_007,0.4568,0.1002,0
4,2020-W05,5,USR_008,0.4071,0.351,0
4,2020-W05,6,USR_009,0.5794,3.813,1
4,2020-W05,7,USR_002,0.3759,0.3825,0
4,2020-W05,8,USR_010,0.3393,4.0127,1
4,2020-W05,9,USR_006,0.9818,1.0796,0
5,2020-W06,0,USR_001,1.3673,1.5111,0
5,2020-W06,1,USR_003,0.2204,7.0114,1
5,2020-W06,2,USR_004,0.3934,0.6317,0
5,2020-W06,3,USR_005,0.302,0.3217,0
5,2020-W06,4,USR_007,0.7853,0.1316,0
5,2020-W06,5,USR_008,0.5302,1.1547,0
5,2020-W06,6,USR_009,0.3427,2.1057,0
5,2020-W06,7,USR_002,0.3041,1.0174,0
5,2020-W06,8,USR_010,0.5017,3.0186,1
5,2020-W06,9,USR_006,1.63,3.7035,1
6,2020-W07,0,USR_001,0.7448,0.6664,0
6,2020-W07,1,USR_003,0.0951,6.6047,1
6,2020-W07,2,USR_004,0.32,0.5022,0
6,2020-W07,3,USR_005,1.3613,2.6532,0
6,2020-W07,4,USR_007,0.8513,0.7976,0
6,2020-W07,5,USR_008,0.9677,0.7203,0
6,2020-W07,6,USR_009,0.4741,0.1334,0
6,2020-W07,7,USR_002,0.5773,0.3131,0
6,2020-W07,8,USR_010,0.7164,1.695,0
6,2020-W07,9,USR_006,0.4165,0.8948,0
7,2020-W08,0,USR_001,0.4128,0.8528,0
7,2020-W08,1,USR_003,0.3558,2.2136,0
7,2020-W08,2,USR_004,0.3085,0.0468,0
7,2020-W08,3,USR_005,0.6025,0.9257,0
7,2020-W08,4,USR_007,0.3242,0.524,0
7,2020-W08,5,USR_008,0.3826,1.6037,0
7,2020-W08,6,USR_009,0.654,0.1243,0
7,2020-W08,7,USR_002,0.4537,0.5262,0
7,2020-W08,8,USR_010,0.5614,2.5054,0
7,2020-W08,9,USR_006,1.3848,0.1282,0
8,2020-W09,0,USR_001,0.6452,1.6025,0
8,2020-W09,1,USR_003,0.2485,1.1825,0
8,2020-W09,2,USR_004,0.9841,1.0146,0
8,2020-W09,3,USR_005,0.4702,2.5575,0
8,2020-W09,4,USR_007,0.9519,1.7764,0
8,2020-W09,5,USR_008,0.6588,1.2515,0
8,2020-W09,6,USR_009,0.4566,0.5486,0
8,2020-W09,7,USR_002,0.203,0.9738,0
8,2020-W09,8,USR_010,0.5483,1.0617,0
8,2020-W09,9,USR_006,0.4494,0.129,0
9,2020-W10,0,USR_001,0.7875,0.2812,0
9,2020-W10,1,USR_003,0.6056,0.1665,0
