t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0.0,0
1,2020-W02,0.0,-0.1732,0.0,0.0,0
2,2020-W03,0.0,6.44,0.8006,0.6726,1
3,2020-W04,0.0,4.8954,0.6864,80.5295,1
4,2020-W05,0.0,7.1692,1.6461,12.0239,1
5,2020-W06,0.0,2.9665,0.8242,4.3832,1
6,2020-W07,0.0,5.8172,1.0708,2.2279,1
7,2020-W08,0.0,5.6079,0.6078,4.9867,1
8,2020-W09,0.0,3.8665,1.0863,6.8147,1
9,2020-W10,0.0,5.6962,1.9958,4.3661,1
10,2020-W11,0.0,4.2241,0.9208,11.2802,1
11,2020-W12,0.0,0.687,1.114,6.2838,1
12,2020-W13,0.0,11.9936,2.3723,5.1388,1
13,2020-W14,0.0,1.0586,0.973,7.6566,1
14,2020-W15,0.0,3.975,1.0179,2.9503,1
15,2020-W16,0.0,5.165,0.5991,11.0068,1
16,2020-W17,0.0,12.3383,1.0007,3.3161,1
17,2020-W18,0.0,5.0879,1.0013,4.7882,1
18,2020-W19,0.0,9.9357,0.3469,4.6719,1
19,2020-W20,0.0,0.096,0.1686,4.7749,1
20,2020-W21,0.0,4.0775,0.759,25.7214,1
21,2020-W22,0.0,0.196,0.6194,63.5258,1
22,2020-W23,0.0,3.6329,1.9994,8.8921,1
23,2020-W24,0.0,4.7818,1.4869,9.8937,1
24,2020-W25,0.0,0.24,4.5847,8.9286,1
25,2020-W26,0.0,3.7877,0.4502,1.792,1
26,2020-W27,0.0,6.3241,0.4036,2.4923,1
27,2020-W28,0.0,2.7553,0.9831,5.6047,1
28,2020-W29,0.0,5.7267,0.8636,3.8857,1
29,2020-W30,0.0,2.1406,0.5135,3.4696,1
30,2020-W31,0.0,7.3406,1.2665,21.7148,1
31,2020-W32,0.0,2.7243,0.2203,3.9814,1
32,2020-W33,0.0,5.7214,0.5534,15.1223,1
33,2020-W34,0.0,1.3424,0.6227,6.8943,1
34,2020-W35,0.0,7.8738,1.1667,9.1753,1
35,2020-W36,0.0,3.609,0.5907,1.888,1
36,2020-W37,0.0,6.1873,0.6113,882.0436,1
37,2020-W38,0.0,7.7156,1.8344,11.6637,1
38,2020-W39,0.0,3.613,0.9092,9.4956,1
39,2020-W40,0.0,7.6259,1.2504,117.6517,1
40,2020-W41,0.0,1.5998,2.5534,6.2698,1
41,2020-W42,0.0,3.0923,0.6655,1.268,1
42,2020-W43,0.0,7.4319,0.8063,49.4911,1
43,2020-W44,0.0,7.9124,0.4946,3.7248,1
44,2020-W45,0.0,4.9469,1.2294,6.3043,1
45,2020-W46,0.0,8.1425,1.4126,4.6203,1
46,2020-W47,0.0,2.6904,0.5515,8.305,1
47,2020-W48,0.0,7.9494,0.7181,3.9243,1
48,2020-W49,0.0,6.082,1.3376,4.3141,1
49,2020-W50,0.0,8.6814,1.6952,5.274,1
50,2020-W51,0.0,10.8664,1.1086,4.5305,1
51,2020-W52,0.0,0.1447,1.8536,5.1775,1
