t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2020-W01,0,5992694.567853,0.264285,10
0,2020-W01,1,4233074.591839,0.186684,10
0,2020-W01,2,3191413.390022,0.140745,10
0,2020-W01,3,2773021.94442,0.122294,10
0,2020-W01,4,2371071.871908,0.104567,10
1,2020-W02,0,7632627.860801,0.34177,10
1,2020-W02,1,3809814.811586,0.170594,10
1,2020-W02,2,3127844.070794,0.140057,10
1,2020-W02,3,2302016.482808,0.103079,10
1,2020-W02,4,1935442.036913,0.086664,10
2,2020-W03,0,9339797.818774,0.350281,10
2,2020-W03,1,4939107.171034,0.185237,10
2,2020-W03,2,3666015.657844,0.137491,10
2,2020-W03,3,3245886.9368,0.121734,10
2,2020-W03,4,1930182.557502,0.07239,10
3,2020-W04,0,7191329.319501,0.336204,10
3,2020-W04,1,3781342.968271,0.176783,10
3,2020-W04,2,3439228.775708,0.160788,10
3,2020-W04,3,2562661.389839,0.119808,10
3,2020-W04,4,1689719.94366,0.078997,10
4,2020-W05,0,8877077.633299,0.33638,10
4,2020-W05,1,5081627.717096,0.192559,10
4,2020-W05,2,3244960.656538,0.122962,10
4,2020-W05,3,3106266.427268,0.117706,10
4,2020-W05,4,2120570.825436,0.080355,10
5,2020-W06,0,40960837.565601,0.443275,10
5,2020-W06,1,31914088.679882,0.345372,10
5,2020-W06,2,6664636.303458,0.072124,10
5,2020-W06,3,3518475.157741,0.038077,10
5,2020-W06,4,2849134.888562,0.030833,10
6,2020-W07,0,8024636.313116,0.327996,10
6,2020-W07,1,4562961.886295,0.186505,10
6,2020-W07,2,2887372.520661,0.118017,10
6,2020-W07,3,2611516.108956,0.106742,10
6,2020-W07,4,2093745.44833,0.085579,10
7,2020-W08,0,7112128.469176,0.309784,10
7,2020-W08,1,3564189.552984,0.155246,10
7,2020-W08,2,2960735.130639,0.128961,10
7,2020-W08,3,2685007.340206,0.116951,10
7,2020-W08,4,2262695.946218,0.098557,10
8,2020-W09,0,11236514.668649,0.368201,10
8,2020-W09,1,5027180.319847,0.164732,10
8,2020-W09,2,4208913.226872,0.137919,10
8,2020-W09,3,2609430.216024,0.085507,10
8,2020-W09,4,2139930.052546,0.070122,10
9,2020-W10,0,8177064.310059,0.319558,10
