t_idx,time_label
0,2024-01-01
1,2024-01-02
2,2024-01-03
3,2024-01-04
4,2024-01-05
5,2024-01-06
6,2024-01-07
7,2024-01-08
8,2024-01-09
9,2024-01-10
10,2024-01-11
11,2024-01-12
12,2024-01-13
13,2024-01-14
14,2024-01-15
15,2024-01-16
16,2024-01-17
17,2024-01-18
18,2024-01-19
19,2024-01-20
20,2024-01-21
21,2024-01-22
22,2024-01-23
23,2024-01-24
24,2024-01-25
25,2024-01-26
26,2024-01-27
27,2024-01-28
28,2024-01-29
29,2024-01-30
30,2024-01-31
31,2024-02-01
32,2024-02-02
33,2024-02-03
34,2024-02-04
35,2024-02-05
36,2024-02-06
37,2024-02-07
38,2024-02-08
39,2024-02-09
40,2024-02-10
41,2024-02-11
42,2024-02-12
43,2024-02-13
44,2024-02-14
45,2024-02-15
46,2024-02-16
47,2024-02-17
48,2024-02-18
49,2024-02-19
50,2024-02-20
51,2024-02-21
52,2024-02-22
53,2024-02-23
54,2024-02-24
55,2024-02-25
56,2024-02-26
57,2024-02-27
58,2024-02-28
59,2024-02-29
60,2024-03-01
61,2024-03-02
62,2024-03-03
63,2024-03-04
64,2024-03-05
65,2024-03-06
66,2024-03-07
67,2024-03-08
68,2024-03-09
69,2024-03-10
70,2024-03-11
71,2024-03-12
72,2024-03-13
73,2024-03-14
74,2024-03-15
75,2024-03-16
76,2024-03-17
77,2024-03-18
78,2024-03-19
79,2024-03-20
80,2024-03-21
81,2024-03-22
82,2024-03-23
83,2024-03-24
84,2024-03-25
85,2024-03-26
86,2024-03-27
87,2024-03-28
88,2024-03-29
89,2024-03-30
90,2024-03-31
91,2024-04-01
92,2024-04-02
93,2024-04-03
94,2024-04-04
95,2024-04-05
96,2024-04-06
97,2024-04-07
98,2024-04-08
99,2024-04-09
100,2024-04-10
101,2024-04-11
102,2024-04-12
103,2024-04-13
104,2024-04-14
105,2024-04-15
106,2024-04-16
107,2024-04-17
108,2024-04-18
109,2024-04-19
110,2024-04-20
111,2024-04-21
112,2024-04-22
113,2024-04-23
114,2024-04-24
115,2024-04-25
116,2024-04-26
117,2024-04-27
118,2024-04-28
119,2024-04-29
120,2024-04-30
121,2024-05-01
122,2024-05-02
123,2024-05-03
124,2024-05-04
125,2024-05-05
126,2024-05-06
127,2024-05-07
128,2024-05-08
129,2024-05-09
130,2024-05-10
131,2024-05-11
132,2024-05-12
133,2024-05-13
134,2024-05-14
135,2024-05-15
136,2024-05-16
137,2024-05-17
138,2024-05-18
139,2024-05-19
140,2024-05-20
141,2024-05-21
142,2024-05-22
143,2024-05-23
144,2024-05-24
145,2024-05-25
146,2024-05-26
147,2024-05-27
148,2024-05-28
149,2024-05-29
150,2024-05-30
151,2024-05-31
152,2024-06-01
153,2024-06-02
154,2024-06-03
155,2024-06-04
156,2024-06-05
157,2024-06-06
158,2024-06-07
159,2024-06-08
160,2024-06-09
161,2024-06-10
162,2024-06-11
163,2024-06-12
164,2024-06-13
165,2024-06-14
166,2024-06-15
167,2024-06-16
168,2024-06-17
169,2024-06-18
170,2024-06-19
171,2024-06-20
172,2024-06-21
173,2024-06-22
174,2024-06-23
175,2024-06-24
176,2024-06-25
177,2024-06-26
178,2024-06-27
179,2024-06-28
180,2024-06-29
181,2024-06-30
182,2024-07-01
183,2024-07-02
184,2024-07-03
185,2024-07-04
186,2024-07-05
187,2024-07-06
188,2024-07-07
189,2024-07-08
190,2024-07-09
191,2024-07-10
192,2024-07-11
193,2024-07-12
194,2024-07-13
195,2024-07-14
196,2024-07-15
197,2024-07-16
198,2024-07-17
199,2024-07-18
200,2024-07-19
201,2024-07-20
202,2024-07-21
203,2024-07-22
204,2024-07-23
205,2024-07-24
206,2024-07-25
207,2024-07-26
208,2024-07-27
209,2024-07-28
210,2024-07-29
211,2024-07-30
212,2024-07-31
213,2024-08-01
214,2024-08-02
215,2024-08-03
216,2024-08-04
217,2024-08-05
218,2024-08-06
219,2024-08-07
220,2024-08-08
221,2024-08-09
222,2024-08-10
223,2024-08-11
224,2024-08-12
225,2024-08-13
226,2024-08-14
227,2024-08-15
228,2024-08-16
229,2024-08-17
230,2024-08-18
231,2024-08-19
232,2024-08-20
233,2024-08-21
234,2024-08-22
235,2024-08-23
236,2024-08-24
237,2024-08-25
238,2024-08-26
239,2024-08-27
240,2024-08-28
241,2024-08-29
242,2024-08-30
243,2024-08-31
244,2024-09-01
245,2024-09-02
246,2024-09-03
247,2024-09-04
248,2024-09-05
249,2024-09-06
250,2024-09-07
251,2024-09-08
252,2024-09-09
253,2024-09-10
254,2024-09-11
255,2024-09-12
256,2024-09-13
257,2024-09-14
258,2024-09-15
259,2024-09-16
260,2024-09-17
261,2024-09-18
262,2024-09-19
263,2024-09-20
264,2024-09-21
265,2024-09-22
266,2024-09-23
267,2024-09-24
268,2024-09-25
269,2024-09-26
270,2024-09-27
271,2024-09-28
272,2024-09-29
273,2024-09-30
274,2024-10-01
275,2024-10-02
276,2024-10-03
277,2024-10-04
278,2024-10-05
279,2024-10-06
280,2024-10-07
281,2024-10-08
282,2024-10-09
283,2024-10-10
284,2024-10-11
285,2024-10-12
286,2024-10-13
287,2024-10-14
288,2024-10-15
289,2024-10-16
290,2024-10-17
291,2024-10-18
292,2024-10-19
293,2024-10-20
294,2024-10-21
295,2024-10-22
296,2024-10-23
297,2024-10-24
298,2024-10-25
299,2024-10-26
