t_idx,time_label,node_idx,node_label,account_category,curvature,density
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,0.0,95968.3
0,2020-01,2,02_ACC_COGS,Expense,0.0,53801.35
0,2020-01,3,03_ACC_Cash,Asset,0.0,31838.46
0,2020-01,4,04_ACC_Inventory,Asset,0.0,109754.21
0,2020-01,5,05_ACC_Payroll_Exp,Expense,0.0,18973.66
0,2020-01,6,06_ACC_Rent_Exp,Expense,0.0,6683.35
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,0.0,95968.3
0,2020-01,8,08_ACC_Travel_Exp,Expense,0.0,6181.45
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,0.0,54140.38
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,0.0,140964.8
1,2020-02,2,02_ACC_COGS,Expense,0.0,64416.81
1,2020-02,3,03_ACC_Cash,Asset,0.0,67794.87
1,2020-02,4,04_ACC_Inventory,Asset,0.0,106908.42
1,2020-02,5,05_ACC_Payroll_Exp,Expense,0.0,18245.21
1,2020-02,6,06_ACC_Rent_Exp,Expense,0.0,5368.76
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,0.0,116246.21
1,2020-02,8,08_ACC_Travel_Exp,Expense,0.0,7980.12
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,0.0,166.58
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,4207.54,89968.82
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,64240.91,178071.51
2,2020-03,2,02_ACC_COGS,Expense,19547.24,55485.03
2,2020-03,3,03_ACC_Cash,Asset,9664.96,150423.74
2,2020-03,4,04_ACC_Inventory,Asset,36263.93,101232.08
2,2020-03,5,05_ACC_Payroll_Exp,Expense,2734.72,14782.04
2,2020-03,6,06_ACC_Rent_Exp,Expense,1749.44,5803.61
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,36065.35,100458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,1435.2,8343.59
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,6.85,340.01
2,2020-03,10,10_ACC_Equity_Capital,Equity,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,53763.95,93200.09
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,11309.68,158106.2
3,2020-04,2,02_ACC_COGS,Expense,17840.89,28712.36
3,2020-04,3,03_ACC_Cash,Asset,12825.88,175491.27
3,2020-04,4,04_ACC_Inventory,Asset,28424.28,88298.24
