node_idx,node_label,account_category,dominant_frequency,spectral_power
7,07_ACC_Sales_Revenue,Revenue,0.1667,7366174776.6852
3,03_ACC_Cash,Asset,0.1667,6187049066.0557
1,01_ACC_Accounts_Receivable,Asset,0.1667,5473102500.8374
4,04_ACC_Inventory,Asset,0.1667,2865890531.0235
2,02_ACC_COGS,Expense,0.1667,2282106016.4973
0,00_ACC_Accounts_Payable,Liability,0.5,1198980855.9293
8,08_ACC_Travel_Exp,Expense,0.25,11297828.4735
5,05_ACC_Payroll_Exp,Expense,0.0833,10423237.3348
6,06_ACC_Rent_Exp,Expense,0.25,6144417.1435
9,09_UNKNOWN_LEAK,Unknown,0.0833,125650.8675
10,10_ACC_Equity_Capital,Equity,0.0,0.0
