t_idx,time_label,spectral_radius,is_stable
0,2020-02,0.0,1
1,2020-03,0.0,1
2,2020-04,0.0,1
3,2020-05,0.0,1
4,2020-06,0.0,1
5,2020-07,0.0,1
6,2020-08,0.0,1
7,2020-09,0.0,1
8,2020-10,0.0,1
9,2020-11,0.0,1
10,2020-12,0.0,1
11,2021-01,0.0,1
12,2021-02,0.0,1
13,2021-03,0.0,1
14,2021-04,0.0,1
15,2021-05,0.0,1
16,2021-06,0.0,1
17,2021-07,0.0,1
18,2021-08,0.0,1
19,2021-09,0.0,1
20,2021-10,0.0,1
21,2021-11,0.0,1
22,2021-12,0.0,1
23,2022-01,0.0,1
24,2022-02,0.0,1
25,2022-03,0.0,1
26,2022-04,0.0,1
27,2022-05,0.0,1
28,2022-06,0.0,1
29,2022-07,0.0,1
30,2022-08,0.0,1
31,2022-09,0.0,1
32,2022-10,0.0,1
33,2022-11,0.0,1
34,2022-12,0.0,1
35,2023-01,0.0,1
36,2023-02,0.0,1
37,2023-03,0.0,1
38,2023-04,0.0,1
39,2023-05,0.0,1
40,2023-06,0.0,1
41,2023-07,0.0,1
42,2023-08,0.0,1
43,2023-09,0.0,1
44,2023-10,0.0,1
45,2023-11,0.0,1
46,2023-12,0.0,1
47,2024-01,0.0,1
48,2024-02,0.0,1
49,2024-03,0.0,1
50,2024-04,0.0,1
51,2024-05,0.0,1
52,2024-06,0.0,1
53,2024-07,0.0,1
54,2024-08,0.0,1
55,2024-09,0.0,1
56,2024-10,0.0,1
57,2024-11,0.0,1
58,2024-12,0.0,1
