t_idx,time_label,node_idx,node_label,account_category,curvature,density
0,2024-01-01 10:00:00,0,00_Motor_Cortex,Unknown,0.0,4300.28
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,Unknown,0.0,4287.76
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,Unknown,0.0,4339.38
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,Unknown,0.0,4247.22
0,2024-01-01 10:00:00,4,04_Visual_Cortex,Unknown,0.0,4326.96
1,2024-01-01 10:00:10,0,00_Motor_Cortex,Unknown,0.0,4967.23
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,Unknown,0.0,4959.89
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,Unknown,0.0,5034.18
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,Unknown,0.0,4978.83
1,2024-01-01 10:00:10,4,04_Visual_Cortex,Unknown,0.0,4923.53
2,2024-01-01 10:00:20,0,00_Motor_Cortex,Unknown,60.31,5459.33
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,Unknown,16.95,5448.49
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,Unknown,87.96,5444.06
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,Unknown,145.29,5458.39
2,2024-01-01 10:00:20,4,04_Visual_Cortex,Unknown,100.69,5457.15
3,2024-01-01 10:00:30,0,00_Motor_Cortex,Unknown,30.09,5620.16
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,Unknown,51.61,5608.18
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,Unknown,53.46,5574.26
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,Unknown,114.17,5588.78
3,2024-01-01 10:00:30,4,04_Visual_Cortex,Unknown,82.23,5612.38
4,2024-01-01 10:00:40,0,00_Motor_Cortex,Unknown,88.5,5527.97
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,Unknown,97.06,5448.53
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,Unknown,78.6,5523.66
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,Unknown,44.95,5509.34
4,2024-01-01 10:00:40,4,04_Visual_Cortex,Unknown,25.09,5456.78
5,2024-01-01 10:00:50,0,00_Motor_Cortex,Unknown,27.06,5059.34
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,Unknown,44.33,5043.13
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,Unknown,29.4,5058.24
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,Unknown,52.36,5078.84
5,2024-01-01 10:00:50,4,04_Visual_Cortex,Unknown,5.69,5036.55
6,2024-01-01 10:01:00,0,00_Motor_Cortex,Unknown,19.47,4696.46
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,Unknown,75.02,4680.71
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,Unknown,102.83,4655.77
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,Unknown,34.82,4724.72
6,2024-01-01 10:01:00,4,04_Visual_Cortex,Unknown,12.46,4745.7
7,2024-01-01 10:01:10,0,00_Motor_Cortex,Unknown,47.02,4430.08
7,2024-01-01 10:01:10,1,01_Parietal_Lobe,Unknown,80.6,4357.45
7,2024-01-01 10:01:10,2,02_Prefrontal_Cortex,Unknown,81.44,4397.84
7,2024-01-01 10:01:10,3,03_Temporal_Lobe,Unknown,6.35,4395.85
7,2024-01-01 10:01:10,4,04_Visual_Cortex,Unknown,52.53,4408.56
8,2024-01-01 10:01:20,0,00_Motor_Cortex,Unknown,24.36,4288.8
8,2024-01-01 10:01:20,1,01_Parietal_Lobe,Unknown,80.53,4331.36
8,2024-01-01 10:01:20,2,02_Prefrontal_Cortex,Unknown,34.72,4297.95
8,2024-01-01 10:01:20,3,03_Temporal_Lobe,Unknown,99.89,4297.79
8,2024-01-01 10:01:20,4,04_Visual_Cortex,Unknown,9.0,4281.18
9,2024-01-01 10:01:30,0,00_Motor_Cortex,Unknown,1.46,4381.7
9,2024-01-01 10:01:30,1,01_Parietal_Lobe,Unknown,164.85,4387.24
9,2024-01-01 10:01:30,2,02_Prefrontal_Cortex,Unknown,11.98,4380.44
9,2024-01-01 10:01:30,3,03_Temporal_Lobe,Unknown,113.79,4398.46
9,2024-01-01 10:01:30,4,04_Visual_Cortex,Unknown,64.5,4389.26
10,2024-01-01 10:01:40,0,00_Motor_Cortex,Unknown,50.36,4558.84
10,2024-01-01 10:01:40,1,01_Parietal_Lobe,Unknown,67.79,4587.57
10,2024-01-01 10:01:40,2,02_Prefrontal_Cortex,Unknown,72.0,4586.05
10,2024-01-01 10:01:40,3,03_Temporal_Lobe,Unknown,74.01,4583.12
10,2024-01-01 10:01:40,4,04_Visual_Cortex,Unknown,15.42,4602.32
11,2024-01-01 10:01:50,0,00_Motor_Cortex,Unknown,41.85,4769.35
11,2024-01-01 10:01:50,1,01_Parietal_Lobe,Unknown,57.64,4781.08
11,2024-01-01 10:01:50,2,02_Prefrontal_Cortex,Unknown,61.91,4763.19
11,2024-01-01 10:01:50,3,03_Temporal_Lobe,Unknown,39.08,4711.72
11,2024-01-01 10:01:50,4,04_Visual_Cortex,Unknown,76.66,4784.62
12,2024-01-01 10:02:00,0,00_Motor_Cortex,Unknown,96.83,4825.37
12,2024-01-01 10:02:00,1,01_Parietal_Lobe,Unknown,189.71,4797.62
12,2024-01-01 10:02:00,2,02_Prefrontal_Cortex,Unknown,72.98,4777.01
12,2024-01-01 10:02:00,3,03_Temporal_Lobe,Unknown,9.87,4762.51
12,2024-01-01 10:02:00,4,04_Visual_Cortex,Unknown,155.99,4814.91
13,2024-01-01 10:02:10,0,00_Motor_Cortex,Unknown,145.38,4479.89
13,2024-01-01 10:02:10,1,01_Parietal_Lobe,Unknown,189.25,4580.63
13,2024-01-01 10:02:10,2,02_Prefrontal_Cortex,Unknown,125.83,4534.82
13,2024-01-01 10:02:10,3,03_Temporal_Lobe,Unknown,19.39,4522.33
13,2024-01-01 10:02:10,4,04_Visual_Cortex,Unknown,189.09,4488.41
14,2024-01-01 10:02:20,0,00_Motor_Cortex,Unknown,72.5,4039.93
14,2024-01-01 10:02:20,1,01_Parietal_Lobe,Unknown,16.94,4043.92
14,2024-01-01 10:02:20,2,02_Prefrontal_Cortex,Unknown,102.91,4064.56
14,2024-01-01 10:02:20,3,03_Temporal_Lobe,Unknown,52.77,3970.24
14,2024-01-01 10:02:20,4,04_Visual_Cortex,Unknown,245.12,4046.75
15,2024-01-01 10:02:30,0,00_Motor_Cortex,Unknown,251.5,3352.35
15,2024-01-01 10:02:30,1,01_Parietal_Lobe,Unknown,71.53,3328.64
15,2024-01-01 10:02:30,2,02_Prefrontal_Cortex,Unknown,73.31,3417.59
15,2024-01-01 10:02:30,3,03_Temporal_Lobe,Unknown,32.78,3414.61
15,2024-01-01 10:02:30,4,04_Visual_Cortex,Unknown,220.5,3369.69
16,2024-01-01 10:02:40,0,00_Motor_Cortex,Unknown,206.9,2711.69
16,2024-01-01 10:02:40,1,01_Parietal_Lobe,Unknown,51.78,2753.64
16,2024-01-01 10:02:40,2,02_Prefrontal_Cortex,Unknown,72.44,2739.72
16,2024-01-01 10:02:40,3,03_Temporal_Lobe,Unknown,134.31,2733.77
16,2024-01-01 10:02:40,4,04_Visual_Cortex,Unknown,93.25,2720.28
17,2024-01-01 10:02:50,0,00_Motor_Cortex,Unknown,85.69,2259.14
17,2024-01-01 10:02:50,1,01_Parietal_Lobe,Unknown,69.62,2183.12
17,2024-01-01 10:02:50,2,02_Prefrontal_Cortex,Unknown,126.24,2239.65
17,2024-01-01 10:02:50,3,03_Temporal_Lobe,Unknown,139.04,2213.95
17,2024-01-01 10:02:50,4,04_Visual_Cortex,Unknown,3.27,2198.36
18,2024-01-01 10:03:00,0,00_Motor_Cortex,Unknown,84.8,2030.87
18,2024-01-01 10:03:00,1,01_Parietal_Lobe,Unknown,89.41,2071.73
18,2024-01-01 10:03:00,2,02_Prefrontal_Cortex,Unknown,199.27,1990.95
18,2024-01-01 10:03:00,3,03_Temporal_Lobe,Unknown,38.31,2060.92
18,2024-01-01 10:03:00,4,04_Visual_Cortex,Unknown,13.25,2023.69
19,2024-01-01 10:03:10,0,00_Motor_Cortex,Unknown,159.41,2173.25
19,2024-01-01 10:03:10,1,01_Parietal_Lobe,Unknown,55.63,2192.05
19,2024-01-01 10:03:10,2,02_Prefrontal_Cortex,Unknown,252.91,2134.24
19,2024-01-01 10:03:10,3,03_Temporal_Lobe,Unknown,57.45,2169.06
19,2024-01-01 10:03:10,4,04_Visual_Cortex,Unknown,95.32,2181.18
20,2024-01-01 10:03:20,0,00_Motor_Cortex,Unknown,35.34,2691.27
20,2024-01-01 10:03:20,1,01_Parietal_Lobe,Unknown,35.63,2671.74
20,2024-01-01 10:03:20,2,02_Prefrontal_Cortex,Unknown,129.84,2691.75
20,2024-01-01 10:03:20,3,03_Temporal_Lobe,Unknown,108.56,2664.98
20,2024-01-01 10:03:20,4,04_Visual_Cortex,Unknown,167.43,2663.9
21,2024-01-01 10:03:30,0,00_Motor_Cortex,Unknown,20.71,3245.3
21,2024-01-01 10:03:30,1,01_Parietal_Lobe,Unknown,27.95,3245.42
21,2024-01-01 10:03:30,2,02_Prefrontal_Cortex,Unknown,19.55,3210.27
21,2024-01-01 10:03:30,3,03_Temporal_Lobe,Unknown,112.19,3184.49
21,2024-01-01 10:03:30,4,04_Visual_Cortex,Unknown,85.4,3216.74
22,2024-01-01 10:03:40,0,00_Motor_Cortex,Unknown,77.18,3922.81
22,2024-01-01 10:03:40,1,01_Parietal_Lobe,Unknown,19.9,3824.0
22,2024-01-01 10:03:40,2,02_Prefrontal_Cortex,Unknown,60.53,3864.48
22,2024-01-01 10:03:40,3,03_Temporal_Lobe,Unknown,19.35,3844.67
22,2024-01-01 10:03:40,4,04_Visual_Cortex,Unknown,16.1,3861.76
23,2024-01-01 10:03:50,0,00_Motor_Cortex,Unknown,77.77,4272.31
23,2024-01-01 10:03:50,1,01_Parietal_Lobe,Unknown,45.23,4306.67
23,2024-01-01 10:03:50,2,02_Prefrontal_Cortex,Unknown,161.02,4309.45
23,2024-01-01 10:03:50,3,03_Temporal_Lobe,Unknown,149.44,4249.77
23,2024-01-01 10:03:50,4,04_Visual_Cortex,Unknown,20.96,4324.74
24,2024-01-01 10:04:00,0,00_Motor_Cortex,Unknown,102.28,4459.65
24,2024-01-01 10:04:00,1,01_Parietal_Lobe,Unknown,27.45,4413.77
24,2024-01-01 10:04:00,2,02_Prefrontal_Cortex,Unknown,54.19,4458.03
24,2024-01-01 10:04:00,3,03_Temporal_Lobe,Unknown,142.67,4485.1
24,2024-01-01 10:04:00,4,04_Visual_Cortex,Unknown,41.25,4408.87
25,2024-01-01 10:04:10,0,00_Motor_Cortex,Unknown,203.75,4453.62
25,2024-01-01 10:04:10,1,01_Parietal_Lobe,Unknown,43.22,4468.37
25,2024-01-01 10:04:10,2,02_Prefrontal_Cortex,Unknown,9.08,4433.87
25,2024-01-01 10:04:10,3,03_Temporal_Lobe,Unknown,102.36,4465.41
25,2024-01-01 10:04:10,4,04_Visual_Cortex,Unknown,135.53,4368.11
26,2024-01-01 10:04:20,0,00_Motor_Cortex,Unknown,110.56,4285.83
26,2024-01-01 10:04:20,1,01_Parietal_Lobe,Unknown,69.87,4267.36
26,2024-01-01 10:04:20,2,02_Prefrontal_Cortex,Unknown,2.69,4232.28
26,2024-01-01 10:04:20,3,03_Temporal_Lobe,Unknown,73.49,4208.47
26,2024-01-01 10:04:20,4,04_Visual_Cortex,Unknown,109.63,4193.1
27,2024-01-01 10:04:30,0,00_Motor_Cortex,Unknown,79.11,4070.77
27,2024-01-01 10:04:30,1,01_Parietal_Lobe,Unknown,4.99,4117.7
27,2024-01-01 10:04:30,2,02_Prefrontal_Cortex,Unknown,175.74,4084.85
27,2024-01-01 10:04:30,3,03_Temporal_Lobe,Unknown,24.83,4119.32
27,2024-01-01 10:04:30,4,04_Visual_Cortex,Unknown,76.79,4071.92
28,2024-01-01 10:04:40,0,00_Motor_Cortex,Unknown,71.81,4026.0
28,2024-01-01 10:04:40,1,01_Parietal_Lobe,Unknown,99.08,4121.46
28,2024-01-01 10:04:40,2,02_Prefrontal_Cortex,Unknown,203.62,4073.86
28,2024-01-01 10:04:40,3,03_Temporal_Lobe,Unknown,129.57,4097.32
28,2024-01-01 10:04:40,4,04_Visual_Cortex,Unknown,101.32,4132.16
29,2024-01-01 10:04:50,0,00_Motor_Cortex,Unknown,88.75,4369.9
29,2024-01-01 10:04:50,1,01_Parietal_Lobe,Unknown,51.15,4319.65
29,2024-01-01 10:04:50,2,02_Prefrontal_Cortex,Unknown,4.4,4332.53
29,2024-01-01 10:04:50,3,03_Temporal_Lobe,Unknown,127.02,4292.1
29,2024-01-01 10:04:50,4,04_Visual_Cortex,Unknown,8.48,4280.8
30,2024-01-01 10:05:00,0,00_Motor_Cortex,Unknown,129.85,8179.75
30,2024-01-01 10:05:00,1,01_Parietal_Lobe,Unknown,51.65,8173.15
30,2024-01-01 10:05:00,2,02_Prefrontal_Cortex,Unknown,52.42,8235.52
30,2024-01-01 10:05:00,3,03_Temporal_Lobe,Unknown,72.04,18695.04
30,2024-01-01 10:05:00,4,04_Visual_Cortex,Unknown,46.26,8234.66
31,2024-01-01 10:05:10,0,00_Motor_Cortex,Unknown,30.1,8905.78
31,2024-01-01 10:05:10,1,01_Parietal_Lobe,Unknown,55.08,8904.23
31,2024-01-01 10:05:10,2,02_Prefrontal_Cortex,Unknown,31.48,8922.33
31,2024-01-01 10:05:10,3,03_Temporal_Lobe,Unknown,23.36,19840.08
31,2024-01-01 10:05:10,4,04_Visual_Cortex,Unknown,77.06,8839.44
32,2024-01-01 10:05:20,0,00_Motor_Cortex,Unknown,137.77,9444.06
32,2024-01-01 10:05:20,1,01_Parietal_Lobe,Unknown,85.16,9495.49
32,2024-01-01 10:05:20,2,02_Prefrontal_Cortex,Unknown,38.15,9499.37
32,2024-01-01 10:05:20,3,03_Temporal_Lobe,Unknown,0.0,21194.08
32,2024-01-01 10:05:20,4,04_Visual_Cortex,Unknown,14.46,9463.94
33,2024-01-01 10:05:30,0,00_Motor_Cortex,Unknown,42.94,9597.26
33,2024-01-01 10:05:30,1,01_Parietal_Lobe,Unknown,173.98,9626.39
33,2024-01-01 10:05:30,2,02_Prefrontal_Cortex,Unknown,30.26,9591.61
33,2024-01-01 10:05:30,3,03_Temporal_Lobe,Unknown,0.0,20987.6
33,2024-01-01 10:05:30,4,04_Visual_Cortex,Unknown,100.78,9601.84
34,2024-01-01 10:05:40,0,00_Motor_Cortex,Unknown,99.33,9161.71
34,2024-01-01 10:05:40,1,01_Parietal_Lobe,Unknown,89.99,9136.4
34,2024-01-01 10:05:40,2,02_Prefrontal_Cortex,Unknown,23.06,9099.99
34,2024-01-01 10:05:40,3,03_Temporal_Lobe,Unknown,0.0,19490.64
34,2024-01-01 10:05:40,4,04_Visual_Cortex,Unknown,166.26,9153.12
35,2024-01-01 10:05:50,0,00_Motor_Cortex,Unknown,67.09,8586.81
35,2024-01-01 10:05:50,1,01_Parietal_Lobe,Unknown,30.34,8522.53
35,2024-01-01 10:05:50,2,02_Prefrontal_Cortex,Unknown,27.07,8552.82
35,2024-01-01 10:05:50,3,03_Temporal_Lobe,Unknown,0.0,18659.2
35,2024-01-01 10:05:50,4,04_Visual_Cortex,Unknown,124.5,8558.5
