t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
0,2024-01-01 10:00:00,0,00_Motor_Cortex,Unknown,0.0,63.72
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,Unknown,0.0,48.1
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,Unknown,0.0,1066.08
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,Unknown,391.6635,9.98
0,2024-01-01 10:00:00,4,04_Visual_Cortex,Unknown,0.0,40.48
1,2024-01-01 10:00:10,0,00_Motor_Cortex,Unknown,0.0,5.11
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,Unknown,0.0,20.65
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,Unknown,0.0,978.68
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,Unknown,389.957,64.63
1,2024-01-01 10:00:10,4,04_Visual_Cortex,Unknown,0.0,58.85
2,2024-01-01 10:00:20,0,00_Motor_Cortex,Unknown,0.0,6.81
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,Unknown,0.0,10.15
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,Unknown,0.0,979.24
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,Unknown,394.101,6.05
2,2024-01-01 10:00:20,4,04_Visual_Cortex,Unknown,0.0,23.47
3,2024-01-01 10:00:30,0,00_Motor_Cortex,Unknown,0.0,38.6
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,Unknown,0.0,51.26
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,Unknown,0.0,926.34
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,Unknown,389.7986,37.44
3,2024-01-01 10:00:30,4,04_Visual_Cortex,Unknown,0.0,23.56
4,2024-01-01 10:00:40,0,00_Motor_Cortex,Unknown,0.0,18.11
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,Unknown,0.0,4.69
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,Unknown,0.0,952.04
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,Unknown,399.0116,35.98
4,2024-01-01 10:00:40,4,04_Visual_Cortex,Unknown,0.0,1.44
5,2024-01-01 10:00:50,0,00_Motor_Cortex,Unknown,0.0,47.76
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,Unknown,0.0,16.31
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,Unknown,0.0,1007.14
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,Unknown,398.5109,17.84
5,2024-01-01 10:00:50,4,04_Visual_Cortex,Unknown,0.0,20.75
6,2024-01-01 10:01:00,0,00_Motor_Cortex,Unknown,0.0,57.94
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,Unknown,0.0,47.09
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,Unknown,0.0,959.41
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,Unknown,399.6544,36.84
6,2024-01-01 10:01:00,4,04_Visual_Cortex,Unknown,0.0,27.6
7,2024-01-01 10:01:10,0,00_Motor_Cortex,Unknown,0.0,21.1
7,2024-01-01 10:01:10,1,01_Parietal_Lobe,Unknown,0.0,29.89
7,2024-01-01 10:01:10,2,02_Prefrontal_Cortex,Unknown,0.0,993.12
7,2024-01-01 10:01:10,3,03_Temporal_Lobe,Unknown,407.6935,62.19
7,2024-01-01 10:01:10,4,04_Visual_Cortex,Unknown,0.0,18.08
8,2024-01-01 10:01:20,0,00_Motor_Cortex,Unknown,0.0,8.62
8,2024-01-01 10:01:20,1,01_Parietal_Lobe,Unknown,0.0,67.84
8,2024-01-01 10:01:20,2,02_Prefrontal_Cortex,Unknown,0.0,992.11
8,2024-01-01 10:01:20,3,03_Temporal_Lobe,Unknown,390.9492,12.35
8,2024-01-01 10:01:20,4,04_Visual_Cortex,Unknown,0.0,54.76
9,2024-01-01 10:01:30,0,00_Motor_Cortex,Unknown,0.0,2.4
9,2024-01-01 10:01:30,1,01_Parietal_Lobe,Unknown,0.0,0.72
9,2024-01-01 10:01:30,2,02_Prefrontal_Cortex,Unknown,0.0,1003.08
9,2024-01-01 10:01:30,3,03_Temporal_Lobe,Unknown,406.4217,26.9
9,2024-01-01 10:01:30,4,04_Visual_Cortex,Unknown,0.0,26.94
10,2024-01-01 10:01:40,0,00_Motor_Cortex,Unknown,0.0,36.94
10,2024-01-01 10:01:40,1,01_Parietal_Lobe,Unknown,0.0,1.39
10,2024-01-01 10:01:40,2,02_Prefrontal_Cortex,Unknown,0.0,942.05
10,2024-01-01 10:01:40,3,03_Temporal_Lobe,Unknown,395.1733,7.86
10,2024-01-01 10:01:40,4,04_Visual_Cortex,Unknown,0.0,14.54
11,2024-01-01 10:01:50,0,00_Motor_Cortex,Unknown,0.0,34.43
11,2024-01-01 10:01:50,1,01_Parietal_Lobe,Unknown,0.0,59.7
11,2024-01-01 10:01:50,2,02_Prefrontal_Cortex,Unknown,0.0,942.93
11,2024-01-01 10:01:50,3,03_Temporal_Lobe,Unknown,400.6126,3.54
11,2024-01-01 10:01:50,4,04_Visual_Cortex,Unknown,0.0,78.8
12,2024-01-01 10:02:00,0,00_Motor_Cortex,Unknown,0.0,64.91
12,2024-01-01 10:02:00,1,01_Parietal_Lobe,Unknown,0.0,71.7
12,2024-01-01 10:02:00,2,02_Prefrontal_Cortex,Unknown,0.0,1016.79
12,2024-01-01 10:02:00,3,03_Temporal_Lobe,Unknown,402.2122,10.65
12,2024-01-01 10:02:00,4,04_Visual_Cortex,Unknown,0.0,12.93
13,2024-01-01 10:02:10,0,00_Motor_Cortex,Unknown,0.0,18.87
13,2024-01-01 10:02:10,1,01_Parietal_Lobe,Unknown,0.0,13.85
13,2024-01-01 10:02:10,2,02_Prefrontal_Cortex,Unknown,0.0,964.82
13,2024-01-01 10:02:10,3,03_Temporal_Lobe,Unknown,412.0346,44.23
13,2024-01-01 10:02:10,4,04_Visual_Cortex,Unknown,0.0,84.43
14,2024-01-01 10:02:20,0,00_Motor_Cortex,Unknown,0.0,99.67
14,2024-01-01 10:02:20,1,01_Parietal_Lobe,Unknown,0.0,27.06
14,2024-01-01 10:02:20,2,02_Prefrontal_Cortex,Unknown,0.0,1015.76
14,2024-01-01 10:02:20,3,03_Temporal_Lobe,Unknown,400.3897,25.04
14,2024-01-01 10:02:20,4,04_Visual_Cortex,Unknown,0.0,63.33
15,2024-01-01 10:02:30,0,00_Motor_Cortex,Unknown,0.0,33.29
15,2024-01-01 10:02:30,1,01_Parietal_Lobe,Unknown,0.0,3.56
15,2024-01-01 10:02:30,2,02_Prefrontal_Cortex,Unknown,0.0,993.39
15,2024-01-01 10:02:30,3,03_Temporal_Lobe,Unknown,402.4088,26.93
15,2024-01-01 10:02:30,4,04_Visual_Cortex,Unknown,0.0,9.41
16,2024-01-01 10:02:40,0,00_Motor_Cortex,Unknown,0.0,40.65
16,2024-01-01 10:02:40,1,01_Parietal_Lobe,Unknown,0.0,17.6
16,2024-01-01 10:02:40,2,02_Prefrontal_Cortex,Unknown,0.0,1043.46
16,2024-01-01 10:02:40,3,03_Temporal_Lobe,Unknown,399.4292,55.41
16,2024-01-01 10:02:40,4,04_Visual_Cortex,Unknown,0.0,11.1
17,2024-01-01 10:02:50,0,00_Motor_Cortex,Unknown,0.0,28.9
17,2024-01-01 10:02:50,1,01_Parietal_Lobe,Unknown,0.0,30.86
17,2024-01-01 10:02:50,2,02_Prefrontal_Cortex,Unknown,0.0,967.29
17,2024-01-01 10:02:50,3,03_Temporal_Lobe,Unknown,395.1169,1.29
17,2024-01-01 10:02:50,4,04_Visual_Cortex,Unknown,0.0,28.34
18,2024-01-01 10:03:00,0,00_Motor_Cortex,Unknown,0.0,67.65
18,2024-01-01 10:03:00,1,01_Parietal_Lobe,Unknown,0.0,10.09
18,2024-01-01 10:03:00,2,02_Prefrontal_Cortex,Unknown,0.0,1090.39
18,2024-01-01 10:03:00,3,03_Temporal_Lobe,Unknown,364.9044,19.68
18,2024-01-01 10:03:00,4,04_Visual_Cortex,Unknown,0.0,32.33
19,2024-01-01 10:03:10,0,00_Motor_Cortex,Unknown,0.0,4.79
19,2024-01-01 10:03:10,1,01_Parietal_Lobe,Unknown,0.0,4.59
19,2024-01-01 10:03:10,2,02_Prefrontal_Cortex,Unknown,0.0,960.58
19,2024-01-01 10:03:10,3,03_Temporal_Lobe,Unknown,387.3443,19.38
19,2024-01-01 10:03:10,4,04_Visual_Cortex,Unknown,0.0,59.0
20,2024-01-01 10:03:20,0,00_Motor_Cortex,Unknown,0.0,22.73
20,2024-01-01 10:03:20,1,01_Parietal_Lobe,Unknown,0.0,16.36
20,2024-01-01 10:03:20,2,02_Prefrontal_Cortex,Unknown,0.0,960.61
20,2024-01-01 10:03:20,3,03_Temporal_Lobe,Unknown,393.7864,50.12
20,2024-01-01 10:03:20,4,04_Visual_Cortex,Unknown,0.0,17.1
21,2024-01-01 10:03:30,0,00_Motor_Cortex,Unknown,0.0,29.54
21,2024-01-01 10:03:30,1,01_Parietal_Lobe,Unknown,0.0,9.36
21,2024-01-01 10:03:30,2,02_Prefrontal_Cortex,Unknown,0.0,980.19
21,2024-01-01 10:03:30,3,03_Temporal_Lobe,Unknown,390.9478,7.43
21,2024-01-01 10:03:30,4,04_Visual_Cortex,Unknown,0.0,7.8
22,2024-01-01 10:03:40,0,00_Motor_Cortex,Unknown,0.0,40.83
22,2024-01-01 10:03:40,1,01_Parietal_Lobe,Unknown,0.0,17.54
22,2024-01-01 10:03:40,2,02_Prefrontal_Cortex,Unknown,0.0,1060.3
22,2024-01-01 10:03:40,3,03_Temporal_Lobe,Unknown,406.3402,54.61
22,2024-01-01 10:03:40,4,04_Visual_Cortex,Unknown,0.0,17.6
23,2024-01-01 10:03:50,0,00_Motor_Cortex,Unknown,0.0,33.43
23,2024-01-01 10:03:50,1,01_Parietal_Lobe,Unknown,0.0,0.79
