t_idx,time_label,node_idx,node_label,curvature,density
0,2024-01-01T10:00:00,0,Motor_Cortex,0.0,4294.1
0,2024-01-01T10:00:00,1,Parietal_Lobe,0.0,4273.1
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,0.0,4318.24
0,2024-01-01T10:00:00,3,Temporal_Lobe,0.0,4305.95
0,2024-01-01T10:00:00,4,Visual_Cortex,0.0,4261.67
1,2024-01-01T10:00:10,0,Motor_Cortex,0.0,4975.01
1,2024-01-01T10:00:10,1,Parietal_Lobe,0.0,5016.47
1,2024-01-01T10:00:10,2,Prefrontal_Cortex,0.0,4974.18
1,2024-01-01T10:00:10,3,Temporal_Lobe,0.0,4978.88
1,2024-01-01T10:00:10,4,Visual_Cortex,0.0,4999.06
2,2024-01-01T10:00:20,0,Motor_Cortex,28.74,5480.92
2,2024-01-01T10:00:20,1,Parietal_Lobe,22.78,5484.9
2,2024-01-01T10:00:20,2,Prefrontal_Cortex,87.92,5480.6
2,2024-01-01T10:00:20,3,Temporal_Lobe,84.46,5432.09
2,2024-01-01T10:00:20,4,Visual_Cortex,48.06,5453.95
3,2024-01-01T10:00:30,0,Motor_Cortex,67.99,5622.88
3,2024-01-01T10:00:30,1,Parietal_Lobe,47.83,5632.98
3,2024-01-01T10:00:30,2,Prefrontal_Cortex,46.77,5636.87
3,2024-01-01T10:00:30,3,Temporal_Lobe,24.86,5610.92
3,2024-01-01T10:00:30,4,Visual_Cortex,137.73,5663.27
4,2024-01-01T10:00:40,0,Motor_Cortex,126.85,5425.07
4,2024-01-01T10:00:40,1,Parietal_Lobe,75.75,5373.13
4,2024-01-01T10:00:40,2,Prefrontal_Cortex,21.89,5467.49
4,2024-01-01T10:00:40,3,Temporal_Lobe,32.18,5472.31
4,2024-01-01T10:00:40,4,Visual_Cortex,148.53,5448.72
5,2024-01-01T10:00:50,0,Motor_Cortex,100.27,5115.97
5,2024-01-01T10:00:50,1,Parietal_Lobe,26.27,5143.99
5,2024-01-01T10:00:50,2,Prefrontal_Cortex,127.64,5063.79
5,2024-01-01T10:00:50,3,Temporal_Lobe,10.2,5079.38
5,2024-01-01T10:00:50,4,Visual_Cortex,43.44,5064.59
6,2024-01-01T10:01:00,0,Motor_Cortex,6.92,4710.81
6,2024-01-01T10:01:00,1,Parietal_Lobe,68.17,4708.2
6,2024-01-01T10:01:00,2,Prefrontal_Cortex,137.93,4663.1
6,2024-01-01T10:01:00,3,Temporal_Lobe,67.41,4617.72
6,2024-01-01T10:01:00,4,Visual_Cortex,131.77,4674.07
7,2024-01-01T10:01:10,0,Motor_Cortex,18.98,4454.63
7,2024-01-01T10:01:10,1,Parietal_Lobe,23.61,4452.86
7,2024-01-01T10:01:10,2,Prefrontal_Cortex,180.97,4427.96
7,2024-01-01T10:01:10,3,Temporal_Lobe,81.95,4364.89
7,2024-01-01T10:01:10,4,Visual_Cortex,94.39,4444.78
8,2024-01-01T10:01:20,0,Motor_Cortex,52.71,4286.24
8,2024-01-01T10:01:20,1,Parietal_Lobe,41.45,4298.79
8,2024-01-01T10:01:20,2,Prefrontal_Cortex,126.62,4313.6
8,2024-01-01T10:01:20,3,Temporal_Lobe,26.98,4308.22
8,2024-01-01T10:01:20,4,Visual_Cortex,110.9,4315.29
9,2024-01-01T10:01:30,0,Motor_Cortex,2.88,4423.15
9,2024-01-01T10:01:30,1,Parietal_Lobe,8.25,4432.69
9,2024-01-01T10:01:30,2,Prefrontal_Cortex,60.04,4437.32
9,2024-01-01T10:01:30,3,Temporal_Lobe,14.95,4442.52
9,2024-01-01T10:01:30,4,Visual_Cortex,86.12,4411.98
10,2024-01-01T10:01:40,0,Motor_Cortex,98.11,4493.11
10,2024-01-01T10:01:40,1,Parietal_Lobe,0.09,4549.82
10,2024-01-01T10:01:40,2,Prefrontal_Cortex,124.7,4572.78
10,2024-01-01T10:01:40,3,Temporal_Lobe,25.09,4576.47
10,2024-01-01T10:01:40,4,Visual_Cortex,51.59,4552.6
11,2024-01-01T10:01:50,0,Motor_Cortex,5.36,4753.01
11,2024-01-01T10:01:50,1,Parietal_Lobe,42.31,4726.76
11,2024-01-01T10:01:50,2,Prefrontal_Cortex,148.99,4739.85
11,2024-01-01T10:01:50,3,Temporal_Lobe,9.72,4789.96
11,2024-01-01T10:01:50,4,Visual_Cortex,102.32,4694.62
12,2024-01-01T10:02:00,0,Motor_Cortex,127.75,4791.46
12,2024-01-01T10:02:00,1,Parietal_Lobe,117.99,4785.85
12,2024-01-01T10:02:00,2,Prefrontal_Cortex,170.25,4743.43
12,2024-01-01T10:02:00,3,Temporal_Lobe,58.57,4767.18
12,2024-01-01T10:02:00,4,Visual_Cortex,121.44,4749.82
13,2024-01-01T10:02:10,0,Motor_Cortex,31.93,4576.54
13,2024-01-01T10:02:10,1,Parietal_Lobe,177.69,4526.23
13,2024-01-01T10:02:10,2,Prefrontal_Cortex,208.07,4577.18
13,2024-01-01T10:02:10,3,Temporal_Lobe,7.5,4473.06
13,2024-01-01T10:02:10,4,Visual_Cortex,69.81,4500.05
14,2024-01-01T10:02:20,0,Motor_Cortex,109.76,3999.78
14,2024-01-01T10:02:20,1,Parietal_Lobe,167.36,4114.39
14,2024-01-01T10:02:20,2,Prefrontal_Cortex,129.1,4009.95
14,2024-01-01T10:02:20,3,Temporal_Lobe,126.33,4060.07
14,2024-01-01T10:02:20,4,Visual_Cortex,21.69,4002.51
15,2024-01-01T10:02:30,0,Motor_Cortex,159.16,3397.5
15,2024-01-01T10:02:30,1,Parietal_Lobe,113.93,3366.62
15,2024-01-01T10:02:30,2,Prefrontal_Cortex,32.34,3345.78
15,2024-01-01T10:02:30,3,Temporal_Lobe,116.87,3395.17
15,2024-01-01T10:02:30,4,Visual_Cortex,188.56,3407.09
16,2024-01-01T10:02:40,0,Motor_Cortex,94.58,2725.3
16,2024-01-01T10:02:40,1,Parietal_Lobe,59.08,2727.97
16,2024-01-01T10:02:40,2,Prefrontal_Cortex,110.63,2676.24
16,2024-01-01T10:02:40,3,Temporal_Lobe,40.37,2682.64
16,2024-01-01T10:02:40,4,Visual_Cortex,223.92,2704.33
