t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,54117726.9700,22.0826,0.0000,-3618279.6200,2423338.1200,0.0000,54117726.9700
1,64953213.2400,24.6120,14680449.6000,-7795357.1700,7953528.8800,0.0000,-296361692.5796
2,80209222.7400,25.2179,22694642.3518,2572704.6500,-938874.2700,0.0000,-492102298.0653
3,65882871.6000,26.9462,22074220.6285,-1888461.6000,-2068640.9700,0.0000,-528933136.0987
4,75208663.4500,24.4699,22999349.1746,1246805.8900,-91822.6000,0.0000,-487583387.7686
5,157966517.8600,23.6526,25836950.8837,3660358.2600,-5091699.2400,0.0000,-453144369.3403
6,67694329.4400,23.3686,27309266.8167,1658219.4100,-6251360.5300,0.0000,-570484489.8176
7,88109814.0400,25.8582,27517968.8708,2616825.2900,7562559.7700,0.0000,-623456551.5026
8,62803011.2000,24.0577,28285300.9603,5702446.0600,-6657870.0800,0.0000,-617676257.2579
9,58478686.5500,22.4088,28071356.5057,1567714.2400,2450346.4200,0.0000,-570567938.6655
10,92296954.2200,26.5716,27805938.4295,-1520783.6500,2519474.6900,0.0000,-646552667.9441
11,105385231.6300,25.4685,27670617.7258,-382786.4800,73945.6800,0.0000,-599344091.7288
12,62525771.4300,24.3218,27355243.5329,-502478.1800,2372755.7100,0.0000,-602803623.3340
13,66921409.6100,23.1325,27261309.2230,2509881.9300,1500193.5700,0.0000,-563700873.3985
14,71868871.3700,26.7581,25659778.1297,973528.4200,-1152858.2900,0.0000,-614738872.2122
15,85296274.9000,25.3868,25248933.7131,-1453674.5600,3711123.2300,0.0000,-555692623.5562
16,84588233.8000,25.0112,26145184.5854,-2266484.2400,-1912118.2100,0.0000,-569333130.5902
17,48862087.7400,22.6591,25918550.0810,4008127.4700,-5774771.6500,0.0000,-538429611.9215
18,70885255.9900,25.0102,25775423.5147,-7368715.9900,6183239.4300,0.0000,-573762459.2963
19,74677142.7200,25.2911,25502331.3816,811564.0500,-809910.0100,0.0000,-570303648.4905
20,89271795.1700,25.7227,26633044.0473,5700996.9700,-194845.4300,0.0000,-595802535.2120
21,48173541.3300,22.6879,25238727.6185,-625534.2100,-1366127.2200,0.0000,-524439123.0651
22,59159957.0400,24.6981,24733912.5684,1483642.6200,508557.1900,0.0000,-551721113.6224
23,61005158.2600,24.5467,24563088.7945,-2639151.9700,-1676839.6500,0.0000,-541937825.2832
24,71600037.0600,21.0739,24760546.5916,-3429750.5600,5926381.6300,0.0000,-450200595.8982
25,53402906.6500,25.1475,24872482.9959,5561586.0200,-4681626.1100,0.0000,-572078766.4315
26,81222874.9100,19.8966,24647496.9628,-303322.4100,2465511.8200,0.0000,-409178491.6255
27,89664118.9000,24.6814,24426609.9541,-192896.9100,1040483.5500,0.0000,-513218163.5853
28,61342556.4100,26.1401,24212345.2580,-175623.8600,-3835222.7300,0.0000,-571571098.9475
29,47143364.5200,23.4410,24099014.7909,621941.0600,-4575736.3800,0.0000,-517761326.8302
30,55138101.9300,24.7024,24509595.7393,-659105.7800,7053273.1000,0.0000,-550308588.4484
31,63930922.2100,24.9880,23471275.4515,979803.9000,1993052.0500,0.0000,-522570146.9517
32,81614128.6500,22.3190,23493337.4828,-404374.6100,-4302233.0600,0.0000,-442732836.8078
33,50104600.1300,25.7335,21521094.5702,470705.7500,230654.8100,0.0000,-503709157.8126
34,65111554.1500,27.3128,22220304.6960,-5042937.7800,4247727.1700,0.0000,-541787536.6498
35,72487916.2600,26.2114,21480941.5460,-444080.5200,-1680712.6900,0.0000,-490558101.5571
36,43157741.7300,24.8861,20879678.5076,-1842503.3100,-185433.6100,0.0000,-476455714.8424
37,46278271.5700,24.8311,19149608.5077,1400506.1300,-1110911.6000,0.0000,-429227212.4215
38,78767553.1700,23.2076,18392052.7372,324555.6700,-180503.9800,0.0000,-348067947.7561
39,64515336.3000,24.3362,19540627.2566,5618618.8000,-3409168.9800,0.0000,-411029312.7032
40,45099072.3900,25.4839,19331637.4689,105303.3400,-656835.5300,0.0000,-447546991.6840
41,62746302.2100,25.2744,19604065.7802,-3113228.2400,2607383.2100,0.0000,-432735467.9696
42,57093061.3000,26.6392,19098257.0397,581114.3400,1311414.5900,0.0000,-451669934.5840
43,38537568.0600,23.9405,17848159.2036,-367340.0100,1300240.3100,0.0000,-388756887.4629
44,50018958.6900,25.0219,17502826.4082,-4153623.3300,-206271.7700,0.0000,-387934836.2726
45,24758627.6100,22.2589,16347436.7160,-333896.4700,980740.7700,0.0000,-339117741.7379
46,54998649.5300,25.1683,15898496.5534,1062126.1300,1409696.4800,0.0000,-345139680.6721
47,51414773.9600,25.2463,15082563.1121,524774.5300,-725344.6200,0.0000,-329364432.6512
48,49343269.0000,25.4466,14986157.5782,671291.2100,223647.3600,0.0000,-332003669.0745
49,40423717.0300,24.8817,15398005.4268,-1310541.6500,-1823841.6300,0.0000,-342704621.2280
50,69883585.8400,24.2212,15428544.0883,-509563.5800,113634.2800,0.0000,-303814474.8214
51,38304307.7400,22.8970,15039689.5655,-196981.4000,858637.2900,0.0000,-306059546.5434
