t_idx,node_idx,curvature,density
0,0,0.000000,13436287.2800
0,1,0.000000,11019096.8100
0,2,0.000000,11787481.7500
0,3,0.000000,8197702.2800
0,4,0.000000,9499781.3400
0,5,0.000000,12866696.9200
0,6,0.000000,10335289.8000
0,7,0.000000,13114765.7100
0,8,0.000000,10891963.7700
0,9,0.000000,7086388.2800
1,0,0.000000,13236754.8100
1,1,0.000000,15227527.3500
1,2,0.000000,9884801.2600
1,3,0.000000,11627251.4000
1,4,0.000000,9100760.1200
1,5,0.000000,10752763.9600
1,6,0.000000,16332595.0400
1,7,0.000000,12302291.4300
1,8,0.000000,10552298.5300
1,9,0.000000,20889382.5800
2,0,14545139.370000,14398950.8100
2,1,1153862.310000,14428859.7600
2,2,15096841.720000,20289084.0500
2,3,2782287.650000,17195866.7900
2,4,2753427.630000,24158240.2100
2,5,2628501.720000,9894911.7200
2,6,3855345.680000,16803206.3600
2,7,15576456.220000,6610848.9500
2,8,3450795.830000,24094037.9600
2,9,5255883.930000,12544438.8700
3,0,14829228.070000,19316957.4400
3,1,418966.570000,7170196.1600
3,2,19892468.330000,17434497.3300
3,3,8049946.110000,13104303.8900
3,4,6730321.160000,12093533.5200
3,5,4306552.830000,7708176.6300
3,6,7073936.670000,15135942.3700
3,7,8181603.020000,15662232.3700
3,8,1457731.190000,11492749.0600
3,9,659428.010000,12647154.4300
4,0,7596433.740000,24263461.5100
4,1,162559.870000,5365865.1700
4,2,12576228.730000,12947970.8800
4,3,10277094.260000,17667306.7900
4,4,4209954.110000,16776847.2600
4,5,3394812.910000,14951694.2100
4,6,13011645.200000,14543206.8800
4,7,2944025.200000,21467561.3100
4,8,4426844.950000,16583488.3300
4,9,3187413.990000,5849924.5600
5,0,721715.120000,89289025.5400
5,1,2507726.150000,19155147.2500
5,2,7581737.430000,16678538.3800
5,3,8012350.530000,18734662.0800
5,4,459368.340000,20350279.2000
5,5,456847.740000,10675018.6900
5,6,19637970.850000,20859704.9600
5,7,4468968.860000,13603718.5700
5,8,2141847.800000,20624636.3600
5,9,10225805.420000,85962304.6900
6,0,4415691.220000,12642616.7500
6,1,2645362.570000,21375161.4200
6,2,3991007.500000,13786434.4800
6,3,1435729.180000,11684369.5700
6,4,2754000.240000,8537277.1600
6,5,2024566.160000,8107076.9100
6,6,16610642.180000,11389900.1400
6,7,6485577.920000,10387818.6300
6,8,9512504.290000,18844508.2600
6,9,16493319.260000,18633495.5600
7,0,2960744.730000,12501520.1300
7,1,18283188.040000,19271699.7900
7,2,1489589.380000,16144031.7000
7,3,10657443.640000,28218883.5200
7,4,5006537.720000,13555120.5800
7,5,3088531.520000,6825176.6900
7,6,5533256.200000,12455730.4200
7,7,3309606.450000,21895874.0400
7,8,4700930.340000,17657325.0200
7,9,10905589.360000,27694266.1900
8,0,2127014.890000,15918930.2600
8,1,22747943.370000,14144828.5100
8,2,5011006.370000,11544536.3500
8,3,14301706.180000,16032300.1900
8,4,1116.030000,8033769.7500
8,5,3865921.160000,10138424.0500
8,6,1302846.100000,12721572.9200
8,7,5286406.780000,17427262.7900
8,8,11415406.030000,7990755.3100
8,9,2639270.390000,11653642.2700
9,0,7220352.590000,9123816.2200
9,1,13919651.670000,10206657.6600
9,2,9154987.260000,11996354.5800
9,3,19505244.420000,14534498.0600
9,4,2217659.530000,11687537.4700
9,5,3436273.420000,6623102.1700
9,6,3926635.330000,11148465.6100
9,7,9408994.680000,12164826.7600
9,8,11193422.520000,13415953.4800
9,9,2727364.480000,16056161.0900
10,0,1046233.930000,26703671.2500
10,1,473805.060000,21676045.0900
10,2,9298423.860000,21608788.1500
10,3,20412092.280000,17384984.7300
10,4,4693027.510000,18114570.9800
10,5,470910.360000,12538920.0100
10,6,7905613.380000,17082778.8800
10,7,9512893.290000,15258575.2400
10,8,4618313.610000,17064675.6800
10,9,4997452.220000,17160898.4300
11,0,4226495.060000,17017347.7200
11,1,8194082.040000,25040435.5800
11,2,5133212.900000,19655931.3000
11,3,11035330.410000,11752772.2100
11,4,2783505.050000,20900215.9000
11,5,2230876.770000,11299489.6600
11,6,1670679.170000,33609886.8000
11,7,5679424.760000,26103359.1400
11,8,331400.070000,13300407.7500
11,9,2740828.770000,32090617.2000
12,0,1257688.870000,15985016.0200
12,1,1769729.290000,9633346.4000
12,2,2679329.560000,13251520.4900
12,3,3133752.890000,18697482.1000
12,4,327972.290000,6938753.5300
12,5,817785.100000,6580864.8500
12,6,9669360.200000,13970484.9400
12,7,2974609.750000,11637066.7100
12,8,12294798.100000,17365580.4400
12,9,825822.790000,10991427.3800
13,0,3132051.810000,11195644.8100
13,1,3698349.740000,14516090.1400
13,2,4352682.510000,16016713.7300
13,3,1584155.780000,8305980.2300
13,4,3433445.790000,17924228.1700
13,5,1640698.570000,9356408.6500
13,6,2077989.930000,14222358.1900
13,7,6869721.910000,12154411.4100
13,8,14725855.580000,14399600.2300
13,9,1597562.640000,15751383.6600
14,0,4548713.620000,13303168.1600
14,1,1868361.880000,15028494.4000
14,2,15310021.420000,14862080.6100
14,3,96392.200000,15507727.5200
14,4,265742.800000,15181349.5100
14,5,814207.400000,9196279.9700
14,6,3353664.720000,13391076.4000
14,7,87872.160000,17759910.0900
14,8,8305000.260000,13372194.5400
14,9,1694288.900000,16135461.5400
15,0,890849.470000,10547055.5400
15,1,256747.650000,22071254.0700
15,2,18599019.680000,19466480.9900
15,3,207788.700000,14534459.0500
15,4,2923206.890000,31297620.0600
15,5,1294072.970000,13992895.3400
15,6,580098.260000,16116130.8500
15,7,7260285.730000,17433668.0000
15,8,4125823.600000,16074535.1300
15,9,4417619.270000,9058450.7700
16,0,1614393.300000,15512735.7600
16,1,3086894.760000,20644064.2600
16,2,18124892.490000,12219030.2600
16,3,1151199.130000,18373070.8700
16,4,5916353.030000,19872785.2800
16,5,2569750.970000,12397993.7000
16,6,2487913.970000,20898350.8900
16,7,7400328.200000,20175506.2900
16,8,4299625.800000,11539389.0400
16,9,1426471.530000,17543541.2500
17,0,7087421.390000,7230111.4100
17,1,341719.200000,12312654.2500
17,2,15555093.490000,7821989.1600
17,3,5606081.420000,7910879.1900
17,4,7310082.330000,9273552.7900
17,5,3118341.840000,8236510.4400
17,6,4431561.480000,9669594.9300
17,7,1418868.800000,10753865.3000
17,8,8207587.170000,9314473.8800
17,9,5551395.800000,15200544.1300
18,0,17651455.170000,17489663.5300
18,1,11993054.660000,18740765.5200
18,2,7112259.830000,11955836.8300
18,3,1999826.000000,14392954.7300
18,4,160429.920000,13469233.2400
18,5,2871704.330000,6196728.4500
18,6,7644891.940000,14304404.9300
18,7,3827609.860000,19952233.8700
18,8,6880173.030000,15064991.0300
18,9,515209.980000,10203699.8500
19,0,19557123.500000,9199256.9700
19,1,17028281.160000,11839694.6900
19,2,1789813.400000,13998395.5200
19,3,6419277.180000,19364877.3500
19,4,5442972.640000,18219032.7100
19,5,2892495.710000,11724893.3100
19,6,6592264.190000,18307884.7800
19,7,1922879.360000,11272148.9000
19,8,2391015.500000,21789962.8000
19,9,1170324.840000,13638138.4100
20,0,3290847.120000,17083730.7900
20,1,10502222.710000,19437080.0300
20,2,4725049.030000,17951594.8600
20,3,10240824.650000,11111131.7800
20,4,6458328.390000,23511786.0700
20,5,2914716.430000,16187948.4000
20,6,1221554.210000,19702329.2400
20,7,2894008.690000,14935680.1000
20,8,21918946.820000,24057032.0300
20,9,7320638.130000,14565277.0400
21,0,11215964.100000,14354772.5300
21,1,6143434.090000,14743141.1000
21,2,11025269.510000,12159850.9500
21,3,7247823.470000,7997340.9200
21,4,6487047.880000,5642476.7300
