t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,7.2683,0.0000,1
2,0.0000,11.3925,0.8102,1
3,0.0000,6.5255,0.5416,1
4,0.0000,9.3750,1.1977,1
5,0.0000,9.2000,1.8424,1
6,0.0000,9.4130,2.0590,1
7,0.0000,7.8486,1.9848,1
8,0.0000,8.1023,3.9784,1
9,0.0000,9.6368,4.0831,1
10,0.0000,5.8866,9.3212,1
11,0.0000,6.8299,3.4826,1
12,0.0000,7.9145,3.7830,1
13,0.0000,9.1698,3.6820,1
14,0.0000,5.0774,4.1872,1
15,0.0000,6.7570,3.4279,1
16,0.0000,7.4986,5.3438,1
17,0.0000,9.7969,7.2251,1
18,0.0000,7.2100,4.9941,1
19,0.0000,8.0331,5.9485,1
20,0.0000,6.7235,7.7109,1
21,0.0000,10.5783,4.5584,1
22,0.0000,7.6444,8.9285,1
23,0.0000,7.6669,3.6947,1
24,0.0000,10.0268,3.7363,1
25,0.0000,6.6570,4.7578,1
26,0.0000,12.1415,7.5392,1
27,0.0000,7.8196,4.6084,1
28,0.0000,6.3098,6.9677,1
29,0.0000,8.7613,9.4998,1
30,0.0000,8.0372,14.5851,1
31,0.0000,7.1510,4.3511,1
32,0.0000,9.5510,7.1892,1
33,0.0000,6.8575,3.5256,1
34,0.0000,4.5142,5.5194,1
35,0.0000,6.5938,3.9828,1
36,0.0000,7.8103,3.0025,1
37,0.0000,6.9629,11.5099,1
38,0.0000,10.0783,4.2870,1
39,0.0000,8.0748,5.9826,1
40,0.0000,7.2885,4.0980,1
41,0.0000,6.6161,9.0187,1
42,0.0000,5.5783,4.7493,1
43,0.0000,7.8903,8.0864,1
44,0.0000,7.0606,5.1389,1
45,0.0000,9.7626,2.7331,1
46,0.0000,7.7318,7.5033,1
47,0.0000,6.8409,3.5400,1
48,0.0000,6.8427,2.0492,1
49,0.0000,7.8305,7.3530,1
50,0.0000,9.0281,3.4122,1
51,0.0000,9.2681,3.9856,1
