t_idx,node_idx,ik_suggested_delta,ik_strain_energy
0,0,1675978.8687,13879589921785.8008
0,1,3585459.0048,13879589921785.8008
0,2,1354837.1829,13879589921785.8008
0,3,1293825.6903,13879589921785.8008
0,4,1135263.8616,13879589921785.8008
0,5,1701272.5744,13879589921785.8008
0,6,979444.6390,13879589921785.8008
0,7,1161691.8177,13879589921785.8008
0,8,1032737.5326,13879589921785.8008
0,9,1013237.7764,13879589921785.8008
1,0,1571281.9483,14619882820219.0391
1,1,3797415.5706,14619882820219.0391
1,2,1051743.2823,14619882820219.0391
1,3,1416684.4387,14619882820219.0391
1,4,995994.3714,14619882820219.0391
1,5,1029269.2576,14619882820219.0391
1,6,1319291.4959,14619882820219.0391
1,7,1387516.7072,14619882820219.0391
1,8,1371923.0697,14619882820219.0391
1,9,1279847.3999,14619882820219.0391
2,0,816071.6037,0.5002
2,1,10287081.1435,0.5002
2,2,10677273.8187,0.5002
2,3,-1967778.9323,0.5002
2,4,1947367.6210,0.5002
2,5,-1859013.5022,0.5002
2,6,-2726701.5350,0.5002
2,7,-11016482.2067,0.5002
2,8,-2440582.7823,0.5002
2,9,-3717235.2285,0.5002
3,0,1876736.5234,7.2616
3,1,9734103.9876,7.2616
3,2,3540046.0154,7.2616
3,3,5740361.9630,7.2616
3,4,15750870.5837,7.2616
3,5,613084.5763,7.2616
3,6,2003601.4717,7.2616
3,7,-21651554.6135,7.2616
3,8,-5314079.9670,7.2616
3,9,-12293170.5406,7.2616
4,0,686318.9133,2.3614
4,1,9346765.9478,2.3614
4,2,12022972.7335,2.3614
4,3,-7731544.6954,2.3614
4,4,972344.4688,2.3614
4,5,-2841525.1584,2.3614
4,6,-11512488.5659,2.3614
4,7,-3106311.8776,2.3614
4,8,2763842.1409,2.3614
4,9,-600373.9069,2.3614
5,0,2787811.9728,27.8116
5,1,-1785527.5065,27.8116
5,2,4451744.7393,27.8116
5,3,6398829.9608,27.8116
5,4,-8504866.8075,27.8116
5,5,2516077.3661,27.8116
5,6,4514359.2725,27.8116
5,7,-8884526.4964,27.8116
5,8,-13918488.5068,27.8116
5,9,12424586.0054,27.8116
6,0,-23887458.7121,168.9874
6,1,13081499.8059,168.9874
6,2,9060475.2090,168.9874
6,3,-682174.9702,168.9874
6,4,5155039.6319,168.9874
6,5,-7577743.0573,168.9874
6,6,594145.4637,168.9874
6,7,19149075.4710,168.9874
6,8,-495805.2428,168.9874
6,9,-14397053.5991,168.9874
7,0,-7327582.7570,184.1416
7,1,7783636.0528,184.1416
7,2,5510701.5283,184.1416
7,3,-2763962.0523,184.1416
7,4,8350065.7626,184.1416
7,5,-6881533.5838,184.1416
7,6,301683.7727,184.1416
7,7,19261742.6496,184.1416
7,8,-8805391.2806,184.1416
7,9,-15429360.0922,184.1416
8,0,3919652.6256,521.9516
8,1,9010496.6793,521.9516
8,2,-1042729.0693,521.9516
8,3,15211999.9100,521.9516
8,4,-6666703.9757,521.9516
8,5,-1344912.9249,521.9516
8,6,-10512468.3217,521.9516
8,7,11978694.9352,521.9516
8,8,-5551731.7902,521.9516
8,9,-15002298.0682,521.9516
9,0,-389365.2778,1292.6466
9,1,9038265.0164,1292.6466
9,2,-9238688.6189,1292.6466
9,3,-5433866.5986,1292.6466
9,4,2463298.3915,1292.6466
9,5,-6579266.3785,1292.6466
9,6,3172118.8907,1292.6466
9,7,-1582119.9162,1292.6466
9,8,-272101.0317,1292.6466
9,9,8821725.5231,1292.6466
10,0,1512500.9505,5207.8518
10,1,6864438.1523,5207.8518
10,2,-8262402.4979,5207.8518
10,3,-1393433.2887,5207.8518
10,4,4983811.9538,5207.8518
10,5,-21217500.4801,5207.8518
10,6,4542511.6283,5207.8518
10,7,-2733205.3557,5207.8518
10,8,2808322.4202,5207.8518
10,9,12894956.5174,5207.8518
11,0,447691.7151,1218.4013
11,1,10368021.4639,1218.4013
11,2,-9846814.6251,1218.4013
11,3,-2777507.5413,1218.4013
11,4,6104549.9206,1218.4013
11,5,-16388323.9981,1218.4013
11,6,2010591.8500,1218.4013
11,7,580493.6454,1218.4013
11,8,999663.6103,1218.4013
11,9,8501633.9591,1218.4013
12,0,619361.2759,1150.0999
12,1,8788273.6251,1150.0999
12,2,-9346146.9856,1150.0999
12,3,-3214899.2872,1150.0999
12,4,5734605.0904,1150.0999
12,5,-15034001.2180,1150.0999
12,6,2708770.0506,1150.0999
12,7,-1378452.5145,1150.0999
12,8,1341779.5884,1150.0999
12,9,9780710.3748,1150.0999
13,0,-353910.4436,65.8689
13,1,11339732.9763,65.8689
13,2,-7573840.5466,65.8689
13,3,-2349772.6581,65.8689
13,4,3083353.1421,65.8689
13,5,-3626319.0709,65.8689
13,6,-2684084.8201,65.8689
13,7,4605699.9795,65.8689
13,8,-1982039.3820,65.8689
13,9,-458819.1767,65.8689
14,0,-1078655.8500,236.5283
14,1,9289983.4283,236.5283
14,2,-2455560.5086,236.5283
14,3,2258894.8893,236.5283
14,4,2494467.4397,236.5283
14,5,-14482964.9187,236.5283
14,6,-761520.8439,236.5283
14,7,6811882.5142,236.5283
14,8,-1320710.0822,236.5283
14,9,-755816.0681,236.5283
15,0,-688515.6049,64.0783
15,1,9196689.1025,64.0783
15,2,-2559875.0676,64.0783
15,3,1555459.4672,64.0783
15,4,550107.3386,64.0783
15,5,-6547117.9861,64.0783
15,6,-2321079.8767,64.0783
15,7,6530867.4705,64.0783
15,8,-2503345.8301,64.0783
15,9,-3213189.0134,64.0783
16,0,76106.9723,24.3939
16,1,10344857.8334,24.3939
16,2,-3004184.1146,24.3939
16,3,902352.9709,24.3939
16,4,-3537870.5339,24.3939
16,5,-1452442.7475,24.3939
16,6,-3162034.2501,24.3939
16,7,5572300.7230,24.3939
16,8,-2816669.2690,24.3939
16,9,-2922417.5845,24.3939
17,0,-1433637.7857,628.9636
17,1,10002055.0179,628.9636
17,2,-2452397.4763,628.9636
17,3,2022263.8046,628.9636
17,4,3868146.5091,628.9636
17,5,-22734206.5611,628.9636
17,6,1457088.1899,628.9636
17,7,4654157.2192,628.9636
17,8,186449.8557,628.9636
17,9,4430081.2267,628.9636
18,0,-555230.7608,860.4471
18,1,6789473.0278,860.4471
18,2,-382653.6955,860.4471
18,3,5812420.9963,860.4471
18,4,2124071.6445,860.4471
18,5,-26148080.8062,860.4471
18,6,538581.8883,860.4471
18,7,8222596.4177,860.4471
18,8,1119271.7151,860.4471
18,9,2479549.5728,860.4471
19,0,-1086622.2018,1180.1824
19,1,10127691.0363,1180.1824
19,2,-96973.7561,1180.1824
19,3,6152006.1182,1180.1824
19,4,3866687.9199,1180.1824
19,5,-30695363.1381,1180.1824
19,6,-360984.6323,1180.1824
19,7,10998564.8695,1180.1824
19,8,1289507.4051,1180.1824
19,9,-194513.6207,1180.1824
20,0,-48200.3084,529.7119
20,1,8420336.5403,529.7119
20,2,220111.3924,529.7119
20,3,6000598.5408,529.7119
20,4,-613973.2593,529.7119
20,5,-20247967.8134,529.7119
20,6,-2353961.1051,529.7119
20,7,11774389.3051,529.7119
20,8,792095.2764,529.7119
20,9,-3943428.5687,529.7119
21,0,1818528.9984,478.0294
21,1,-1236682.2241,478.0294
21,2,-877183.5685,478.0294
21,3,-2688485.6393,478.0294
21,4,-5286262.7955,478.0294
21,5,20290723.3754,478.0294
21,6,-2602197.5101,478.0294
21,7,-3894307.0167,478.0294
21,8,-3061975.3197,478.0294
21,9,-2462158.3000,478.0294
22,0,-1423844.7226,1067.8530
22,1,8030996.1783,1067.8530
22,2,35202.5919,1067.8530
22,3,5775551.6668,1067.8530
22,4,2789719.7550,1067.8530
22,5,-29130070.3898,1067.8530
22,6,110664.8514,1067.8530
22,7,11076495.2544,1067.8530
22,8,3441849.5845,1067.8530
22,9,-706564.7698,1067.8530
23,0,-2378492.2138,1005.4384
23,1,9665328.0286,1005.4384
23,2,-1087978.8965,1005.4384
23,3,3687011.7101,1005.4384
23,4,6790154.4606,1005.4384
23,5,-27454409.4774,1005.4384
23,6,-1740387.2479,1005.4384
23,7,11684273.7778,1005.4384
23,8,3391449.6425,1005.4384
23,9,-2556949.7841,1005.4384
24,0,215472.4333,602.8005
24,1,7886372.4567,602.8005
24,2,-1745093.7185,602.8005
24,3,4848491.1529,602.8005
24,4,946866.0109,602.8005
24,5,-21499405.7130,602.8005
24,6,-1019918.5228,602.8005
24,7,9264844.8224,602.8005
24,8,2347595.8585,602.8005
24,9,-1245224.7804,602.8005
25,0,-2059125.5861,955.9766
25,1,8296650.3734,955.9766
25,2,-327850.8394,955.9766
25,3,4454222.2034,955.9766
25,4,6430354.9063,955.9766
25,5,-29428186.1387,955.9766
25,6,-292197.6850,955.9766
25,7,11359747.5149,955.9766
25,8,3395792.2627,955.9766
25,9,-1829407.0116,955.9766
26,0,-548729.2148,421.3204
26,1,10914124.6845,421.3204
26,2,-1288899.8731,421.3204
26,3,2724930.9971,421.3204
26,4,5997845.8715,421.3204
26,5,-19686801.7753,421.3204
26,6,-3221456.4058,421.3204
26,7,9098744.2098,421.3204
26,8,1101611.3233,421.3204
26,9,-5091369.8171,421.3204
27,0,282597.7771,103.1641
27,1,8978816.4803,103.1641
27,2,-3165825.6437,103.1641
27,3,-2107582.1756,103.1641
27,4,-2128085.3735,103.1641
27,5,11208750.0465,103.1641
27,6,-4508308.3696,103.1641
27,7,1951323.6920,103.1641
27,8,-3193593.9084,103.1641
27,9,-7318092.5253,103.1641
28,0,980421.3602,253.0322
28,1,9262820.0704,253.0322
28,2,-1333007.7239,253.0322
28,3,4464959.7697,253.0322
28,4,1581322.7313,253.0322
28,5,-18429521.1039,253.0322
28,6,-3803196.4517,253.0322
28,7,9026386.0704,253.0322
28,8,1484209.3124,253.0322
28,9,-3234394.0348,253.0322
29,0,2715626.8283,32.7559
29,1,10031305.1384,32.7559
29,2,-2973048.4262,32.7559
29,3,471710.9530,32.7559
29,4,-1071744.0173,32.7559
29,5,-6655424.8339,32.7559
29,6,-4162793.2109,32.7559
