t_idx,component_idx,singular_value,explained_ratio,effective_rank
0,0,5992694.567853,0.264285,10
0,1,4233074.591839,0.186684,10
0,2,3191413.390022,0.140745,10
0,3,2773021.944420,0.122294,10
0,4,2371071.871908,0.104567,10
1,0,7632627.860801,0.341770,10
1,1,3809814.811586,0.170594,10
1,2,3127844.070794,0.140057,10
1,3,2302016.482808,0.103079,10
1,4,1935442.036913,0.086664,10
2,0,9339797.818774,0.350281,10
2,1,4939107.171034,0.185237,10
2,2,3666015.657844,0.137491,10
2,3,3245886.936800,0.121734,10
2,4,1930182.557502,0.072390,10
3,0,7191329.319501,0.336204,10
3,1,3781342.968271,0.176783,10
3,2,3439228.775708,0.160788,10
3,3,2562661.389839,0.119808,10
3,4,1689719.943660,0.078997,10
4,0,8877077.633299,0.336380,10
4,1,5081627.717096,0.192559,10
4,2,3244960.656538,0.122962,10
4,3,3106266.427268,0.117706,10
4,4,2120570.825436,0.080355,10
5,0,40960837.565601,0.443275,10
5,1,31914088.679882,0.345372,10
5,2,6664636.303458,0.072124,10
5,3,3518475.157741,0.038077,10
5,4,2849134.888562,0.030833,10
6,0,8024636.313116,0.327996,10
6,1,4562961.886295,0.186505,10
6,2,2887372.520661,0.118017,10
6,3,2611516.108956,0.106742,10
6,4,2093745.448330,0.085579,10
7,0,10674055.888026,0.326258,10
7,1,7613212.228042,0.232702,10
7,2,5083650.719103,0.155385,10
7,3,2705051.421291,0.082681,10
7,4,2574664.629102,0.078696,10
8,0,7073451.673723,0.324348,10
8,1,3865804.234849,0.177263,10
8,2,3386497.358959,0.155285,10
8,3,2662484.340220,0.122086,10
8,4,1847503.658634,0.084716,10
9,0,6568365.693193,0.274133,10
9,1,4045952.942484,0.168859,10
9,2,3440774.191992,0.143602,10
9,3,2796884.552783,0.116729,10
9,4,2251589.971702,0.093971,10
10,0,9814194.030786,0.321584,10
10,1,4693376.898965,0.153789,10
10,2,4416608.619275,0.144720,10
10,3,3304357.580420,0.108275,10
10,4,2793028.066599,0.091520,10
11,0,12374053.980721,0.324751,10
11,1,8463120.550239,0.222110,10
11,2,4533024.565839,0.118967,10
11,3,3629017.831214,0.095242,10
11,4,3115770.407683,0.081772,10
12,0,7502752.697073,0.327744,10
12,1,4885202.830113,0.213401,10
12,2,2908104.136664,0.127035,10
12,3,2396727.764432,0.104697,10
12,4,2133060.567270,0.093179,10
13,0,7357771.925075,0.263766,10
13,1,4271676.239247,0.153134,10
13,2,3670810.402198,0.131594,10
13,3,3203047.778486,0.114825,10
13,4,2679515.610092,0.096057,10
14,0,7615318.064822,0.334498,10
14,1,3550033.335244,0.155933,10
14,2,2750378.905282,0.120809,10
14,3,2505890.904410,0.110070,10
14,4,2132130.042959,0.093652,10
15,0,9889794.235773,0.344751,10
15,1,5344837.656327,0.186317,10
15,2,3809902.417702,0.132810,10
15,3,3185329.094957,0.111038,10
15,4,2274105.683053,0.079274,10
16,0,9162824.237022,0.302618,10
16,1,5031853.929669,0.166186,10
16,2,4385648.473976,0.144844,10
16,3,3725444.326280,0.123039,10
16,4,2306855.302841,0.076188,10
17,0,5573398.972645,0.273599,10
17,1,3125686.441203,0.153441,10
17,2,2810233.471948,0.137955,10
17,3,2172583.278442,0.106653,10
17,4,1638884.629878,0.080453,10
18,0,8151203.807027,0.324435,10
18,1,5342886.546663,0.212658,10
18,2,2974401.233759,0.118387,10
18,3,2495346.698493,0.099320,10
18,4,2091867.619870,0.083261,10
19,0,8158145.576704,0.339793,10
19,1,3626008.925706,0.151026,10
19,2,3163324.211875,0.131755,10
19,3,2717103.289198,0.113170,10
19,4,2317305.810984,0.096518,10
20,0,10018371.788056,0.324419,10
20,1,4855316.123987,0.157227,10
20,2,4629311.288716,0.149908,10
20,3,2881879.500256,0.093322,10
20,4,2620270.548991,0.084851,10
21,0,5415312.445350,0.299759,10
21,1,3252041.340051,0.180013,10
21,2,2511413.534634,0.139017,10
21,3,2413532.331182,0.133599,10
21,4,1904315.234866,0.105411,10
22,0,6825746.409740,0.321875,10
22,1,3401370.012403,0.160395,10
22,2,2471662.145235,0.116554,10
22,3,2331030.392291,0.109922,10
22,4,2109342.472671,0.099468,10
23,0,6600733.309367,0.299643,10
23,1,3363091.021927,0.152669,10
23,2,3070579.437936,0.139390,10
23,3,2500667.235768,0.113519,10
23,4,2176441.255002,0.098801,10
24,0,19969194.107852,0.436711,10
24,1,14675891.706593,0.320951,10
24,2,4286941.059210,0.093752,10
24,3,2137485.892100,0.046745,10
24,4,1607754.470381,0.035160,10
25,0,6049822.609570,0.314156,10
25,1,3339237.881613,0.173400,10
25,2,2798048.639668,0.145297,10
25,3,2449716.640992,0.127209,10
25,4,1843010.327993,0.095704,10
26,0,16382061.978533,0.331444,10
26,1,15539255.884050,0.314392,10
26,2,5614812.580425,0.113600,10
26,3,4200832.903706,0.084992,10
26,4,2896651.537170,0.058605,10
27,0,14228024.285759,0.334220,10
27,1,13213282.803024,0.310384,10
27,2,4682741.792531,0.109999,10
27,3,2770953.707855,0.065090,10
27,4,2262566.356765,0.053148,10
28,0,6499918.264047,0.317781,10
28,1,3336654.455141,0.163129,10
28,2,2968054.319741,0.145108,10
28,3,2236870.563943,0.109360,10
28,4,1663895.432666,0.081348,10
29,0,5159225.875027,0.279449,10
29,1,3619812.571403,0.196067,10
29,2,3041812.112240,0.164760,10
29,3,2339734.827311,0.126732,10
29,4,1652552.059300,0.089510,10
30,0,6681512.162919,0.321573,10
30,1,3583257.356632,0.172458,10
30,2,2446272.781391,0.117736,10
30,3,2192180.723436,0.105507,10
30,4,1737119.829748,0.083605,10
31,0,7259909.673302,0.327000,10
31,1,4155982.236508,0.187193,10
31,2,3608207.623752,0.162520,10
31,3,2365046.750642,0.106526,10
31,4,2136808.072033,0.096246,10
32,0,10774877.918763,0.274376,10
32,1,8067251.691053,0.205428,10
32,2,7222230.804917,0.183910,10
32,3,6311865.650069,0.160728,10
32,4,2363186.211084,0.060177,10
33,0,5618985.561610,0.324746,10
33,1,3161549.271798,0.182720,10
33,2,2091216.392888,0.120860,10
33,3,1832445.229876,0.105905,10
33,4,1498313.386862,0.086594,10
34,0,7129813.038302,0.343230,10
34,1,2917358.470454,0.140442,10
34,2,2553448.660341,0.122923,10
34,3,2022632.457722,0.097370,10
34,4,1962980.337725,0.094498,10
35,0,7536575.052181,0.310351,10
35,1,4411273.056159,0.181653,10
35,2,3280143.440767,0.135074,10
35,3,2829374.721627,0.116512,10
35,4,1757599.275383,0.072377,10
36,0,4489877.719774,0.284229,10
36,1,2344743.022848,0.148432,10
36,2,2164324.222921,0.137011,10
36,3,1877381.167686,0.118846,10
36,4,1521189.873953,0.096298,10
37,0,4899731.513145,0.288302,10
37,1,2956937.407739,0.173987,10
37,2,2372479.212501,0.139598,10
37,3,1994935.356126,0.117383,10
37,4,1500546.667286,0.088293,10
38,0,17470832.314159,0.396602,10
38,1,16191934.668177,0.367570,10
38,2,3178330.818010,0.072151,10
38,3,2010449.326769,0.045639,10
38,4,1496853.983396,0.033980,10
39,0,7453696.094953,0.320067,10
39,1,5211927.763496,0.223804,10
39,2,2923251.843023,0.125527,10
39,3,2325358.828669,0.099853,10
39,4,2246882.667668,0.096483,10
40,0,4866523.141972,0.308839,10
40,1,2895827.200651,0.183775,10
40,2,2261022.366792,0.143489,10
40,3,1936119.441297,0.122870,10
40,4,1306362.088219,0.082904,10
41,0,7013620.269545,0.314740,10
41,1,3270697.616529,0.146774,10
41,2,3121635.958097,0.140085,10
41,3,2805301.393541,0.125889,10
41,4,2216806.352256,0.099480,10
42,0,6064564.701113,0.340286,10
42,1,2808788.938173,0.157603,10
42,2,2472974.098776,0.138760,10
42,3,2036611.697973,0.114275,10
42,4,1497560.086005,0.084029,10
43,0,4090764.104626,0.287583,10
43,1,2383963.905033,0.167594,10
43,2,1907042.365677,0.134066,10
43,3,1525819.812780,0.107266,10
43,4,1457206.322165,0.102443,10
44,0,6356783.300847,0.330815,10
44,1,4434348.718660,0.230769,10
44,2,2626809.137745,0.136702,10
44,3,1718727.067476,0.089445,10
44,4,1360738.695485,0.070815,10
45,0,2698935.767572,0.267163,10
45,1,1811517.466185,0.179319,10
45,2,1402685.942689,0.138850,10
45,3,1271778.217789,0.125891,10
45,4,1064873.576146,0.105410,10
46,0,5902206.046757,0.308961,10
46,1,3274819.061638,0.171426,10
46,2,2550161.911171,0.133492,10
46,3,2325392.143965,0.121727,10
46,4,1818409.649853,0.095188,10
47,0,5756087.107276,0.318626,10
47,1,4359976.396044,0.241345,10
47,2,2477468.586788,0.137139,10
47,3,1626522.641032,0.090036,10
47,4,1302816.560330,0.072117,10
48,0,5359014.685560,0.305768,10
48,1,2965625.886753,0.169209,10
48,2,2421976.708126,0.138190,10
48,3,2052274.269697,0.117096,10
48,4,1667089.916276,0.095119,10
49,0,4714907.250456,0.340460,10
49,1,2708913.065132,0.195609,10
49,2,2240566.752788,0.161790,10
49,3,1263928.126685,0.091267,10
49,4,1027419.079203,0.074189,10
50,0,10727289.593170,0.333717,10
50,1,9872305.709108,0.307119,10
50,2,3354178.996636,0.104346,10
50,3,2320927.887918,0.072202,10
50,4,2090219.863759,0.065025,10
51,0,4762519.151070,0.313040,10
51,1,3500793.043252,0.230107,10
51,2,1819620.989352,0.119603,10
51,3,1334576.035386,0.087722,10
51,4,1062946.599864,0.069867,10
