t_idx,time_label
0,2020-W01
1,2020-W02
2,2020-W03
3,2020-W04
4,2020-W05
5,2020-W06
6,2020-W07
7,2020-W08
8,2020-W09
9,2020-W10
10,2020-W11
11,2020-W12
12,2020-W13
13,2020-W14
14,2020-W15
15,2020-W16
16,2020-W17
17,2020-W18
18,2020-W19
19,2020-W20
20,2020-W21
21,2020-W22
22,2020-W23
23,2020-W24
24,2020-W25
25,2020-W26
26,2020-W27
27,2020-W28
28,2020-W29
29,2020-W30
30,2020-W31
31,2020-W32
32,2020-W33
33,2020-W34
34,2020-W35
35,2020-W36
36,2020-W37
37,2020-W38
38,2020-W39
39,2020-W40
40,2020-W41
41,2020-W42
42,2020-W43
43,2020-W44
44,2020-W45
45,2020-W46
46,2020-W47
47,2020-W48
48,2020-W49
49,2020-W50
50,2020-W51
51,2020-W52
