t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2000-10,0.0,0.0,0.0,0.0,0
1,2000-11,0.0,0.0662,0.0,0.0,0
2,2000-12,0.0,0.133,0.5954,1.021,0
3,2001-01,0.0,-0.284,0.8781,2.2509,0
4,2001-02,0.0,-0.0048,3.0793,3.1135,1
5,2001-03,0.0,0.0114,1.2851,3.951,1
6,2001-04,0.0,0.0072,21.9406,3.934,1
7,2001-05,0.0,0.0687,2.3486,2.5293,0
8,2001-06,0.0,0.2024,3.0302,2.9739,1
9,2001-07,0.0,0.2057,3.1902,2.595,1
10,2001-08,0.0,0.0851,2.4647,2.3989,0
11,2001-09,0.0,0.515,3.7963,3.0269,1
12,2001-10,0.0,0.0266,3.9826,3.2707,1
13,2001-11,0.0,0.0272,1.7655,1.4706,0
14,2001-12,0.0,0.133,2.6905,4.0601,1
15,2002-01,0.0,0.1211,3.8657,4.6551,1
16,2002-02,0.0,1.288,3.6176,4.3845,1
17,2002-03,0.0,-0.0908,3.6563,3.0122,1
18,2002-04,0.0,-0.0682,2.2084,2.6342,0
19,2002-05,0.0,0.0843,8.9316,3.7266,1
20,2002-06,0.0,0.0603,3.6814,2.2229,1
21,2002-07,0.0,0.864,2.4333,2.3163,0
22,2002-08,0.0,0.0035,21.4894,2.5516,1
23,2002-09,0.0,0.0151,2.6126,2.6344,0
24,2002-10,0.0,0.0239,7.9149,3.7557,1
25,2002-11,0.0,0.2124,1.8141,2.4524,0
26,2002-12,0.0,-0.0361,3.1454,3.4497,1
27,2003-01,0.0,-0.2625,3.6414,4.4712,1
28,2003-02,0.0,1.3314,2.3658,2.6707,0
29,2003-03,0.0,1.6301,3.1728,4.0799,1
30,2003-04,0.0,-0.0602,2.9453,4.9641,1
31,2003-05,0.0,1.6133,2.9027,4.1585,1
32,2003-06,0.0,-0.2654,2.8642,3.122,1
33,2003-07,0.0,0.3166,5.4265,5.576,1
34,2003-08,0.0,0.6194,1.9369,1.7135,0
35,2003-09,0.0,-0.3726,4.2291,3.8556,1
36,2003-10,0.0,-0.2637,4.1421,2.6205,1
37,2003-11,0.0,-0.1909,1.6344,1.4223,0
38,2003-12,0.0,-0.2585,2.3624,3.0473,1
39,2004-01,0.0,-0.2707,1.1288,1.3988,0
40,2004-02,0.0,-0.1911,1.6934,1.5414,0
41,2004-03,0.0,-0.0697,4.5285,5.9667,1
42,2004-04,0.0,-0.051,3.0346,3.5093,1
43,2004-05,0.0,-0.1861,4.1005,3.8988,1
44,2004-06,0.0,56.4877,5.1815,6.1404,1
45,2004-07,0.0,-0.0332,11.5076,6.7196,1
46,2004-08,0.0,0.0,2.1858,2.3368,0
47,2004-09,0.0,-0.5439,2.0447,2.6133,0
48,2004-10,0.0,0.573,1.8156,2.7226,0
49,2004-11,0.0,-0.0218,1.8732,1.9101,0
50,2004-12,0.0,-0.3502,6.3648,4.0825,1
51,2005-01,0.0,-0.053,2.233,4.25,1
52,2005-02,0.0,-0.0798,3.0881,2.9924,1
53,2005-03,0.0,-0.086,2.7991,3.7744,1
54,2005-04,0.0,0.1102,3.1246,4.7109,1
55,2005-05,0.0,-0.2786,4.3886,6.1207,1
56,2005-06,0.0,0.0,1.3307,1.4615,0
57,2005-07,0.0,0.0476,2.666,2.8219,0
58,2005-08,0.0,0.1274,1.8031,2.3468,0
59,2005-09,0.0,2.6382,7.2834,6.8806,1
60,2005-10,0.0,-0.1933,3.5259,6.3059,1
61,2005-11,0.0,-0.1002,3.3984,3.7295,1
62,2005-12,0.0,0.2539,3.5542,2.2036,1
