t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,coherence,phase_shift
12,E_000013,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
13,E_000014,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
14,E_000015,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
15,E_000016,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
16,E_000017,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
17,E_000018,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
18,E_000019,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
19,E_000020,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
20,E_000021,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
21,E_000022,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
22,E_000023,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
23,E_000024,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
24,E_000025,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
25,E_000026,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
26,E_000027,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
27,E_000028,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
28,E_000029,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
29,E_000030,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
30,E_000031,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
31,E_000032,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
32,E_000033,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
33,E_000034,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
34,E_000035,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
35,E_000036,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
36,E_000037,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
37,E_000038,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
38,E_000039,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
39,E_000040,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
40,E_000041,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
41,E_000042,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
42,E_000043,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
43,E_000044,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
44,E_000045,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
45,E_000046,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
46,E_000047,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
47,E_000048,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
48,E_000049,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
49,E_000050,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
50,E_000051,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
51,E_000052,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
52,E_000053,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
53,E_000054,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
54,E_000055,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
55,E_000056,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
56,E_000057,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
57,E_000058,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
58,E_000059,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
59,E_000060,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
60,E_000061,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
61,E_000062,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
62,E_000063,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,-0.0
63,E_000064,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
64,E_000065,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
65,E_000066,0,ACC_Sales_Revenue,0,ACC_Sales_Revenue,1.0,0.0
