Ticker,Sector
AAPL,Sect_InformationTechnology
MSFT,Sect_InformationTechnology
NVDA,Sect_InformationTechnology
AVGO,Sect_InformationTechnology
HPQ,Sect_InformationTechnology
STX,Sect_InformationTechnology
GOOG,Sect_CommunicationServices
META,Sect_CommunicationServices
DIS,Sect_CommunicationServices
LYV,Sect_CommunicationServices
NWSA,Sect_CommunicationServices
AMZN,Sect_ConsumerDiscretionary
TSLA,Sect_ConsumerDiscretionary
HD,Sect_ConsumerDiscretionary
KSS,Sect_ConsumerDiscretionary
M,Sect_ConsumerDiscretionary
PG,Sect_ConsumerStaples
CPB,Sect_ConsumerStaples
CAG,Sect_ConsumerStaples
JNJ,Sect_HealthCare
BIIB,Sect_HealthCare
PRGO,Sect_HealthCare
JPM,Sect_Financials
SYF,Sect_Financials
NAVI,Sect_Financials
XOM,Sect_Energy
HAL,Sect_Energy
APA,Sect_Energy
NEE,Sect_Utilities
NI,Sect_Utilities
PNW,Sect_Utilities
CAT,Sect_Industrials
DOV,Sect_Industrials
PNR,Sect_Industrials
LIN,Sect_Materials
SEE,Sect_Materials
OI,Sect_Materials
PLD,Sect_RealEstate
BXP,Sect_RealEstate
VNO,Sect_RealEstate
