input_csv,input_stream/us_macro_journal.csv
col_trans_date,Date
col_src,Source
col_tgt,Target
col_amount,Amount

# ---------------------------------------------------------
# TIME GRANULARITY & WINDOW SIZES
# ---------------------------------------------------------
# time_granularity defines the scale of the aggregation (e.g., day, week, month, year).
# Standard values for observation_window_steps based on granularity:
# month -> 12, week -> 52, day -> 252.
time_granularity,month

observation_window_steps,12
damping_factor,0.85
tikhonov_lambda,0.0001

thermo_work_labels,US10Y,US_Inflation,US_Production,Copper,Oil
thermo_heat_labels,SP500,US_Unemployment

anomaly_z_score_threshold,3.0
leak_tolerance,1.0
kl_drift_thresh,2.0

thresh_z_score,3.0
thresh_spectral_radius,0.95
thresh_fractal_lower,0.5
thresh_fractal_upper,1.5
thresh_manifold_svd,1e-10
target_phase_frequency,0.25

lqr_controllable_labels,US10Y
lqr_target_state,US_Inflation:2.0,US_Unemployment:4.0
lqr_q_weight,1.0
lqr_r_weight,0.1

kinematics_max_k,5
fk_input_mode,actual
fk_static_dq_labels,US10Y:1.0

ik_target_labels,US_Inflation:2.0,US_Unemployment:4.0
sensitivity_delta,1.0

auto_tune_enabled,False
auto_tune_burn_in_period,12
# phase_window_size is typically 2x observation_window_steps (e.g., 24 for month, 104 for week).
phase_window_size,24
phase_step_size,1
