Account_Name,Category
Sector_IT,Liability
Sector_Health,Liability
Sector_Fin,Liability
Sector_Disc,Liability
Sector_Comm,Liability
Sector_Ind,Liability
Sector_Staples,Liability
Sector_Energy,Liability
Sector_Util,Liability
Sector_RE,Liability
Sector_Mat,Liability
AAPL_Close,Revenue
MSFT_Close,Revenue
GOOG_Close,Revenue
AMZN_Close,Revenue
NVDA_Close,Revenue
META_Close,Revenue
TSLA_Close,Revenue
AVGO_Close,Revenue
JNJ_Close,Revenue
JPM_Close,Revenue
HD_Close,Revenue
DIS_Close,Revenue
CAT_Close,Revenue
PG_Close,Revenue
XOM_Close,Revenue
NEE_Close,Revenue
PLD_Close,Revenue
LIN_Close,Revenue
HPQ_Close,Expense
STX_Close,Expense
BIIB_Close,Expense
PRGO_Close,Expense
SYF_Close,Expense
NAVI_Close,Expense
M_Close,Expense
KSS_Close,Expense
LYV_Close,Expense
NWSA_Close,Expense
DOV_Close,Expense
PNR_Close,Expense
CAG_Close,Expense
CPB_Close,Expense
HAL_Close,Expense
APA_Close,Expense
NI_Close,Expense
PNW_Close,Expense
BXP_Close,Expense
VNO_Close,Expense
SEE_Close,Expense
OI_Close,Expense
