node_label,initial_X
IchijoHorikawa,10000.00
IchijoShinmachi,10000.00
IchijoMuromachi,10000.00
IchijoKarasuma,10000.00
IchijoKurumayacho,10000.00
NijoHorikawa,10000.00
NijoShinmachi,10000.00
NijoMuromachi,10000.00
NijoKarasuma,10000.00
NijoKurumayacho,10000.00
SanjoHorikawa,10000.00
SanjoShinmachi,10000.00
SanjoMuromachi,10000.00
SanjoKarasuma,10000.00
SanjoKurumayacho,10000.00
ShijoHorikawa,10000.00
ShijoShinmachi,10000.00
ShijoMuromachi,10000.00
ShijoKarasuma,10000.00
ShijoKurumayacho,10000.00
GojoHorikawa,10000.00
GojoShinmachi,10000.00
GojoMuromachi,10000.00
GojoKarasuma,10000.00
GojoKurumayacho,10000.00
