t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,75433.08
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,143430.16
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,68432.69
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,22442.71
0,2020-01,4,04_ACC_Cash_DPT_Admin,Asset,0.0,64027.5
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,38228.86
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,12695.4
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-28556.0813,8174.84
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,10513.92
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,153430.16
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0
0,2020-01,12,12_ACC_Cash,Asset,0.0,0.0
0,2020-01,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
0,2020-01,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
0,2020-01,15,15_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,44798.51
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,138789.53
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,Expense,-1115.7597,72250.76
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,Expense,-111.4049,37813.43
1,2020-02,4,04_ACC_Cash_DPT_Admin,Asset,0.0,43559.5
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,43853.19
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,15092.96
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-28544.8198,4907.51
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,19412.73
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,184750.72
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0
1,2020-02,12,12_ACC_Cash,Asset,0.0,0.0
1,2020-02,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
1,2020-02,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
1,2020-02,15,15_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,25481.91
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,33325.5
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,Expense,-4738.2502,62910.28
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,Expense,-554.8583,30693.47
2,2020-03,4,04_ACC_Cash_DPT_Admin,Asset,0.0,36300.88
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,78306.88
2,2020-03,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,7592.01
2,2020-03,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-33251.5146,6442.21
2,2020-03,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,42862.91
2,2020-03,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,160404.45
2,2020-03,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0
2,2020-03,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0
2,2020-03,12,12_ACC_Cash,Asset,0.0,0.0
2,2020-03,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
2,2020-03,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
2,2020-03,15,15_ACC_Equity_Capital,Equity,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,44235.21
3,2020-04,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,88271.75
3,2020-04,2,02_ACC_COGS_DPT_Prod_A,Expense,-3698.2755,34260.23
3,2020-04,3,03_ACC_COGS_DPT_Prod_B,Expense,-527.2458,18917.49
3,2020-04,4,04_ACC_Cash_DPT_Admin,Asset,0.0,79848.57
3,2020-04,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,90020.42
3,2020-04,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,6838.33
3,2020-04,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-70015.0897,4048.31
3,2020-04,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,17305.98
3,2020-04,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,94120.41
3,2020-04,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0
3,2020-04,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0
3,2020-04,12,12_ACC_Cash,Asset,0.0,0.0
3,2020-04,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
3,2020-04,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
3,2020-04,15,15_ACC_Equity_Capital,Equity,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,3570.51
4,2020-05,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,57509.71
4,2020-05,2,02_ACC_COGS_DPT_Prod_A,Expense,-3752.4014,28887.32
4,2020-05,3,03_ACC_COGS_DPT_Prod_B,Expense,-742.2474,10830.36
4,2020-05,4,04_ACC_Cash_DPT_Admin,Asset,0.0,8883.49
4,2020-05,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,74684.6
4,2020-05,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,23304.78
4,2020-05,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-47305.3259,7648.4
4,2020-05,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,17526.65
4,2020-05,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,75006.12
4,2020-05,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0
4,2020-05,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0
4,2020-05,12,12_ACC_Cash,Asset,0.0,0.0
4,2020-05,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
4,2020-05,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
4,2020-05,15,15_ACC_Equity_Capital,Equity,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,9824.89
5,2020-06,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,18004.93
5,2020-06,2,02_ACC_COGS_DPT_Prod_A,Expense,-4259.5678,40353.3
5,2020-06,3,03_ACC_COGS_DPT_Prod_B,Expense,-877.0625,13497.9
5,2020-06,4,04_ACC_Cash_DPT_Admin,Asset,0.0,30769.05
5,2020-06,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,78827.91
5,2020-06,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,14490.28
