t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,0.0,1.2184,0.0,0.0,0
2,2020-03,0.0,0.3742,0.7071,1.5434,0
3,2020-04,0.0,0.0381,0.5774,3.5695,1
4,2020-05,0.0,0.0646,4.0627,1.0235,1
5,2020-06,0.0,0.0078,0.176,0.911,0
6,2020-07,0.0,0.0351,1.7262,6.6342,1
7,2020-08,0.0,0.0016,0.6866,1.1167,0
8,2020-09,0.0,0.1177,3.0009,3.4542,1
9,2020-10,0.0,0.012,2.272,1.7044,0
10,2020-11,0.0,0.0049,1.2407,1.0616,0
11,2020-12,0.0,1.0623,4.2458,1.2051,1
