t_idx,node_idx,ik_suggested_delta,ik_strain_energy
0,0,6.9062,5103.5851
0,1,8.1249,5103.5851
0,2,0.9364,5103.5851
0,3,1.1016,5103.5851
0,4,0.0000,5103.5851
0,5,0.0000,5103.5851
0,6,0.0000,5103.5851
0,7,9.5588,5103.5851
0,8,100.0000,5103.5851
1,0,2.1747,5010.9401
1,1,2.5585,5010.9401
1,2,0.8049,5010.9401
1,3,0.9470,5010.9401
1,4,0.0000,5010.9401
1,5,0.0000,5010.9401
1,6,0.0000,5010.9401
1,7,3.0100,5010.9401
1,8,100.0000,5010.9401
2,0,147.4757,0.0000
2,1,-17.9592,0.0000
2,2,-86.1868,0.0000
2,3,-32.9686,0.0000
2,4,-26.6822,0.0000
2,5,4.0586,0.0000
2,6,0.3457,0.0000
2,7,-5.5716,0.0000
2,8,17.4884,0.0000
3,0,85.2887,0.0001
3,1,58.4960,0.0001
3,2,-55.8643,0.0001
3,3,-112.0674,0.0001
3,4,-21.5107,0.0001
3,5,7.2874,0.0001
3,6,-7.9343,0.0001
3,7,-53.6943,0.0001
3,8,99.9989,0.0001
4,0,28.6164,0.0001
4,1,95.3501,0.0001
4,2,-129.2192,0.0001
4,3,-12.9917,0.0001
4,4,-16.7297,0.0001
4,5,12.5004,0.0001
4,6,-23.5686,0.0001
4,7,-53.9570,0.0001
4,8,99.9994,0.0001
5,0,65.4912,0.0008
5,1,67.3717,0.0008
5,2,-178.3711,0.0008
5,3,-32.4737,0.0008
5,4,-62.4025,0.0008
5,5,40.5156,0.0008
5,6,41.6842,0.0008
5,7,-41.8150,0.0008
5,8,99.9997,0.0008
6,0,121.6190,0.0206
6,1,13.4955,0.0206
6,2,8.8331,0.0206
6,3,80.7914,0.0206
6,4,81.0435,0.0206
6,5,-32.8699,0.0206
6,6,-246.4028,0.0206
6,7,-126.5075,0.0206
6,8,99.9977,0.0206
7,0,16.8078,0.0131
7,1,-36.2515,0.0131
7,2,28.9264,0.0131
7,3,57.4496,0.0131
7,4,-115.6235,0.0131
7,5,15.2290,0.0131
7,6,-61.6337,0.0131
7,7,-4.9039,0.0131
7,8,99.9999,0.0131
8,0,8.9730,0.3167
8,1,-12.4536,0.3167
8,2,2.2910,0.3167
8,3,55.3921,0.3167
8,4,-28.8739,0.3167
8,5,-315.0891,0.3167
8,6,196.7179,0.3167
8,7,-6.9575,0.3167
8,8,100.0000,0.3167
9,0,-56.6926,2.2875
9,1,-96.0194,2.2875
9,2,-62.3233,2.2875
9,3,-55.7566,2.2875
9,4,52.0370,2.2875
9,5,24.9774,2.2875
9,6,-72.5395,2.2875
9,7,166.3169,2.2875
9,8,100.0000,2.2875
10,0,-60.6762,1.1361
10,1,-99.7429,1.1361
10,2,-62.8780,1.1361
10,3,-57.6582,1.1361
10,4,60.8093,1.1361
10,5,19.4490,1.1361
10,6,-69.7168,1.1361
10,7,170.4136,1.1361
10,8,100.0000,1.1361
11,0,-71.5486,0.9321
11,1,-106.9905,0.9321
11,2,-72.8316,0.9321
11,3,-69.1132,0.9321
11,4,71.6649,0.9321
11,5,49.2850,0.9321
11,6,-91.0434,0.9321
11,7,190.5774,0.9321
11,8,100.0000,0.9321
12,0,-70.4822,0.5340
12,1,-107.6145,0.5340
12,2,-72.4692,0.5340
12,3,-69.3154,0.5340
12,4,75.6824,0.5340
12,5,37.4571,0.5340
12,6,-85.1123,0.5340
12,7,191.8540,0.5340
12,8,100.0000,0.5340
13,0,-70.4013,0.5814
13,1,-108.4940,0.5814
13,2,-72.9918,0.5814
13,3,-69.6774,0.5814
13,4,77.0113,0.5814
13,5,37.8760,0.5814
13,6,-84.4520,0.5814
13,7,191.1293,0.5814
13,8,100.0000,0.5814
14,0,-69.1984,0.5412
14,1,-105.2377,0.5412
14,2,-68.1287,0.5412
14,3,-63.6349,0.5412
14,4,69.0073,0.5412
14,5,38.0122,0.5412
14,6,-86.9440,0.5412
14,7,186.1242,0.5412
14,8,100.0000,0.5412
15,0,-61.6373,0.1697
15,1,-98.3399,0.1697
15,2,-52.7183,0.1697
15,3,-48.0496,0.1697
15,4,44.8648,0.1697
15,5,35.1138,0.1697
15,6,-83.6758,0.1697
15,7,164.4422,0.1697
15,8,100.0000,0.1697
16,0,-53.9444,0.1280
16,1,-89.5500,0.1280
16,2,-39.6958,0.1280
16,3,-32.7944,0.1280
16,4,21.0811,0.1280
16,5,16.2560,0.1280
16,6,-64.5514,0.1280
16,7,143.1989,0.1280
16,8,100.0000,0.1280
17,0,-52.9743,0.1336
17,1,-89.0055,0.1336
17,2,-37.9013,0.1336
17,3,-30.9583,0.1336
17,4,17.6982,0.1336
17,5,14.0242,0.1336
17,6,-62.0247,0.1336
17,7,141.1417,0.1336
17,8,100.0000,0.1336
18,0,-54.2379,0.1364
18,1,-88.2920,0.1364
18,2,-37.1876,0.1364
18,3,-28.9188,0.1364
18,4,20.8275,0.1364
18,5,4.9093,0.1364
18,6,-57.4173,0.1364
18,7,140.3166,0.1364
18,8,100.0000,0.1364
19,0,-54.4374,0.1403
19,1,-88.8881,0.1403
19,2,-37.9865,0.1403
19,3,-29.8642,0.1403
19,4,22.5921,0.1403
19,5,5.1820,0.1403
19,6,-58.3959,0.1403
19,7,141.7980,0.1403
19,8,100.0000,0.1403
20,0,-54.6812,0.1449
20,1,-89.1001,0.1449
20,2,-38.5829,0.1449
20,3,-30.6057,0.1449
20,4,25.0568,0.1449
20,5,6.7497,0.1449
20,6,-61.0426,0.1449
20,7,142.2061,0.1449
20,8,100.0000,0.1449
21,0,-53.5826,0.1505
21,1,-90.4002,0.1505
21,2,-36.3177,0.1505
21,3,-30.4445,0.1505
21,4,24.0069,0.1505
21,5,1.3444,0.1505
21,6,-56.0522,0.1505
21,7,141.4459,0.1505
21,8,100.0000,0.1505
22,0,-51.7876,0.1532
22,1,-89.0360,0.1532
22,2,-34.8900,0.1532
22,3,-28.6752,0.1532
22,4,19.2505,0.1532
22,5,0.1933,0.1532
22,6,-53.7372,0.1532
22,7,138.6822,0.1532
22,8,100.0000,0.1532
23,0,-51.3177,0.1530
23,1,-89.3313,0.1530
23,2,-33.5907,0.1530
23,3,-26.7324,0.1530
23,4,12.4795,0.1530
23,5,3.6817,0.1530
23,6,-49.5452,0.1530
23,7,134.3561,0.1530
23,8,100.0000,0.1530
