t_idx,node_idx,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,0,25.7250,8.5000,1,50.0000,0.0000,0
0,1,18.5000,8.5000,6,29.0276,4.9347,0
0,2,18.5000,4.9020,3,50.0000,0.0000,0
0,3,10.0000,0.0000,0,40.3131,3.9523,2
0,4,10.0000,0.0000,0,49.2378,1.2252,2
0,5,10.0000,0.0000,0,47.3750,2.2303,2
0,6,10.0000,0.0000,0,22.2766,3.7870,1
0,7,18.5000,8.5000,8,50.0000,0.0000,0
0,8,10.0000,0.0000,0,29.0276,4.9347,7
1,0,25.7250,8.5000,1,50.0000,0.0000,0
1,1,18.5000,8.5000,6,29.0276,4.9347,0
1,2,18.5000,5.4149,3,22.2766,3.7870,8
1,3,10.0000,0.0000,0,30.1547,3.2657,2
1,4,10.0000,0.0000,0,48.3675,1.1862,2
1,5,10.0000,0.0000,0,46.4015,1.7250,2
1,6,10.0000,0.0000,0,22.2766,3.7870,1
1,7,31.8663,8.5000,8,50.0000,0.0000,0
1,8,25.7250,8.5000,2,29.0276,4.9347,7
2,0,25.7250,8.5000,1,0.0000,-17.8021,8
2,1,18.5000,8.5000,6,0.0000,16.6436,0
2,2,26.2110,4.9037,0,0.0000,-10.8214,0
2,3,10.0000,0.0000,0,0.0000,-40.2771,0
2,4,10.0000,0.0000,0,0.0001,-367.3121,0
2,5,10.0000,0.0000,0,0.0017,-1845.1563,0
2,6,10.0000,0.0000,0,0.0000,32.6697,0
2,7,37.4374,8.5000,8,0.0000,33.4812,0
2,8,32.2793,8.5000,2,0.0000,-13.8950,0
3,0,25.7250,8.5000,1,0.0000,-7.0412,1
3,1,18.5000,8.5000,6,0.0000,-17.1976,8
3,2,24.7415,3.9692,0,0.0000,11.4887,8
3,3,10.0000,0.0000,0,0.0000,46.1969,8
3,4,10.0000,0.0000,0,0.0000,-95.5326,0
3,5,10.0000,0.0000,0,0.0002,-340.6244,8
3,6,10.0000,0.0000,0,0.0000,28.0641,0
3,7,36.3757,8.5000,8,0.0000,-16.1467,8
3,8,31.0303,8.5000,2,0.0000,-9.0428,7
4,0,25.7250,8.5000,1,0.0000,27.3503,2
4,1,18.5000,8.5000,6,0.0000,-21.4547,2
4,2,26.7872,5.2701,0,0.0000,-16.7447,7
4,3,10.0000,0.0000,0,0.0001,-60.0799,2
4,4,10.0000,0.0000,0,0.0000,40.0950,2
4,5,10.0000,0.0000,0,0.0039,391.8415,7
4,6,10.0000,0.0000,0,0.0001,67.9061,2
4,7,37.8538,8.5000,8,0.0000,-14.2415,2
4,8,32.7691,8.5000,2,0.0000,-10.3626,2
5,0,25.7250,8.5000,1,0.0002,24.6716,1
5,1,18.5000,8.5000,6,0.0000,-5.8110,4
5,2,25.1577,4.2339,0,0.0012,61.4135,1
5,3,10.0000,0.0000,0,0.0040,117.2136,1
5,4,10.0000,0.0000,0,0.0000,-12.8970,1
5,5,10.0000,0.0000,0,0.0001,-18.8125,1
5,6,10.0000,0.0000,0,0.0000,9.8968,1
5,7,36.6765,8.5000,8,0.0002,-26.4045,1
5,8,31.3841,8.5000,2,0.0002,23.8535,1
6,0,25.7250,8.5000,1,0.0012,-47.4150,4
6,1,18.5000,8.5000,6,0.0002,-18.6894,4
6,2,26.9775,5.3911,0,0.0031,-76.0452,4
6,3,10.0000,0.0000,0,0.0002,-17.2924,4
6,4,10.0000,0.0000,0,0.0001,-5.4508,3
6,5,10.0000,0.0000,0,0.0005,-31.0566,4
6,6,10.0000,0.0000,0,0.0003,-24.9033,4
6,7,37.9912,8.5000,8,0.0010,44.2811,4
6,8,32.9309,8.5000,2,0.0024,66.8999,4
7,0,25.7250,8.5000,1,0.0001,-13.9680,4
7,1,18.5000,8.5000,6,0.0001,-16.2859,4
7,2,25.4488,4.4189,0,0.0000,-8.2481,4
7,3,10.0000,0.0000,0,0.0002,-15.2463,4
7,4,10.0000,0.0000,0,0.0001,-5.1861,3
7,5,10.0000,0.0000,0,0.0011,-39.8063,4
7,6,10.0000,0.0000,0,0.0005,-28.4075,4
7,7,36.8867,8.5000,8,0.0004,-24.1345,3
7,8,31.6315,8.5000,2,0.0000,-10.2769,3
8,0,25.7250,8.5000,1,0.0003,-14.0343,4
8,1,18.5000,8.5000,6,0.0002,-14.3706,4
8,2,26.2855,4.9510,0,0.0002,-10.9330,4
8,3,10.0000,0.0000,0,0.0001,-6.5275,4
8,4,10.0000,0.0000,0,0.0002,-8.7399,3
8,5,10.0000,0.0000,0,0.0003,-13.7601,3
8,6,10.0000,0.0000,0,0.0002,-19.5818,4
8,7,37.4913,8.5000,8,0.0009,21.7102,3
8,8,32.3427,8.5000,2,0.0003,-12.2486,4
9,0,25.7250,8.5000,1,0.0002,-14.8147,4
9,1,18.5000,8.5000,6,0.0001,-14.4467,4
9,2,24.5093,3.8215,0,0.0001,-9.8048,4
9,3,10.0000,0.0000,0,0.0001,-8.0031,4
9,4,10.0000,0.0000,0,0.0001,-5.5421,3
9,5,10.0000,0.0000,0,0.0001,-10.3297,3
