t_idx,src_idx,tgt_idx,weight,stress
0,0,1,39000.0900,0.0000
0,1,6,47314.9600,0.0000
0,2,3,17324.9600,0.0000
0,2,4,6371.3900,0.0000
0,2,5,9756.2600,0.0000
0,7,8,87430.7000,0.0000
1,0,1,29625.4300,0.0000
1,1,6,56081.8000,0.0000
1,2,0,6942.2900,0.0000
1,2,3,19482.9500,0.0000
1,2,4,5485.9700,0.0000
1,2,5,6890.7600,0.0000
1,7,8,103217.9600,0.0000
1,8,2,24828.2300,0.0000
2,0,1,31924.8500,0.5094
2,1,6,63290.6200,2.6446
2,2,0,39429.2300,10.3591
2,2,3,18950.1600,0.5062
2,2,4,4662.3400,2.8604
2,2,5,7668.9700,0.4568
2,7,8,114155.4700,2.3856
2,8,2,68272.4400,4.4996
3,0,1,40992.0800,1.8738
3,1,6,60282.0900,0.7225
3,2,0,30637.0000,0.8833
3,2,3,16200.1800,2.5994
3,2,4,5452.7600,0.0771
3,2,5,8444.3400,0.2802
3,7,8,109948.2200,0.7609
3,8,2,93728.8900,2.2220
4,0,1,31139.5200,0.8969
4,1,6,65744.3300,1.4966
4,2,0,23935.5700,0.2878
4,2,3,18538.7200,0.4213
4,2,4,6167.0700,1.1143
4,2,5,6974.6400,1.1488
4,7,8,117993.4600,1.4074
4,8,2,112050.7000,1.7890
5,0,1,31309.3100,0.7073
5,1,6,68845.4800,1.5915
5,2,0,40598.3600,1.3910
5,2,3,17236.4100,0.7274
5,2,4,6140.6000,0.8482
5,2,5,10421.9000,2.3263
5,7,8,123382.2200,1.5670
5,8,2,112608.1400,1.2628
6,0,1,43210.7600,2.1251
6,1,6,65448.2900,0.7362
6,2,0,22849.2400,0.0481
6,2,3,19520.5200,1.3852
6,2,4,5260.9200,0.7748
6,2,5,6948.7300,1.0533
6,7,8,120916.4200,0.9932
6,8,2,129272.8600,1.4124
7,0,1,31156.6200,0.8077
7,1,6,57294.0900,0.5473
7,2,0,56096.8800,2.2865
7,2,3,17045.2300,0.9604
7,2,4,6455.7200,1.4326
7,2,5,8304.4200,0.1097
7,7,8,102479.1600,0.7407
7,8,2,119263.5000,0.9316
8,0,1,39620.2700,0.9636
8,1,6,45922.7800,2.2649
8,2,0,33710.9100,0.3585
8,2,3,20539.0800,2.1449
8,2,4,6113.4100,0.6160
8,2,5,9256.8200,0.8649
8,7,8,81656.8100,2.5408
8,8,2,129382.4000,1.0555
9,0,1,31833.9500,0.7052
9,1,6,42000.5800,2.2188
9,2,0,31951.3400,0.2276
9,2,3,16501.2800,1.3420
9,2,4,4440.7600,2.3734
9,2,5,8027.0900,0.2196
9,7,8,76643.8300,2.1925
9,8,2,95268.8800,0.1702
10,0,1,34275.6400,0.1464
10,1,6,33661.6100,2.6670
10,2,0,56759.9200,1.8165
10,2,3,19051.4500,0.6586
10,2,4,3604.1700,3.0415
10,2,5,4210.5500,3.4815
10,7,8,60225.7400,2.7434
10,8,2,84218.1400,0.1008
11,0,1,39678.5900,1.0351
11,1,6,26548.3000,2.6398
11,2,0,17908.2500,0.7876
11,2,3,18168.7900,0.0359
11,2,4,3963.2600,1.7257
11,2,5,7468.6200,0.2679
11,7,8,46924.9000,2.6926
11,8,2,64008.5300,0.5984
12,0,1,33703.6000,0.3503
12,1,6,21298.3600,2.4138
12,2,0,47988.6800,1.0836
12,2,3,16916.7900,0.9999
12,2,4,4730.1700,0.6570
12,2,5,8720.5400,0.5532
12,7,8,39812.1400,2.3340
12,8,2,66276.8300,0.5065
13,0,1,32763.0900,0.4715
13,1,6,17982.1900,2.0825
13,2,0,7345.9200,1.8486
13,2,3,18907.4500,0.5497
13,2,4,4737.0100,0.5264
13,2,5,6388.0300,0.9480
13,7,8,33188.7700,2.0544
13,8,2,45695.5000,1.5196
14,0,1,38578.4800,0.8113
14,1,6,25365.8200,1.2295
14,2,0,39950.2600,0.4064
14,2,3,16326.5300,1.4031
14,2,4,4189.7900,1.0648
14,2,5,6691.5600,0.6974
14,7,8,45767.7000,1.2347
14,8,2,35711.4400,2.1574
15,0,1,29028.8600,1.5763
15,1,6,25945.4800,1.0061
15,2,0,26996.1200,0.4961
15,2,3,20812.0600,2.1477
15,2,4,4109.5900,1.0741
15,2,5,5783.3400,1.2266
15,7,8,46672.1100,1.0146
15,8,2,43002.5200,1.5611
16,0,1,31982.6000,0.6348
16,1,6,32732.1400,0.4758
16,2,0,31007.8700,0.1952
16,2,3,20151.0800,1.2701
16,2,4,3448.0700,1.6121
16,2,5,8246.5100,0.5126
16,7,8,61814.3500,0.3935
16,8,2,49258.1200,1.1194
17,0,1,43843.3500,2.1547
17,1,6,41137.1200,0.1534
17,2,0,20935.3600,0.9474
17,2,3,20462.6800,1.3127
17,2,4,5802.4900,1.0630
17,2,5,12620.2700,3.1851
17,7,8,72868.7300,0.0972
17,8,2,35744.4100,1.3490
18,0,1,28184.5100,1.6050
18,1,6,50329.6700,1.0060
18,2,0,54780.5400,1.5094
18,2,3,17828.9000,0.5460
18,2,4,4748.8200,0.0116
18,2,5,6163.0600,0.7825
18,7,8,92793.3900,1.0669
18,8,2,64538.2100,0.2973
19,0,1,29977.3000,0.9927
19,1,6,60132.7600,2.1299
19,2,0,49086.8500,0.8853
19,2,3,19886.4100,0.8337
19,2,4,4424.6100,0.2923
19,2,5,9099.6500,0.7110
19,7,8,109079.1400,2.1666
19,8,2,77566.9900,0.2713
20,0,1,41962.8500,1.5994
20,1,6,58883.8600,1.9280
20,2,0,38647.6900,0.2567
20,2,3,20676.1400,1.2051
20,2,4,5419.7600,1.1771
20,2,5,4941.1700,1.3489
20,7,8,108216.7100,1.9980
20,8,2,101442.0600,1.3438
21,0,1,31397.7800,0.6577
21,1,6,64049.8400,2.0318
21,2,0,32439.6900,0.1925
21,2,3,19745.5000,0.5962
21,2,4,5126.9000,1.0048
21,2,5,6529.5600,0.3899
21,7,8,117234.1900,2.0459
21,8,2,97637.2500,1.5820
22,0,1,32818.5400,0.3615
22,1,6,60385.3200,1.4219
22,2,0,40236.5500,0.3334
22,2,3,17956.7700,0.7864
22,2,4,5375.8200,1.2505
22,2,5,9962.6400,1.2731
22,7,8,107800.0100,1.3360
22,8,2,96239.9500,1.4874
23,0,1,43449.8200,1.7938
23,1,6,65167.7500,1.4842
23,2,0,24593.2800,0.6983
23,2,3,22440.4600,2.3673
23,2,4,3475.5100,1.8256
23,2,5,6489.1700,0.5994
23,7,8,118961.1400,1.4994
23,8,2,134683.1800,3.0403
24,0,1,28485.7700,1.1684
24,1,6,59286.9100,0.8998
24,2,0,48752.7400,1.1101
24,2,3,19852.9500,0.2977
24,2,4,3890.5200,1.0428
24,2,5,7356.2500,0.1348
24,7,8,110839.7900,0.9926
24,8,2,102809.0100,1.0710
25,0,1,29940.4400,0.7797
25,1,6,51590.8100,0.2914
25,2,0,16477.9900,1.4012
25,2,3,16319.2300,2.1044
25,2,4,3663.1400,1.2167
25,2,5,4514.1100,1.4658
25,7,8,93027.3700,0.2515
25,8,2,117169.8400,1.3909
26,0,1,36678.1500,0.4378
26,1,6,46415.1700,0.2257
26,2,0,24814.5800,0.9164
26,2,3,14889.5100,2.4990
26,2,4,5565.8500,1.4073
26,2,5,5676.2800,0.7687
26,7,8,82684.9500,0.3004
26,8,2,106008.1100,0.8198
27,0,1,34284.8200,0.0536
