t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,0.3859,0.0000,0
2,0.0000,0.0878,1.7758,0
3,0.0000,0.0603,1.3027,0
4,0.0000,0.0567,2.4392,0
5,0.0000,0.0325,3.6534,1
6,0.0000,0.0483,4.8737,1
7,0.0000,0.0341,7.2805,1
8,0.0000,0.0176,5.2811,1
9,0.0000,0.0483,12.5958,1
10,0.0000,0.0110,4.0788,1
11,0.0000,0.0063,3.0066,1
12,0.0000,0.0150,5.3288,1
13,0.0000,0.0098,4.7175,1
14,0.0000,0.0204,5.9935,1
15,0.0000,0.0052,8.6866,1
16,0.0000,0.0059,5.9246,1
17,0.0000,0.0064,2.0583,0
18,0.0000,0.0077,6.5753,1
19,0.0000,0.0080,5.9423,1
20,0.0000,0.0187,3.3420,1
21,0.0000,0.0215,4.2346,1
22,0.0000,0.0067,4.1661,1
23,0.0000,0.6152,13.1128,1
