t_idx,time_label,node_idx,node_label,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,2020-W01,0,ACC_Accounts_Payable,0.0,0.0,0
0,2020-W01,1,ACC_Inventory,0.0,0.0,0
0,2020-W01,2,ACC_Cash,0.0,0.0,0
0,2020-W01,3,ACC_Travel_Exp,0.0,0.0,0
0,2020-W01,4,ACC_COGS,0.0,0.0,0
0,2020-W01,5,ACC_Sales_Revenue,0.0,0.0,0
0,2020-W01,6,ACC_Accounts_Receivable,0.0,0.0,0
0,2020-W01,7,ACC_Payroll_Exp,0.0,0.0,0
0,2020-W01,8,ACC_Rent_Exp,0.0,0.0,0
1,2020-W02,0,ACC_Accounts_Payable,0.0,0.0,0
1,2020-W02,1,ACC_Inventory,0.0,0.0,0
1,2020-W02,2,ACC_Cash,0.0,0.0,0
1,2020-W02,3,ACC_Travel_Exp,0.0,0.0,0
1,2020-W02,4,ACC_COGS,0.0,0.0,0
1,2020-W02,5,ACC_Sales_Revenue,0.0,0.0,0
1,2020-W02,6,ACC_Accounts_Receivable,0.0,0.0,0
1,2020-W02,7,ACC_Payroll_Exp,0.0,0.0,0
1,2020-W02,8,ACC_Rent_Exp,0.0,0.0,0
2,2020-W03,0,ACC_Accounts_Payable,0.0,4.0057,1
2,2020-W03,1,ACC_Inventory,0.0,1.489,0
2,2020-W03,2,ACC_Cash,0.0,4.8768,1
2,2020-W03,3,ACC_Travel_Exp,0.0,4.8768,1
2,2020-W03,4,ACC_COGS,0.0,2.6249,0
2,2020-W03,5,ACC_Sales_Revenue,0.0,2.6064,0
2,2020-W03,6,ACC_Accounts_Receivable,0.0,2.6064,0
2,2020-W03,7,ACC_Payroll_Exp,0.0,0.0,0
2,2020-W03,8,ACC_Rent_Exp,0.0,0.0,0
3,2020-W04,0,ACC_Accounts_Payable,0.0,0.8336,0
3,2020-W04,1,ACC_Inventory,0.0,1.4274,0
3,2020-W04,2,ACC_Cash,19.1496,121.1314,1
3,2020-W04,3,ACC_Travel_Exp,0.0,1.4777,0
3,2020-W04,4,ACC_COGS,0.0,1.012,0
3,2020-W04,5,ACC_Sales_Revenue,0.0,1.2834,0
3,2020-W04,6,ACC_Accounts_Receivable,0.0,1.2834,0
3,2020-W04,7,ACC_Payroll_Exp,0.0,0.0,0
3,2020-W04,8,ACC_Rent_Exp,0.0,0.0,0
4,2020-W05,0,ACC_Accounts_Payable,0.0,1.6794,0
4,2020-W05,1,ACC_Inventory,0.0,1.717,0
4,2020-W05,2,ACC_Cash,0.2741,0.5919,0
4,2020-W05,3,ACC_Travel_Exp,0.0,2.9921,0
4,2020-W05,4,ACC_COGS,0.0,1.184,0
4,2020-W05,5,ACC_Sales_Revenue,0.0,1.1655,0
4,2020-W05,6,ACC_Accounts_Receivable,20.7233,1.0192,1
4,2020-W05,7,ACC_Payroll_Exp,0.0,0.5774,0
4,2020-W05,8,ACC_Rent_Exp,0.0,0.5774,0
5,2020-W06,0,ACC_Accounts_Payable,0.0,9.0918,1
5,2020-W06,1,ACC_Inventory,0.0,1.2662,0
5,2020-W06,2,ACC_Cash,18.3622,0.1253,1
5,2020-W06,3,ACC_Travel_Exp,0.0,1.8137,0
5,2020-W06,4,ACC_COGS,0.0,1.2461,0
5,2020-W06,5,ACC_Sales_Revenue,0.0,1.3344,0
5,2020-W06,6,ACC_Accounts_Receivable,1.6094,0.721,0
5,2020-W06,7,ACC_Payroll_Exp,0.0,0.5,0
5,2020-W06,8,ACC_Rent_Exp,0.0,0.5,0
6,2020-W07,0,ACC_Accounts_Payable,0.0,0.0063,0
6,2020-W07,1,ACC_Inventory,0.0,1.6357,0
6,2020-W07,2,ACC_Cash,0.371,1.2151,0
6,2020-W07,3,ACC_Travel_Exp,0.0,5.2556,1
