t_idx,node_idx,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,0,0.0000,0.0000,0
0,1,0.0000,0.0000,0
0,2,0.0000,0.0000,0
0,3,0.0000,0.0000,0
0,4,0.0000,0.0000,0
1,0,0.0016,0.0000,0
1,1,0.0028,0.0000,0
1,2,0.0005,0.0000,0
1,3,0.0033,0.0000,0
1,4,0.0016,0.0000,0
2,0,0.0004,1.7720,0
2,1,0.0023,1.4295,0
2,2,0.0006,0.7373,0
2,3,0.0003,3.5611,1
2,4,0.0020,1.3834,0
3,0,0.0001,0.6541,0
3,1,0.0007,0.5590,0
3,2,0.0015,0.8922,0
3,3,0.0023,0.5795,0
3,4,0.0018,1.2821,0
4,0,0.0015,0.7542,0
4,1,0.0027,1.0802,0
4,2,0.0005,0.7651,0
4,3,0.0017,3.3050,1
4,4,0.0009,0.9660,0
5,0,0.0030,1.5042,0
5,1,0.0012,0.0983,0
5,2,0.0025,0.1951,0
5,3,0.0015,0.2677,0
5,4,0.0003,1.5738,0
6,0,0.0001,1.8784,0
6,1,0.0034,1.5157,0
6,2,0.0022,0.9493,0
6,3,0.0018,0.9552,0
6,4,0.0010,1.0016,0
7,0,0.0009,1.3801,0
7,1,0.0008,0.5879,0
7,2,0.0015,1.9516,0
7,3,0.0003,1.7784,0
7,4,0.0003,2.2101,0
8,0,0.0018,0.1947,0
8,1,0.0012,0.9154,0
8,2,0.0011,0.1238,0
8,3,0.0008,0.0224,0
8,4,0.0005,1.3764,0
9,0,0.0015,1.7973,0
9,1,0.0009,0.1507,0
9,2,0.0002,1.7039,0
9,3,0.0008,1.3685,0
9,4,0.0021,1.2971,0
10,0,0.0011,1.3870,0
10,1,0.0002,1.4765,0
10,2,0.0012,0.3926,0
10,3,0.0010,0.9282,0
10,4,0.0007,0.4501,0
11,0,0.0002,1.3839,0
11,1,0.0013,0.2602,0
11,2,0.0016,0.7697,0
11,3,0.0006,0.6281,0
11,4,0.0009,0.5476,0
12,0,0.0006,1.6943,0
12,1,0.0006,0.7568,0
12,2,0.0005,0.5895,0
12,3,0.0017,0.2562,0
12,4,0.0017,2.3118,0
13,0,0.0009,0.6576,0
13,1,0.0001,1.5219,0
13,2,0.0012,0.1871,0
13,3,0.0011,1.2309,0
13,4,0.0005,0.0723,0
14,0,0.0005,1.4709,0
14,1,0.0014,1.5864,0
14,2,0.0008,0.4843,0
14,3,0.0005,0.5658,0
14,4,0.0014,0.1164,0
15,0,0.0002,1.3416,0
15,1,0.0009,0.8420,0
15,2,0.0010,2.5975,0
15,3,0.0014,1.5374,0
15,4,0.0007,0.3269,0
16,0,0.0000,1.9596,0
16,1,0.0009,0.3551,0
16,2,0.0005,0.3026,0
16,3,0.0011,0.5492,0
16,4,0.0006,1.2042,0
17,0,0.0008,4.3963,1
17,1,0.0012,1.3510,0
17,2,0.0004,0.7277,0
17,3,0.0017,0.4183,0
17,4,0.0014,1.4982,0
18,0,0.0002,0.3094,0
18,1,0.0002,0.4455,0
18,2,0.0012,0.9821,0
18,3,0.0008,0.6244,0
18,4,0.0004,0.6694,0
19,0,0.0001,1.0714,0
19,1,0.0002,1.2850,0
19,2,0.0003,2.8486,0
19,3,0.0006,0.9742,0
19,4,0.0003,0.9498,0
20,0,0.0009,0.9075,0
20,1,0.0011,0.4171,0
20,2,0.0004,1.2910,0
20,3,0.0007,0.3777,0
20,4,0.0015,0.5101,0
21,0,0.0007,0.2180,0
21,1,0.0009,1.4380,0
21,2,0.0008,0.0347,0
21,3,0.0015,0.2243,0
21,4,0.0006,1.9033,0
22,0,0.0005,0.1760,0
22,1,0.0004,1.2127,0
22,2,0.0003,0.3464,0
22,3,0.0004,1.4157,0
22,4,0.0007,0.7076,0
23,0,0.0003,1.8086,0
23,1,0.0006,0.8613,0
23,2,0.0006,0.3965,0
23,3,0.0009,1.3084,0
23,4,0.0002,0.8100,0
24,0,0.0007,0.9111,0
24,1,0.0004,2.1281,0
24,2,0.0005,0.7707,0
24,3,0.0005,1.3612,0
24,4,0.0005,1.4430,0
25,0,0.0004,0.6273,0
25,1,0.0007,0.2406,0
25,2,0.0004,1.2940,0
25,3,0.0002,3.9572,1
25,4,0.0004,1.6794,0
26,0,0.0003,1.5107,0
26,1,0.0011,0.6017,0
26,2,0.0010,2.8124,0
26,3,0.0003,0.8093,0
26,4,0.0012,0.7135,0
27,0,0.0025,0.5541,0
27,1,0.0009,0.2476,0
27,2,0.0009,1.6835,0
27,3,0.0014,0.4233,0
27,4,0.0013,1.1168,0
28,0,0.0002,1.2419,0
28,1,0.0014,0.0454,0
28,2,0.0003,0.6870,0
28,3,0.0011,1.1631,0
28,4,0.0003,0.2051,0
29,0,0.0023,0.0359,0
29,1,0.0007,0.8597,0
29,2,0.0012,0.1966,0
29,3,0.0012,1.5391,0
29,4,0.0020,0.4007,0
30,0,0.0012,0.0221,0
30,1,0.0001,1.6127,0
30,2,0.0006,1.5725,0
30,3,0.0001,0.0731,0
30,4,0.0007,0.0968,0
31,0,0.0001,0.9902,0
31,1,0.0007,0.3959,0
31,2,0.0005,1.1470,0
31,3,0.0001,1.3617,0
31,4,0.0005,0.1468,0
32,0,0.0016,0.1512,0
32,1,0.0005,0.1210,0
32,2,0.0007,0.7988,0
32,3,0.0009,1.0402,0
32,4,0.0010,0.0172,0
33,0,0.0017,1.2642,0
33,1,0.0006,0.3348,0
33,2,0.0005,0.9694,0
33,3,0.0009,0.0702,0
33,4,0.0016,0.7139,0
34,0,0.0007,0.4048,0
34,1,0.0011,4.0190,1
34,2,0.0006,0.5933,0
34,3,0.0005,1.2726,0
34,4,0.0004,2.3755,0
35,0,0.0013,1.6445,0
35,1,0.0011,0.2670,0
