t_idx,node_idx,optimal_input_u,state_error_x
0,0,0.0000,995.1400
0,1,396.5731,18.6800
0,2,0.0000,19.7000
0,3,0.0000,0.5700
0,4,0.0000,5.3100
1,0,0.0000,976.5900
1,1,427.3482,30.3500
1,2,0.0000,14.2600
1,3,0.0000,12.4400
1,4,0.0000,27.0600
2,0,0.0000,1002.3000
2,1,393.5478,40.8800
2,2,0.0000,9.8000
2,3,0.0000,27.6400
2,4,0.0000,1.1400
3,0,0.0000,998.4300
3,1,417.8923,3.0100
3,2,0.0000,11.9900
3,3,0.0000,19.9700
3,4,0.0000,3.4000
4,0,0.0000,1000.5600
4,1,393.5598,11.3200
4,2,0.0000,12.8400
4,3,0.0000,17.8600
4,4,0.0000,18.8200
5,0,0.0000,1008.6200
5,1,390.9921,6.5700
5,2,0.0000,6.7300
5,3,0.0000,12.8200
5,4,0.0000,8.1400
6,0,0.0000,1015.6900
6,1,388.2373,40.5700
6,2,0.0000,7.2100
6,3,0.0000,23.2500
6,4,0.0000,5.5800
7,0,0.0000,1015.2600
7,1,391.7169,0.2300
7,2,0.0000,20.8900
7,3,0.0000,14.3700
7,4,0.0000,22.0100
8,0,0.0000,1003.8700
8,1,406.4303,8.3700
8,2,0.0000,1.6000
8,3,0.0000,7.7000
8,4,0.0000,18.3400
9,0,0.0000,1021.8600
9,1,391.6879,5.9900
9,2,0.0000,22.3100
9,3,0.0000,12.5300
9,4,0.0000,18.9700
10,0,0.0000,1020.7000
10,1,406.8551,38.7200
10,2,0.0000,3.2200
10,3,0.0000,20.3700
10,4,0.0000,5.5700
11,0,0.0000,1022.7600
11,1,383.3880,17.0800
11,2,0.0000,12.1900
11,3,0.0000,2.3800
11,4,0.0000,8.8900
12,0,0.0000,1028.7700
12,1,386.8782,3.2800
12,2,0.0000,10.4700
12,3,0.0000,10.3000
12,4,0.0000,31.8800
13,0,0.0000,1000.5800
13,1,395.1240,15.1200
13,2,0.0000,4.2300
13,3,0.0000,11.0300
13,4,0.0000,0.4400
14,0,0.0000,996.8500
14,1,392.6028,21.3200
14,2,0.0000,9.0000
14,3,0.0000,3.5000
14,4,0.0000,5.6700
15,0,0.0000,1025.3300
15,1,390.4821,20.0900
15,2,0.0000,23.1500
15,3,0.0000,19.0900
15,4,0.0000,9.3000
16,0,0.0000,1033.9300
16,1,381.8791,12.5900
16,2,0.0000,6.0300
16,3,0.0000,7.3500
16,4,0.0000,22.6600
17,0,0.0000,967.3600
17,1,390.9567,17.2500
17,2,0.0000,7.7600
17,3,0.0000,4.0600
17,4,0.0000,11.6900
18,0,0.0000,1007.3400
18,1,393.8557,14.6000
18,2,0.0000,12.3400
18,3,0.0000,8.0100
18,4,0.0000,2.9300
19,0,0.0000,993.2900
19,1,403.3741,25.5900
19,2,0.0000,37.7100
19,3,0.0000,13.3700
19,4,0.0000,7.9600
20,0,0.0000,993.6900
