t_idx,node_idx,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,0,41.5234,6.7839,1,12.6917,1.6860,1
0,1,41.5234,6.7829,2,12.4519,1.6895,0
0,2,41.5234,6.6882,4,12.1884,1.6773,4
0,3,41.5234,6.8517,2,12.6652,1.6963,1
0,4,41.5234,6.8806,2,12.6256,1.6889,2
1,0,41.5234,6.8262,1,12.0641,1.6819,1
1,1,41.5234,6.9704,0,12.2523,1.6763,3
1,2,41.5234,6.8286,0,12.4746,1.6780,0
1,3,41.5234,6.8407,1,12.8680,1.6897,2
1,4,41.5234,6.8311,0,12.9872,1.6906,2
2,0,41.5234,6.9672,1,0.0756,-13.1092,4
2,1,41.5234,6.6650,4,0.0989,-14.9904,4
2,2,41.5234,6.8514,1,0.0996,15.0422,4
2,3,41.5234,6.9430,1,15.2623,-186.2501,4
2,4,41.5234,6.9606,1,0.0656,-11.3382,0
3,0,41.5234,6.6956,1,0.1543,-11.8259,4
3,1,41.5234,6.9376,0,0.0399,-7.1482,2
3,2,41.5234,6.8120,0,0.0935,-17.9201,1
3,3,41.5234,6.9224,0,0.5158,-27.8244,1
3,4,41.5234,6.9579,0,0.1345,-11.6885,0
4,0,41.5234,6.8577,4,0.2405,-10.2949,4
4,1,41.5234,6.8400,3,0.0567,-6.7745,2
4,2,41.5234,6.8868,4,0.1421,-16.0730,1
4,3,41.5234,6.8020,0,0.1440,-8.2449,4
4,4,41.5234,6.7428,0,0.1412,-8.4608,3
5,0,41.5234,6.8853,2,0.6112,-6.0708,3
5,1,41.5234,6.8975,2,0.8008,-11.1530,0
5,2,41.5234,6.6950,3,2.0994,-13.3869,1
5,3,41.5234,6.8992,2,0.7630,-10.4649,0
5,4,41.5234,6.8740,2,0.3802,-7.7709,0
6,0,41.5234,6.8658,1,0.6137,-4.6614,3
6,1,41.5234,6.7989,4,0.4484,-7.2456,0
6,2,41.5234,6.9135,1,1.0915,-11.5531,1
6,3,41.5234,6.9208,1,0.5423,-6.8272,0
6,4,41.5234,6.9196,1,0.2388,-7.6559,3
7,0,41.5234,6.8295,4,0.4232,-9.7298,4
7,1,41.5234,6.8118,4,0.0696,-4.8384,3
7,2,41.5234,6.7787,3,0.3002,-6.8621,1
7,3,41.5234,6.7295,4,0.1379,-5.9648,4
7,4,41.5234,6.7408,1,0.1799,-5.7721,3
8,0,41.5234,6.8210,4,0.4093,-10.1636,4
8,1,41.5234,6.7684,4,0.0757,-4.9053,2
8,2,41.5234,6.7868,3,0.2265,-7.1614,1
8,3,41.5234,6.7253,2,0.1270,-4.9598,1
8,4,41.5234,6.7049,3,0.2030,-5.5511,0
9,0,41.5234,6.9032,3,0.3868,-4.6530,2
9,1,41.5234,6.9130,3,0.0810,-4.4873,3
9,2,41.5234,6.8443,3,0.2053,-6.0297,1
9,3,41.5234,6.7180,1,0.1226,-5.5257,1
9,4,41.5234,6.8729,3,0.1456,-4.8280,3
10,0,41.5234,6.8030,1,0.4319,-5.2730,2
10,1,41.5234,6.6781,0,0.0853,-4.8176,3
10,2,41.5234,6.8353,1,0.2005,-6.0281,1
10,3,41.5234,6.7193,2,0.1185,-5.4586,1
10,4,41.5234,6.8157,1,0.1448,-5.0504,3
11,0,41.5234,6.8335,1,0.4813,-5.0865,2
11,1,41.5234,6.7227,4,0.0921,-4.6815,3
11,2,41.5234,6.9150,1,0.2145,-6.1072,1
11,3,41.5234,6.8390,1,0.1245,-5.6329,1
11,4,41.5234,6.7084,1,0.1540,-5.3747,3
12,0,41.5234,6.8617,4,0.5233,-4.8117,2
12,1,41.5234,6.8092,2,0.0892,-4.4258,3
12,2,41.5234,6.8464,4,0.2335,-6.2481,1
12,3,41.5234,6.8707,4,0.1310,-5.7899,4
12,4,41.5234,6.7999,3,0.1295,-5.0502,3
13,0,41.5234,6.7962,1,0.3660,-6.3240,4
13,1,41.5234,6.6924,0,0.0962,-4.7190,3
