t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,1955.5400,9.9899,0.0000,0.4500,-0.4500,0.0000,1955.5400
1,2113.8400,9.9929,67.5800,3.6500,-3.6500,0.0000,1438.5208
2,2103.8500,9.9950,74.2987,3.4400,-3.4400,0.0000,1361.2379
3,2242.9000,9.9918,69.1776,-4.9700,4.9700,0.0000,1551.6938
4,2310.4000,9.9937,73.3423,19.3800,-19.3800,0.0000,1577.4415
5,2376.5500,9.9932,70.5318,0.4800,-0.4800,0.0000,1671.7107
6,2442.6800,9.9901,72.7457,10.1100,-10.1100,0.0000,1715.9436
7,2481.6500,9.9958,77.6633,-6.7500,6.7500,0.0000,1705.3421
8,2545.3600,9.9930,75.5554,-14.4700,14.4700,0.0000,1790.3383
9,2625.5600,9.9937,77.4042,40.8300,-40.8300,0.0000,1852.0073
10,2681.2500,9.9946,77.3957,15.1300,-15.1300,0.0000,1907.7110
11,2705.0000,9.9945,75.8143,31.6500,-31.6500,0.0000,1947.2737
12,2736.6400,9.9941,77.3764,-3.1100,3.1100,0.0000,1963.3298
13,2774.9100,9.9942,76.3616,0.1400,-0.1400,0.0000,2011.7396
14,2768.4300,9.9942,71.2410,-8.8200,8.8200,0.0000,2056.4345
15,2823.4000,9.9942,70.9970,16.0300,-16.0300,0.0000,2113.8387
16,2860.9300,9.9951,71.3422,11.2700,-11.2700,0.0000,2147.8585
17,2811.7600,9.9928,75.3454,-20.9500,20.9500,0.0000,2058.8464
18,2808.0300,9.9957,75.8252,10.2700,-10.2700,0.0000,2050.1053
19,2779.3400,9.9984,77.0328,1.2500,-1.2500,0.0000,2009.1377
20,2753.0400,9.9951,76.5636,-17.3000,17.3000,0.0000,1987.7758
21,2742.3000,9.9945,78.0812,28.8600,-28.8600,0.0000,1961.9197
22,2782.1800,9.9981,76.4939,-8.2000,8.2000,0.0000,2017.3852
23,2679.2100,9.9969,74.6427,-17.0100,17.0100,0.0000,1933.0123
24,2636.6300,9.9964,77.3546,-39.6700,39.6700,0.0000,1863.3656
25,2575.0500,9.9965,78.1203,-15.5100,15.5100,0.0000,1794.1237
26,2590.5900,9.9946,82.9590,11.9500,-11.9500,0.0000,1761.4502
27,2564.7400,9.9910,84.2371,25.0500,-25.0500,0.0000,1723.1264
