t_idx,node_idx,fk_echo_impact
0,0,36.4885
0,1,-35.1337
0,2,22.4111
0,3,-40.5289
0,4,16.7630
1,0,36.9405
1,1,-14.0782
1,2,-54.0038
1,3,29.0866
1,4,2.0549
2,0,12.9836
2,1,-11.2240
2,2,-57.4676
2,3,28.8870
2,4,26.8209
3,0,45.4923
3,1,30.4112
3,2,-22.5561
3,3,8.2649
3,4,-61.6122
4,0,-26.1466
4,1,10.1853
4,2,30.3012
4,3,13.6466
4,4,-27.9865
5,0,-15.6302
5,1,-31.7065
5,2,-21.6743
5,3,27.5182
5,4,41.4928
6,0,-10.3515
6,1,-17.6493
6,2,39.7161
6,3,-14.1050
6,4,2.3897
7,0,-21.0713
7,1,15.6417
7,2,-47.9934
7,3,12.5989
7,4,40.8240
8,0,11.6415
8,1,15.1385
8,2,-31.1941
8,3,15.6756
8,4,-11.2615
9,0,42.1662
9,1,7.8350
9,2,-64.1796
9,3,7.3773
9,4,6.8012
10,0,-8.2955
10,1,0.1346
10,2,5.9784
10,3,19.6418
10,4,-17.4594
11,0,-63.7146
11,1,27.3565
11,2,-46.8498
11,3,39.6548
11,4,43.5530
12,0,-12.9767
12,1,-42.2333
12,2,40.6762
12,3,11.9380
12,4,2.5959
13,0,11.1550
13,1,34.3896
13,2,-43.1195
13,3,-22.6462
13,4,20.2211
14,0,-55.7608
14,1,-26.6635
14,2,-20.4965
14,3,46.6515
14,4,56.2692
15,0,9.9885
15,1,5.2412
15,2,28.3370
15,3,20.7196
15,4,-64.2863
16,0,-3.7522
16,1,-10.5282
16,2,-14.0933
16,3,27.8563
16,4,0.5173
17,0,-35.8492
17,1,4.4864
17,2,-33.9139
17,3,16.5094
17,4,48.7673
18,0,31.6036
18,1,-35.6800
18,2,-7.7599
18,3,18.1496
18,4,-6.3134
19,0,-2.0441
19,1,5.3712
19,2,-14.1543
19,3,26.6015
19,4,-15.7742
20,0,-52.8337
20,1,-27.4597
20,2,11.3994
20,3,54.8222
20,4,14.0719
21,0,-56.0568
21,1,23.5122
21,2,39.1654
21,3,-11.3699
21,4,4.7491
22,0,24.2182
22,1,15.2704
22,2,-14.8666
22,3,22.2011
22,4,-46.8231
23,0,9.6810
23,1,-14.1797
23,2,10.7057
23,3,-6.1654
23,4,-0.0415
24,0,6.6937
24,1,-3.4621
24,2,15.1336
24,3,-15.9305
24,4,-2.4347
25,0,-21.2443
25,1,29.5751
25,2,9.6605
25,3,-6.6734
25,4,-11.3178
26,0,-19.7244
26,1,1.7065
26,2,27.0386
26,3,37.3740
26,4,-46.3947
27,0,-62.1691
27,1,-11.2995
27,2,71.3611
27,3,-20.7463
27,4,22.8538
28,0,-1.6190
28,1,-9.4006
28,2,33.2310
28,3,17.1110
28,4,-39.3225
29,0,45.2253
29,1,-19.1513
29,2,-10.3853
29,3,8.8134
29,4,-24.5021
30,0,-2164.4828
30,1,498.4235
30,2,567.5266
30,3,587.5816
30,4,510.9510
31,0,-2385.2035
31,1,631.9023
31,2,631.7497
31,3,529.9017
31,4,591.6498
32,0,-2641.6757
32,1,644.1622
32,2,650.5272
32,3,733.4812
32,4,613.5051
33,0,-2702.0383
33,1,680.8174
33,2,684.4537
33,3,695.2095
33,4,641.5577
34,0,-2658.8481
34,1,642.3402
34,2,725.9376
34,3,634.1996
34,4,656.3707
35,0,-2432.9894
35,1,637.8615
35,2,642.6999
35,3,561.6604
35,4,590.7676
36,0,-2107.3096
36,1,573.5561
36,2,510.6992
36,3,515.2236
36,4,507.8307
37,0,-1738.9316
37,1,417.1333
37,2,432.1382
37,3,484.1875
37,4,405.4727
38,0,-1420.2817
38,1,381.8422
38,2,361.7437
38,3,300.7906
38,4,375.9052
39,0,-1246.0586
39,1,294.9191
39,2,339.0111
39,3,343.8714
39,4,268.2571
40,0,-1293.1843
40,1,312.3864
40,2,316.5390
40,3,335.2277
40,4,329.0313
41,0,-1345.9505
41,1,358.1909
41,2,351.7452
41,3,304.0001
41,4,332.0143
42,0,-1441.0026
42,1,364.8352
42,2,327.3243
42,3,388.2356
42,4,360.6076
43,0,-1565.7357
43,1,370.3716
43,2,395.6755
43,3,362.7695
43,4,436.9190
44,0,-1684.7315
44,1,489.0840
44,2,389.3271
44,3,390.9326
44,4,415.3878
45,0,-1692.0113
45,1,426.1951
45,2,411.4556
45,3,423.9968
45,4,430.3638
46,0,-1556.1526
46,1,383.5835
46,2,349.7598
46,3,408.7763
46,4,414.0331
47,0,-1452.0743
47,1,309.3726
47,2,323.0889
47,3,395.7955
47,4,423.8174
48,0,-1420.6283
48,1,380.5276
48,2,318.5932
48,3,364.3422
48,4,357.1653
49,0,-1387.0803
49,1,312.0457
49,2,363.4451
49,3,333.9757
49,4,377.6137
50,0,-1535.4078
50,1,378.5408
50,2,375.0889
50,3,387.0319
50,4,394.7462
51,0,-1833.7479
51,1,444.1073
51,2,457.9612
51,3,455.2065
51,4,476.4729
52,0,-2181.6898
52,1,579.2612
52,2,518.6665
