node_idx,node_label,account_category,dominant_frequency,spectral_power
9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.1667,16703890681.5817
1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.1667,10788194574.8137
4,04_ACC_Cash_DPT_Admin,Asset,0.1667,3782556100.4584
5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.1667,3658312814.2062
2,02_ACC_COGS_DPT_Prod_A,Expense,0.1667,2861426183.0281
0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.4167,1435061002.0466
6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.1667,1309579354.525
10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.1667,1291458599.3752
3,03_ACC_COGS_DPT_Prod_B,Expense,0.1667,844879194.4522
11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.1667,357849417.4545
8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.1667,204397578.1812
7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0833,96844533.2405
12,12_ACC_Cash,Asset,0.0,0.0
13,13_ACC_Raw_Materials,Unknown,0.0,0.0
14,14_ACC_Finished_Goods,Unknown,0.0,0.0
15,15_ACC_Equity_Capital,Equity,0.0,0.0
