t_idx,time_label,node_idx,node_label,account_category,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,75433.08,-0.0,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,143430.16,-0.0,0.0,0.0
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,Expense,68432.69,-0.0,0.0,0.0
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,Expense,22442.71,-0.0,0.0,0.0
0,2020-01,4,04_ACC_Cash_DPT_Admin,Asset,64027.5,1.3609,0.0,0.0
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,51584.06,-0.0,0.0,0.0
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,4999.63,-0.0,0.0,0.0
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,2515.41,0.6309,0.0,0.0
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,10513.92,0.716,0.0,0.0
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,143430.16,-0.0,0.0,0.0
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,-0.0,0.0,0.0
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,-0.0,0.0,0.0
0,2020-01,12,12_ACC_Cash,Asset,1000000.0,-0.0,0.0,0.0
0,2020-01,13,13_ACC_Raw_Materials,Unknown,500000.0,-0.0,0.0,0.0
0,2020-01,14,14_ACC_Finished_Goods,Unknown,500000.0,-0.0,0.0,0.0
0,2020-01,15,15_ACC_Equity_Capital,Equity,2000000.0,-0.0,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,120231.59,-0.0,22399.255,-13312.395
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,282219.69,-0.0,69394.765,-29634.42
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,Expense,140683.45,-0.0,36125.38,-6714.36
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,Expense,60256.14,-0.0,18906.715,-6950.09
1,2020-02,4,04_ACC_Cash_DPT_Admin,Asset,107587.0,1.6609,21779.75,-16484.205
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,110406.1,-0.0,29411.02,-51487.155
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,18913.62,-0.0,11956.625,-16342.635
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,1274.36,0.3294,620.525,61285.82
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,29926.65,0.5237,9706.365,-6719.84
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,318180.88,-0.0,87375.36,-17980.595
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,-0.0,0.0,60897.135
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,-0.0,0.0,43442.74
1,2020-02,12,12_ACC_Cash,Asset,1000000.0,-0.0,0.0,0.0
1,2020-02,13,13_ACC_Raw_Materials,Unknown,500000.0,-0.0,0.0,0.0
1,2020-02,14,14_ACC_Finished_Goods,Unknown,500000.0,-0.0,0.0,0.0
1,2020-02,15,15_ACC_Equity_Capital,Equity,2000000.0,-0.0,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,94749.68,-0.0,18346.5567,21972.4206
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,315545.19,-0.0,74533.1441,16449.4548
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,Expense,203593.73,-0.0,55223.1658,6778.3129
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,Expense,90949.61,-0.0,28018.1289,-11632.8244
2,2020-03,4,04_ACC_Cash_DPT_Admin,Asset,143887.88,1.5558,32647.7228,-69767.5096
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,202254.31,-0.0,62001.4788,-130189.8669
