t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-01,4586809.32,2.7077,0.0,-143430.16,93390.81,0.0,4586809.32
1,2020-02,5189679.48,2.514,307675.76,-174750.72,108823.14,0.0,4416176.2184
2,2020-03,5629769.68,2.4163,446632.7365,-150404.45,94871.39,0.0,4550575.6148
3,2020-04,5765424.96,2.6748,522153.7569,-84120.41,51753.08,0.0,4368745.1232
4,2020-05,5913028.54,2.9566,431230.7275,-65006.12,42059.74,0.0,4638048.241
5,2020-06,6167435.16,2.6888,390532.8092,-86939.38,52152.24,0.0,5117360.9822
6,2020-07,6669013.78,2.9929,405315.965,-171223.56,106881.03,0.0,5455959.4231
7,2020-08,7188177.08,2.9713,521190.3304,-184561.56,117609.03,0.0,5639554.3985
8,2020-09,7522757.42,2.5186,544151.6585,-143446.59,88667.26,0.0,6152281.5475
9,2020-10,7651310.48,2.607,480842.6646,-88749.03,56037.12,0.0,6397773.6835
10,2020-11,7758516.94,2.7787,465166.57,-56977.24,35300.41,0.0,6465939.2915
11,2020-12,7989978.28,2.0553,395763.0805,-84135.89,76330.13,0.0,7176549.7756
