t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,0.0,-0.0965,0.0,0.0,0
2,2020-03,0.0,2.0236,0.7071,1.5305,1
3,2020-04,0.0,0.5984,0.5774,3.5321,1
4,2020-05,0.0,0.1956,1.6335,1.0325,0
5,2020-06,0.0,0.022,0.8121,0.9142,0
6,2020-07,0.0,0.0847,1.1025,6.7143,1
7,2020-08,0.0,0.0082,0.8223,1.132,0
8,2020-09,0.0,0.3099,2.1474,3.4629,1
9,2020-10,0.0,0.0378,1.7329,1.7062,0
10,2020-11,0.0,0.0143,1.1433,1.0614,0
11,2020-12,0.0,0.18,22.466,1.2181,1
